sector,operator,direction,n_index,L,kx,ky,kz,kmag,omega,gamma,prominence,peak_power,signal_power,has_signal,resolved,prony_valid,control_omega_spin1,control_omega_predicted,prony_note
spin1_control,transverse_J,[100],1,64,0.0981748,0,0,0.0981748,0.0490874,3.48326e-05,13237.9,3.82115e+14,2.93973e+06,1,1,0,0.0490874,0.0566585,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],1,64,0.0981748,0,0,0.0981748,0.0490874,0,5378.68,1.25028e+06,401.817,1,1,0,0.0490874,0.0566585,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],1,64,0.0981748,0,0,0.0981748,0.0245437,0.00115104,8511.65,5.25113e-05,0.00185794,1,1,0,0.0490874,0.0566585,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],2,64,0.19635,0,0,0.19635,0.122718,6.6502e-05,6763.28,1.31477e+14,1.80846e+06,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],2,64,0.19635,0,0,0.19635,0.122718,0.00141286,1980.6,556374,416.513,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],2,64,0.19635,0,0,0.19635,0.269981,0,160759,0.131344,0.0926332,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],3,64,0.294524,0,0,0.294524,0.171806,0,829905,2.08387e+14,1.83371e+06,1,1,0,0.171806,0.16943,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],3,64,0.294524,0,0,0.294524,0.171806,0,17595.9,7.40985e+06,573.118,1,1,0,0.171806,0.16943,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],3,64,0.294524,0,0,0.294524,0.0736311,0,5762.32,0.0821326,0.0777799,1,1,0,0.171806,0.16943,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],4,64,0.392699,0,0,0.392699,0.220893,0,90801.4,6.57887e+14,3.39784e+06,1,1,0,0.220893,0.225271,"Prony: complex roots (not pure exponentials)"
