r,axis,grad_divJ_mag,density,div_J,state
1.00000000e+00,+x,8.50966269e-02,4.98739470e-02,-2.26698243e-02,0
2.00000000e+00,+x,1.27615481e-02,9.11010375e-03,2.05709360e-02,0
3.00000000e+00,+x,1.06595827e-02,1.53901684e-03,2.85327192e-03,0
4.00000000e+00,+x,1.92926249e-03,7.16579534e-04,-7.48229320e-04,0
5.00000000e+00,+x,1.11485894e-04,9.77898286e-04,-1.00525307e-03,0
6.00000000e+00,+x,4.56415373e-04,1.08020834e-03,-5.25257531e-04,0
7.00000000e+00,+x,3.19681123e-04,9.12552732e-04,-9.24223221e-05,0
8.00000000e+00,+x,1.17396385e-04,6.37970346e-04,1.14104715e-04,0
9.00000000e+00,+x,1.14086932e-05,3.94830190e-04,1.42370448e-04,0
1.00000000e+01,+x,5.45252730e-05,2.40832502e-04,9.12873288e-05,0
1.10000000e+01,+x,4.62623965e-05,1.68118343e-04,3.33199019e-05,0
1.20000000e+01,+x,2.24296089e-05,1.38680196e-04,-1.23746417e-06,0
1.30000000e+01,+x,3.50267031e-06,1.26847791e-04,-1.15393158e-05,0
1.40000000e+01,+x,5.00125556e-06,1.16247785e-04,-8.24280475e-06,0
1.50000000e+01,+x,5.74192302e-06,1.00896545e-04,-1.53680469e-06,0
1.60000000e+01,+x,3.26636189e-06,8.54069164e-05,3.24104127e-06,0
1.70000000e+01,+x,7.67924054e-07,6.91815268e-05,4.99591904e-06,0
1.80000000e+01,+x,5.51505253e-07,5.54639104e-05,4.77688899e-06,0
1.90000000e+01,+x,7.95087563e-07,4.32469380e-05,3.89290916e-06,0
2.00000000e+01,+x,5.11536334e-07,3.39585064e-05,3.18671449e-06,0
2.10000000e+01,+x,1.64678114e-07,2.37867614e-05,2.86983759e-06,0
2.20000000e+01,+x,3.60020796e-08,1.62162031e-05,2.85736263e-06,0
2.30000000e+01,+x,6.52365672e-08,6.00692737e-06,2.94182048e-06,0
1.00000000e+00,+y,8.50966269e-02,4.98739470e-02,-2.26698243e-02,0
2.00000000e+00,+y,1.27615481e-02,9.11010375e-03,2.05709360e-02,0
3.00000000e+00,+y,1.06595827e-02,1.53901684e-03,2.85327192e-03,0
4.00000000e+00,+y,1.92926249e-03,7.16579534e-04,-7.48229320e-04,0
5.00000000e+00,+y,1.11485894e-04,9.77898286e-04,-1.00525307e-03,0
6.00000000e+00,+y,4.56415373e-04,1.08020834e-03,-5.25257531e-04,0
7.00000000e+00,+y,3.19681123e-04,9.12552732e-04,-9.24223221e-05,0
8.00000000e+00,+y,1.17396385e-04,6.37970346e-04,1.14104715e-04,0
9.00000000e+00,+y,1.14086932e-05,3.94830190e-04,1.42370448e-04,0
1.00000000e+01,+y,5.45252730e-05,2.40832502e-04,9.12873288e-05,0
1.10000000e+01,+y,4.62623965e-05,1.68118343e-04,3.33199019e-05,0
1.20000000e+01,+y,2.24296089e-05,1.38680196e-04,-1.23746417e-06,0
1.30000000e+01,+y,3.50267031e-06,1.26847791e-04,-1.15393158e-05,0
1.40000000e+01,+y,5.00125556e-06,1.16247785e-04,-8.24280475e-06,0
1.50000000e+01,+y,5.74192302e-06,1.00896545e-04,-1.53680469e-06,0
1.60000000e+01,+y,3.26636189e-06,8.54069164e-05,3.24104127e-06,0
1.70000000e+01,+y,7.67924054e-07,6.91815268e-05,4.99591904e-06,0
1.80000000e+01,+y,5.51505253e-07,5.54639104e-05,4.77688899e-06,0
1.90000000e+01,+y,7.95087563e-07,4.32469380e-05,3.89290916e-06,0
2.00000000e+01,+y,5.11536334e-07,3.39585064e-05,3.18671449e-06,0
2.10000000e+01,+y,1.64678114e-07,2.37867614e-05,2.86983759e-06,0
2.20000000e+01,+y,3.60020796e-08,1.62162031e-05,2.85736263e-06,0
2.30000000e+01,+y,6.52365672e-08,6.00692737e-06,2.94182048e-06,0
1.00000000e+00,+z,8.50966269e-02,4.98739470e-02,-2.26698243e-02,0
2.00000000e+00,+z,1.27615481e-02,9.11010375e-03,2.05709360e-02,0
3.00000000e+00,+z,1.06595827e-02,1.53901684e-03,2.85327192e-03,0
4.00000000e+00,+z,1.92926249e-03,7.16579534e-04,-7.48229320e-04,0
5.00000000e+00,+z,1.11485894e-04,9.77898286e-04,-1.00525307e-03,0
6.00000000e+00,+z,4.56415373e-04,1.08020834e-03,-5.25257531e-04,0
7.00000000e+00,+z,3.19681123e-04,9.12552732e-04,-9.24223221e-05,0
8.00000000e+00,+z,1.17396385e-04,6.37970346e-04,1.14104715e-04,0
9.00000000e+00,+z,1.14086932e-05,3.94830190e-04,1.42370448e-04,0
1.00000000e+01,+z,5.45252730e-05,2.40832502e-04,9.12873288e-05,0
1.10000000e+01,+z,4.62623965e-05,1.68118343e-04,3.33199019e-05,0
1.20000000e+01,+z,2.24296089e-05,1.38680196e-04,-1.23746417e-06,0
1.30000000e+01,+z,3.50267031e-06,1.26847791e-04,-1.15393158e-05,0
1.40000000e+01,+z,5.00125556e-06,1.16247785e-04,-8.24280475e-06,0
1.50000000e+01,+z,5.74192302e-06,1.00896545e-04,-1.53680469e-06,0
1.60000000e+01,+z,3.26636189e-06,8.54069164e-05,3.24104127e-06,0
1.70000000e+01,+z,7.67924054e-07,6.91815268e-05,4.99591904e-06,0
1.80000000e+01,+z,5.51505253e-07,5.54639104e-05,4.77688899e-06,0
1.90000000e+01,+z,7.95087563e-07,4.32469380e-05,3.89290916e-06,0
2.00000000e+01,+z,5.11536334e-07,3.39585064e-05,3.18671449e-06,0
2.10000000e+01,+z,1.64678114e-07,2.37867614e-05,2.86983759e-06,0
2.20000000e+01,+z,3.60020796e-08,1.62162031e-05,2.85736263e-06,0
2.30000000e+01,+z,6.52365672e-08,6.00692737e-06,2.94182048e-06,0
1.73205081e+00,+xyz,5.69117104e-03,4.92297273e-03,-1.38087706e-03,0
3.46410162e+00,+xyz,6.52016334e-04,3.97205909e-04,7.18245877e-05,0
5.19615242e+00,+xyz,1.37126295e-04,7.69719137e-04,-1.62811606e-04,0
6.92820323e+00,+xyz,3.30813450e-05,5.85626896e-04,3.28993242e-05,0
8.66025404e+00,+xyz,3.15614844e-05,3.14209936e-04,1.18302818e-05,0
1.03923048e+01,+xyz,1.44925607e-06,2.14510152e-04,-1.70234258e-05,0
1.21243557e+01,+xyz,8.60978791e-06,1.69675322e-04,-4.05718468e-06,0
1.38564065e+01,+xyz,1.18239071e-06,1.24200681e-04,5.02646655e-06,0
1.55884573e+01,+xyz,1.31374637e-06,9.15435345e-05,3.73298083e-06,0
1.73205081e+01,+xyz,9.34829551e-08,7.30963416e-05,2.42303135e-06,0
1.90525589e+01,+xyz,2.74253933e-07,5.55877927e-05,2.79729962e-06,0
