x,z,density,Jx,Jy,Jz,state
0,0,3.53370692e-03,0.00000000e+00,0.00000000e+00,3.53370692e-03,0
0,1,3.57003483e-03,0.00000000e+00,0.00000000e+00,3.57003483e-03,0
0,2,2.99104367e-05,0.00000000e+00,0.00000000e+00,-2.99104367e-05,0
0,3,2.57923344e-03,0.00000000e+00,0.00000000e+00,-2.57923344e-03,0
0,4,2.65977905e-05,0.00000000e+00,0.00000000e+00,2.65977905e-05,0
0,5,2.51284327e-03,0.00000000e+00,0.00000000e+00,-2.51284327e-03,0
0,6,2.78743563e-03,0.00000000e+00,0.00000000e+00,-2.78743563e-03,0
0,7,1.11106641e-03,0.00000000e+00,0.00000000e+00,1.11106641e-03,0
0,8,1.96646018e-03,0.00000000e+00,0.00000000e+00,-1.96646018e-03,0
0,9,4.41815283e-04,0.00000000e+00,0.00000000e+00,4.41815283e-04,0
0,10,1.22590465e-03,0.00000000e+00,0.00000000e+00,1.22590465e-03,0
0,11,1.35375632e-03,0.00000000e+00,0.00000000e+00,-1.35375632e-03,0
0,12,4.24080441e-03,0.00000000e+00,0.00000000e+00,4.24080441e-03,0
0,13,3.89848642e-04,0.00000000e+00,0.00000000e+00,3.89848642e-04,0
0,14,9.30387467e-04,0.00000000e+00,0.00000000e+00,-9.30387467e-04,0
0,15,1.66301969e-03,0.00000000e+00,0.00000000e+00,1.66301969e-03,0
0,16,3.96788204e-04,0.00000000e+00,0.00000000e+00,3.96788204e-04,0
0,17,2.39083086e-03,0.00000000e+00,0.00000000e+00,2.39083086e-03,0
0,18,1.38877906e-03,0.00000000e+00,0.00000000e+00,-1.38877906e-03,0
0,19,8.25366780e-04,0.00000000e+00,0.00000000e+00,8.25366780e-04,0
0,20,6.27250141e-04,0.00000000e+00,0.00000000e+00,-6.27250141e-04,0
0,21,8.85703661e-04,0.00000000e+00,0.00000000e+00,-8.85703661e-04,0
0,22,4.21658059e-04,0.00000000e+00,0.00000000e+00,4.21658059e-04,0
0,23,1.52241574e-03,0.00000000e+00,0.00000000e+00,-1.52241574e-03,0
0,24,1.39934490e-04,0.00000000e+00,0.00000000e+00,-1.39934490e-04,0
0,25,2.10136657e-03,0.00000000e+00,0.00000000e+00,-2.10136657e-03,0
0,26,2.06268792e-03,0.00000000e+00,0.00000000e+00,2.06268792e-03,0
0,27,8.81112676e-05,0.00000000e+00,0.00000000e+00,8.81112676e-05,0
0,28,1.31178390e-03,0.00000000e+00,0.00000000e+00,1.31178390e-03,0
0,29,2.38060292e-03,0.00000000e+00,0.00000000e+00,-2.38060292e-03,0
0,30,1.18243571e-04,0.00000000e+00,0.00000000e+00,-1.18243571e-04,0
0,31,1.27226229e-03,0.00000000e+00,0.00000000e+00,-1.27226229e-03,0
