x,y,density,Jx,Jy,Jz,state
0,0,4.04760297e-04,0.00000000e+00,0.00000000e+00,-4.04760297e-04,0
0,1,2.95659815e-04,0.00000000e+00,0.00000000e+00,-2.95659815e-04,0
0,2,8.85814313e-04,0.00000000e+00,0.00000000e+00,-8.85814313e-04,0
0,3,9.19713482e-04,0.00000000e+00,0.00000000e+00,-9.19713482e-04,0
0,4,2.08500536e-03,0.00000000e+00,0.00000000e+00,2.08500536e-03,0
0,5,2.37833329e-03,0.00000000e+00,0.00000000e+00,2.37833329e-03,0
0,6,2.28574400e-04,0.00000000e+00,0.00000000e+00,2.28574400e-04,0
0,7,2.13026022e-04,0.00000000e+00,0.00000000e+00,-2.13026022e-04,0
0,8,1.02605652e-03,0.00000000e+00,0.00000000e+00,-1.02605652e-03,0
0,9,8.97344581e-04,0.00000000e+00,0.00000000e+00,-8.97344581e-04,0
0,10,1.89258771e-04,0.00000000e+00,0.00000000e+00,-1.89258771e-04,0
0,11,8.34277153e-04,0.00000000e+00,0.00000000e+00,-8.34277153e-04,0
0,12,1.91779254e-03,0.00000000e+00,0.00000000e+00,-1.91779254e-03,0
0,13,7.62708241e-04,0.00000000e+00,0.00000000e+00,-7.62708241e-04,0
0,14,5.58150907e-04,0.00000000e+00,0.00000000e+00,-5.58150907e-04,0
0,15,4.15089725e-04,0.00000000e+00,0.00000000e+00,-4.15089725e-04,0
0,16,1.67034640e-03,0.00000000e+00,0.00000000e+00,-1.67034640e-03,0
0,17,8.49672473e-04,0.00000000e+00,0.00000000e+00,-8.49672473e-04,0
0,18,1.37704871e-03,0.00000000e+00,0.00000000e+00,-1.37704871e-03,0
0,19,1.33822377e-03,0.00000000e+00,0.00000000e+00,-1.33822377e-03,0
0,20,7.66120744e-04,0.00000000e+00,0.00000000e+00,-7.66120744e-04,0
0,21,1.78824091e-03,0.00000000e+00,0.00000000e+00,-1.78824091e-03,0
0,22,7.25075522e-06,0.00000000e+00,0.00000000e+00,7.25075522e-06,0
0,23,1.13062091e-03,0.00000000e+00,0.00000000e+00,1.13062091e-03,0
0,24,4.44139853e-04,0.00000000e+00,0.00000000e+00,-4.44139853e-04,0
0,25,1.45560612e-03,0.00000000e+00,0.00000000e+00,1.45560612e-03,0
0,26,2.80761645e-03,0.00000000e+00,0.00000000e+00,-2.80761645e-03,0
0,27,1.06902585e-03,0.00000000e+00,0.00000000e+00,-1.06902585e-03,0
0,28,1.59931234e-03,0.00000000e+00,0.00000000e+00,-1.59931234e-03,0
0,29,1.28316577e-03,0.00000000e+00,0.00000000e+00,-1.28316577e-03,0
0,30,7.79309768e-04,0.00000000e+00,0.00000000e+00,-7.79309768e-04,0
0,31,3.09719459e-03,0.00000000e+00,0.00000000e+00,-3.09719459e-03,0
0,32,1.15273876e-03,0.00000000e+00,0.00000000e+00,-1.15273876e-03,0
