x,y,density,Jx,Jy,Jz,state
0,0,5.83151561e-08,-1.60389389e-08,5.60661205e-08,1.47391790e-19,0
0,1,3.81585238e-04,-4.00569900e-06,3.81564212e-04,-2.30482669e-20,0
0,2,7.81474696e-04,-8.20359920e-06,7.81431636e-04,9.02797231e-20,0
0,3,1.21614775e-03,-1.27877665e-05,1.21608051e-03,-1.23836482e-19,0
0,4,1.69790844e-03,-1.78948698e-05,1.69781414e-03,6.38494226e-20,0
0,5,2.23229087e-03,-2.35569929e-05,2.23216657e-03,2.27639439e-20,0
0,6,2.81453678e-03,-2.97006983e-05,2.81438006e-03,8.56722831e-20,0
0,7,3.42581109e-03,-3.60406331e-05,3.42562150e-03,2.81419558e-19,0
0,8,4.02826235e-03,-4.20534287e-05,4.02804283e-03,5.20854323e-19,0
0,9,4.56221833e-03,-4.69695316e-05,4.56197654e-03,1.14917310e-19,0
0,10,4.94352350e-03,-4.95476753e-05,4.94327519e-03,-9.83386556e-19,0
0,11,5.06914917e-03,-4.85554542e-05,5.06891662e-03,8.66347058e-19,0
0,12,4.83111793e-03,-4.23862522e-05,4.83093199e-03,-4.61533563e-19,0
0,13,4.14985395e-03,-2.97672145e-05,4.14974719e-03,1.35906839e-19,0
0,14,3.03184242e-03,-1.07062168e-05,3.03182352e-03,6.57880576e-19,0
0,15,1.58984314e-03,1.33321219e-05,1.58978724e-03,9.22183636e-20,0
0,16,3.63387344e-05,3.60009383e-05,-4.94328421e-06,-1.56897737e-20,0
0,17,1.59929999e-03,5.47985852e-05,-1.59836090e-03,-1.09743142e-18,0
0,18,3.03786740e-03,6.79621999e-05,-3.03710709e-03,1.68649744e-19,0
0,19,4.15201512e-03,7.42380347e-05,-4.15135138e-03,-1.31355684e-20,0
0,20,4.83025926e-03,7.44650602e-05,-4.82968523e-03,-4.93517486e-20,0
0,21,5.06642136e-03,7.00219471e-05,-5.06593746e-03,-5.54750511e-19,0
0,22,4.94008165e-03,6.31190337e-05,-4.93967840e-03,-2.21082237e-19,0
0,23,4.55886040e-03,5.48717511e-05,-4.55853016e-03,-6.60695833e-19,0
0,24,4.02540732e-03,4.63894549e-05,-4.02514001e-03,2.52462486e-19,0
0,25,3.42363068e-03,3.82042838e-05,-3.42341752e-03,-1.51489510e-19,0
0,26,2.81298791e-03,3.06847378e-05,-2.81282055e-03,1.67759275e-20,0
0,27,2.23126677e-03,2.39384336e-05,-2.23113836e-03,-6.34219964e-20,0
0,28,1.69726720e-03,1.80051958e-05,-1.69717169e-03,-2.39569549e-21,0
0,29,1.21576596e-03,1.27923882e-05,-1.21569865e-03,1.62681741e-19,0
0,30,7.81251959e-04,8.17639074e-06,-7.81209172e-04,1.73143004e-19,0
0,31,3.81446660e-04,3.97342588e-06,-3.81425965e-04,1.56009721e-19,0
1,0,3.91165236e-05,3.89190775e-05,-3.92528034e-06,3.73836938e-20,0
1,1,3.85280180e-04,4.01006913e-05,3.83187619e-04,1.81314577e-19,0
1,2,7.91251793e-04,5.24668222e-05,7.89510375e-04,5.29416737e-20,0
1,3,1.23515007e-03,7.89408024e-05,1.23262486e-03,-8.24399018e-20,0
1,4,1.73074075e-03,1.24919974e-04,1.72622668e-03,7.45631661e-20,0
1,5,2.28601592e-03,1.98686308e-04,2.27736527e-03,-6.46826340e-20,0
1,6,2.89995793e-03,3.11946433e-04,2.88313119e-03,-2.12951077e-19,0
1,7,3.55848106e-03,4.79844068e-04,3.52598030e-03,3.96064415e-20,0
1,8,4.23116677e-03,7.20628183e-04,4.16934854e-03,4.30428379e-20,0
1,9,4.86740230e-03,1.05345692e-03,4.75203469e-03,1.78631662e-19,0
1,10,5.39691978e-03,1.49340717e-03,5.18618146e-03,-4.54341488e-19,0
1,11,5.73550748e-03,2.04426500e-03,5.35882698e-03,-9.70132354e-19,0
1,12,5.79888438e-03,2.67816789e-03,5.14339156e-03,-6.18390205e-19,0
1,13,5.55073747e-03,3.32717432e-03,4.44303922e-03,-4.01305316e-19,0
1,14,5.05189875e-03,3.86470989e-03,3.25356703e-03,-8.40051282e-19,0
1,15,4.54523232e-03,4.20954871e-03,1.71430352e-03,7.87237540e-20,0
1,16,4.32811309e-03,4.32808851e-03,1.45884574e-05,-1.03463195e-18,0
1,17,4.57195237e-03,4.24997693e-03,-1.68536187e-03,-7.22080743e-19,0
1,18,5.09517510e-03,3.94171033e-03,-3.22858003e-03,-7.62266276e-19,0
1,19,5.60019178e-03,3.43145122e-03,-4.42575310e-03,5.75150259e-19,0
1,20,5.84561074e-03,2.79455048e-03,-5.13436000e-03,-1.08688347e-18,0
1,21,5.77749884e-03,2.16317297e-03,-5.35725448e-03,-2.64098414e-19,0
1,22,5.43307195e-03,1.60636324e-03,-5.19017032e-03,1.04476145e-20,0
1,23,4.89829666e-03,1.15571825e-03,-4.76000268e-03,-7.70996142e-19,0
1,24,4.25739316e-03,8.09553215e-04,-4.17971531e-03,-9.05193390e-20,0
1,25,3.58061206e-03,5.54536809e-04,-3.53741030e-03,2.96441583e-19,0
1,26,2.91858990e-03,3.72715589e-04,-2.89469344e-03,-1.96102732e-19,0
1,27,2.30165341e-03,2.46507254e-04,-2.28841487e-03,-3.47605614e-19,0
1,28,1.74389752e-03,1.61050228e-04,-1.73644504e-03,5.52993041e-20,0
