x,z,density,Jx,Jy,Jz,state
0,0,3.91883158e-03,2.32878346e-03,3.15182620e-03,-3.99138444e-07,0
0,1,4.96936989e-03,-1.17550109e-03,1.76360416e-03,-4.49472298e-03,0
0,2,8.30096567e-03,-1.83979616e-03,1.92918870e-04,8.09221622e-03,0
0,3,9.37906522e-03,2.22481141e-04,-9.06010261e-04,9.33255121e-03,0
0,4,2.86508074e-03,1.37975139e-04,-1.57466903e-03,-2.38957485e-03,0
0,5,4.83225487e-03,2.03118384e-03,1.31901768e-03,-4.18152744e-03,0
0,6,5.27633749e-03,-7.52191900e-04,1.33827286e-03,5.04806600e-03,0
0,7,2.64357911e-03,1.55961674e-04,-1.21530118e-03,2.34248362e-03,0
0,8,4.62571972e-03,3.04005211e-03,-1.35762313e-03,-3.21126540e-03,0
0,9,7.97837105e-03,-9.11258646e-04,-1.94198003e-03,-7.68457714e-03,0
0,10,4.55049113e-03,-1.71009257e-04,2.53576485e-04,4.54020091e-03,0
0,11,1.71701455e-02,-4.17235359e-04,-1.23478962e-03,1.71206048e-02,0
0,12,5.24187641e-03,-1.96765790e-04,1.79594577e-03,4.92068393e-03,0
0,13,3.19231484e-03,2.59747031e-03,1.85569943e-03,2.00409737e-05,0
0,14,4.43999504e-03,1.56851540e-03,2.46429984e-03,3.34373170e-03,0
0,15,1.04889117e-02,3.06518704e-03,2.26893621e-03,9.77107087e-03,0
0,16,2.38550671e-03,1.61081995e-03,1.75950467e-03,6.68534048e-06,0
0,17,1.04863696e-02,3.05771506e-03,2.27750160e-03,-9.76869040e-03,0
0,18,4.41170735e-03,1.56025584e-03,2.44580600e-03,-3.32367213e-03,0
0,19,3.17987484e-03,2.58823408e-03,1.84733478e-03,-1.59270445e-06,0
0,20,5.19205123e-03,-1.92051039e-04,1.69107931e-03,-4.90517717e-03,0
0,21,1.71589537e-02,-4.17530027e-04,-1.35401468e-03,-1.71003510e-02,0
0,22,4.57251250e-03,-1.49505726e-04,1.23383413e-04,-4.56840182e-03,0
0,23,8.01985020e-03,-8.80154934e-04,-2.12341561e-03,7.68338667e-03,0
0,24,4.62081649e-03,3.06913485e-03,-1.36523086e-03,3.17309014e-03,0
0,25,2.63715775e-03,1.59820969e-04,-1.15385753e-03,-2.36593978e-03,0
0,26,5.24513856e-03,-8.08948507e-04,1.33489953e-03,-5.00750677e-03,0
0,27,4.81669340e-03,1.97744497e-03,1.33402479e-03,4.18456982e-03,0
0,28,2.85730566e-03,1.46497289e-04,-1.53245570e-03,2.40713807e-03,0
0,29,9.32633464e-03,2.49604850e-04,-8.78461592e-04,-9.28151498e-03,0
0,30,8.27156191e-03,-1.84250394e-03,2.19151895e-04,-8.06076225e-03,0
0,31,4.98977753e-03,-1.19242500e-03,1.78657269e-03,4.50379401e-03,0
1,0,1.07499483e-02,-1.01679174e-02,3.48923774e-03,8.02785047e-06,0
1,1,1.72690968e-02,-1.69301250e-02,2.42285773e-03,2.39213993e-03,0
1,2,1.28845847e-02,-1.25224806e-02,-3.89443449e-05,3.03290023e-03,0
1,3,1.16626098e-02,1.11608960e-02,9.00186427e-04,-3.26198289e-03,0
1,4,2.45613409e-02,2.44030157e-02,1.31962819e-03,2.45170767e-03,0
1,5,2.50814945e-02,2.34181498e-02,-2.38423443e-03,8.65950663e-03,0
1,6,3.03439312e-02,2.98080953e-02,-1.60615115e-03,5.44535507e-03,0
1,7,4.09755328e-02,4.09238950e-02,-8.34495947e-04,1.87955412e-03,0
1,8,3.80482764e-02,3.79319798e-02,-7.44133417e-04,-2.87793413e-03,0
1,9,2.71183698e-02,2.68859087e-02,2.04050301e-03,-2.89659094e-03,0
