tick,manifested,positive,negative,total_flux,total_energy,avg_drag,max_bandwidth,total_entropy,field_energy,wave_energy,particle_ke,gauss_violation,charge_total
1,12,2,10,2.40170591e+02,1.67444479e+04,0.00000000e+00,3.62303824e-05,4.66556011e+00,1.49057002e+02,1.89535016e+01,1.00837258e-04,1.22146347e+01,-8
2,12,2,10,2.63639416e+02,1.67444479e+04,0.00000000e+00,6.55638907e-05,5.99291523e+00,6.39966425e+01,5.23879205e+01,1.53495549e-04,1.10022722e+01,-8
3,12,2,10,2.91306757e+02,1.67444479e+04,0.00000000e+00,1.30656534e-04,5.71432626e+00,6.76691267e+01,5.43453046e+01,2.63305007e-04,2.49221978e+01,-8
4,12,2,10,3.30722049e+02,1.67444477e+04,0.00000000e+00,2.90697922e-04,5.07792370e+00,1.09019997e+02,3.81368212e+01,5.32284674e-04,3.04428551e+01,-8
5,12,2,10,3.71154164e+02,1.67444475e+04,0.00000000e+00,5.17609694e-04,5.47199579e+00,1.26916783e+02,3.77505723e+01,8.89902086e-04,2.53361947e+01,-8
6,16,2,14,4.06188141e+02,1.67444474e+04,0.00000000e+00,7.45099185e-04,5.89608883e+00,1.30150844e+02,4.58881083e+01,1.20067395e-03,2.34275433e+01,-12
7,16,2,14,4.41666386e+02,1.67444473e+04,0.00000000e+00,9.17510143e-04,6.25997019e+00,1.30094800e+02,4.81604370e+01,1.42117614e-03,2.05118065e+01,-12
8,16,2,14,4.70489307e+02,1.67444472e+04,0.00000000e+00,1.01521390e-03,6.56521155e+00,1.27626443e+02,4.74569183e+01,1.47105588e-03,1.91750168e+01,-12
9,16,2,14,5.03732850e+02,1.67444472e+04,0.00000000e+00,1.15353537e-03,6.83066795e+00,1.25925305e+02,4.58200493e+01,1.56183294e-03,1.98847786e+01,-12
10,16,2,14,5.30525398e+02,1.67444471e+04,0.00000000e+00,1.30135606e-03,7.02046641e+00,1.24951439e+02,4.29634691e+01,1.69120634e-03,2.05924984e+01,-12
11,16,2,14,5.58982402e+02,1.67444471e+04,0.00000000e+00,1.41992518e-03,7.20180306e+00,1.22941953e+02,4.26244073e+01,1.81724601e-03,2.05574859e+01,-12
12,16,2,14,5.82762251e+02,1.67444470e+04,0.00000000e+00,1.57881887e-03,7.35620895e+00,1.19370307e+02,4.35541646e+01,2.03935631e-03,2.03104682e+01,-12
13,16,2,14,6.04804282e+02,1.67444468e+04,0.00000000e+00,1.73398725e-03,7.50442246e+00,1.15434330e+02,4.58772659e+01,2.29773054e-03,2.02488509e+01,-12
14,16,2,14,6.34496992e+02,1.67444467e+04,0.00000000e+00,1.88355809e-03,7.65482583e+00,1.13310015e+02,4.68462019e+01,2.56766156e-03,2.04608832e+01,-12
15,16,2,14,6.63816546e+02,1.67444465e+04,0.00000000e+00,2.04555304e-03,7.78708443e+00,1.11718413e+02,4.69493732e+01,2.86268094e-03,2.04597070e+01,-12
16,16,2,14,6.91201547e+02,1.67444464e+04,0.00000000e+00,2.21135080e-03,7.91121754e+00,1.09995720e+02,4.71102770e+01,3.18166912e-03,2.02511908e+01,-12
17,16,2,14,7.18805330e+02,1.67444462e+04,0.00000000e+00,2.39408458e-03,8.01377340e+00,1.08343679e+02,4.76020894e+01,3.54449817e-03,2.03094368e+01,-12
18,16,2,14,7.46156689e+02,1.67444460e+04,0.00000000e+00,2.60369287e-03,8.11720796e+00,1.06920102e+02,4.81281245e+01,3.95244114e-03,2.06932877e+01,-12
19,16,2,14,7.70260791e+02,1.67444458e+04,0.00000000e+00,2.82116881e-03,8.20817830e+00,1.05231425e+02,4.89924165e+01,4.39609943e-03,2.09777595e+01,-12
20,16,2,14,8.02224601e+02,1.67444455e+04,0.00000000e+00,3.02700779e-03,8.31401669e+00,1.03502838e+02,4.97504387e+01,4.86594305e-03,2.09086187e+01,-12
21,16,2,14,8.23899042e+02,1.67444453e+04,0.00000000e+00,3.24278785e-03,8.39407075e+00,1.01915976e+02,5.03467173e+01,5.36280408e-03,2.06841527e+01,-12
22,16,2,14,8.54448834e+02,1.67444450e+04,0.00000000e+00,3.47259243e-03,8.49011385e+00,1.00617740e+02,5.07018915e+01,5.89175289e-03,2.06410879e+01,-12
23,16,2,14,8.77652899e+02,1.67444447e+04,0.00000000e+00,3.71261995e-03,8.55526455e+00,9.89826137e+01,5.13056800e+01,6.46508064e-03,2.07874883e+01,-12
24,16,2,14,9.07732859e+02,1.67444444e+04,0.00000000e+00,3.94299307e-03,8.65111134e+00,9.73892599e+01,5.21055178e+01,7.05766085e-03,2.09665493e+01,-12
25,16,2,14,9.32155953e+02,1.67444441e+04,0.00000000e+00,4.16412386e-03,8.71686053e+00,9.60267141e+01,5.25512349e+01,7.65450310e-03,2.10639180e+01,-12
26,12,0,12,9.59421607e+02,1.67444466e+04,0.00000000e+00,9.93272834e-04,8.78827883e+00,9.47192835e+01,5.28093169e+01,2.78019456e-03,1.51342716e+01,-12
27,12,0,12,9.90932545e+02,1.67444465e+04,0.00000000e+00,1.05633618e-03,8.86983844e+00,9.36787310e+01,5.32931818e+01,2.97755790e-03,1.53286239e+01,-12
28,12,0,12,1.01405567e+03,1.67444464e+04,0.00000000e+00,1.12333298e-03,8.92635456e+00,9.24246732e+01,5.36138309e+01,3.19178046e-03,1.51973478e+01,-12
29,12,0,12,1.04159279e+03,1.67444463e+04,0.00000000e+00,1.17307886e-03,9.00425463e+00,9.10066451e+01,5.41862386e+01,3.39959824e-03,1.45069692e+01,-12
30,12,0,12,1.06891217e+03,1.67444462e+04,0.00000000e+00,1.21763428e-03,9.07127478e+00,8.98332767e+01,5.44634820e+01,3.59822982e-03,1.43824053e+01,-12
31,12,0,12,1.09017611e+03,1.67444460e+04,0.00000000e+00,1.26858230e-03,9.12710242e+00,8.84307127e+01,5.49820628e+01,3.81996707e-03,1.50371797e+01,-12
32,12,0,12,1.11288607e+03,1.67444459e+04,0.00000000e+00,1.33270821e-03,9.18656638e+00,8.71190862e+01,5.59067803e+01,4.07170737e-03,1.58187433e+01,-12
33,12,0,12,1.13677454e+03,1.67444458e+04,0.00000000e+00,1.40088043e-03,9.25017365e+00,8.58877973e+01,5.64200572e+01,4.32857132e-03,1.59592641e+01,-12
34,12,0,12,1.15475754e+03,1.67444457e+04,0.00000000e+00,1.47465955e-03,9.29789104e+00,8.45945320e+01,5.66937181e+01,4.59020679e-03,1.54608943e+01,-12
35,12,0,12,1.17953471e+03,1.67444455e+04,0.00000000e+00,1.53750588e-03,9.36565178e+00,8.33879818e+01,5.68098197e+01,4.85336912e-03,1.50371080e+01,-12
36,12,0,12,1.19685433e+03,1.67444454e+04,0.00000000e+00,1.59293744e-03,9.41660595e+00,8.23438502e+01,5.71528181e+01,5.11421173e-03,1.51373609e+01,-12
37,12,0,12,1.21677438e+03,1.67444452e+04,0.00000000e+00,1.65315664e-03,9.47117279e+00,8.13219183e+01,5.75688348e+01,5.38407375e-03,1.55199497e+01,-12
38,12,0,12,1.22784481e+03,1.67444451e+04,0.00000000e+00,1.72161874e-03,9.51636518e+00,7.98811130e+01,5.79999401e+01,5.67048643e-03,1.57316233e+01,-12
