kind,stage,L,seed,T,gamma,r,V,alpha_r,alpha_fit,r2,valid,n_ticks_probe
data,fine,32,101,0.005,0.01,4,-0.01540543446,0.06162173785,,,,200
data,fine,32,101,0.005,0.01,6,-0.0142164049,0.0852984294,,,,200
data,fine,32,101,0.005,0.01,8,-0.006573596124,0.05258876899,,,,200
data,fine,32,101,0.005,0.01,10,-0.001428755813,0.01428755813,,,,200
fit,fine,32,101,0.005,0.01,fit,,,0.08865828818,0.779391,valid,200
data,fine,32,118,0.005,0.01,4,-0.01540543446,0.06162173785,,,,200
data,fine,32,118,0.005,0.01,6,-0.0142164049,0.0852984294,,,,200
data,fine,32,118,0.005,0.01,8,-0.006573596124,0.05258876899,,,,200
data,fine,32,118,0.005,0.01,10,-0.001428755813,0.01428755813,,,,200
fit,fine,32,118,0.005,0.01,fit,,,0.08865828818,0.779391,valid,200
data,fine,32,135,0.005,0.01,4,-0.01540543446,0.06162173785,,,,200
data,fine,32,135,0.005,0.01,6,-0.0142164049,0.0852984294,,,,200
data,fine,32,135,0.005,0.01,8,-0.006573596124,0.05258876899,,,,200
data,fine,32,135,0.005,0.01,10,-0.001428755813,0.01428755813,,,,200
fit,fine,32,135,0.005,0.01,fit,,,0.08865828818,0.779391,valid,200
data,fine,32,152,0.005,0.01,4,-0.01540543446,0.06162173785,,,,200
data,fine,32,152,0.005,0.01,6,-0.0142164049,0.0852984294,,,,200
data,fine,32,152,0.005,0.01,8,-0.006573596124,0.05258876899,,,,200
data,fine,32,152,0.005,0.01,10,-0.001428755813,0.01428755813,,,,200
fit,fine,32,152,0.005,0.01,fit,,,0.08865828818,0.779391,valid,200
data,mid,16,101,0.005,0.01,2,2.053967839,-4.107935679,,,,200
data,mid,16,101,0.005,0.01,3,0.3725106539,-1.117531962,,,,200
data,mid,16,101,0.005,0.01,4,0.04830335408,-0.1932134163,,,,200
data,mid,16,101,0.005,0.01,5,-0.001111003167,0.005555015833,,,,200
fit,mid,16,101,0.005,0.01,fit,,,-7.120418564,0.929318,valid,200
data,mid,16,118,0.005,0.01,2,2.053967839,-4.107935679,,,,200
data,mid,16,118,0.005,0.01,3,0.3725106539,-1.117531962,,,,200
data,mid,16,118,0.005,0.01,4,0.04830335408,-0.1932134163,,,,200
data,mid,16,118,0.005,0.01,5,-0.001111003167,0.005555015833,,,,200
fit,mid,16,118,0.005,0.01,fit,,,-7.120418564,0.929318,valid,200
data,mid,16,135,0.005,0.01,2,2.053967839,-4.107935679,,,,200
data,mid,16,135,0.005,0.01,3,0.3725106539,-1.117531962,,,,200
data,mid,16,135,0.005,0.01,4,0.04830335408,-0.1932134163,,,,200
data,mid,16,135,0.005,0.01,5,-0.001111003167,0.005555015833,,,,200
fit,mid,16,135,0.005,0.01,fit,,,-7.120418564,0.929318,valid,200
data,mid,16,152,0.005,0.01,2,2.053967839,-4.107935679,,,,200
data,mid,16,152,0.005,0.01,3,0.3725106539,-1.117531962,,,,200
data,mid,16,152,0.005,0.01,4,0.04830335408,-0.1932134163,,,,200
data,mid,16,152,0.005,0.01,5,-0.001111003167,0.005555015833,,,,200
fit,mid,16,152,0.005,0.01,fit,,,-7.120418564,0.929318,valid,200
beta,L_fine=32,L_mid=16,b=2,T=0.005,gamma=0.01,alpha_fine=0.0886583,alpha_fine_sem=0,alpha_mid=-7.12042,alpha_mid_sem=0,beta=-4.27927,sigma_beta=0
