stencil,seed,L,T,gamma,N_burn,N_measure,x_plus,x_minus,sum,ratio,valid_prony,prony_failure
SC,1,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,2,24,0.005,0.05,500,2000,-0.000919738,-0.00629397,-0.00721371,0,1,""
SC,3,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,4,24,0.005,0.05,500,2000,0.0161921,0.00301836,0.0192105,5.36454,1,""
SC,5,24,0.005,0.05,500,2000,0.00191381,-0.0158345,-0.0139206,0,1,""
SC,6,24,0.005,0.05,500,2000,0.0356207,0.00109987,0.0367205,32.3862,1,""
SC,7,24,0.005,0.05,500,2000,-0.00338632,-0.0041072,-0.00749351,0,1,""
SC,8,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,1,24,0.005,0.05,500,2000,0.0184614,0.00319553,0.0216569,5.77725,1,""
FCC,2,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,3,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,4,24,0.005,0.05,500,2000,0.041674,0.00105786,0.0427319,39.3946,1,""
FCC,5,24,0.005,0.05,500,2000,0.0405676,0.00502649,0.0455941,8.07075,1,""
FCC,6,24,0.005,0.05,500,2000,0.0149009,0.00647425,0.0213752,2.30157,1,""
FCC,7,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,8,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,1,24,0.005,0.05,500,2000,0.0131036,0.00164081,0.0147444,7.98608,1,""
BCC,2,24,0.005,0.05,500,2000,0.0287464,0.00213956,0.030886,13.4357,1,""
BCC,3,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,4,24,0.005,0.05,500,2000,0.0706533,0.00338247,0.0740358,20.8881,1,""
BCC,5,24,0.005,0.05,500,2000,0.0394082,0.00730562,0.0467139,5.39424,1,""
BCC,6,24,0.005,0.05,500,2000,0.0363265,0.00432146,0.040648,8.40607,1,""
BCC,7,24,0.005,0.05,500,2000,0.0217139,0.00287924,0.0245931,7.54153,1,""
BCC,8,24,0.005,0.05,500,2000,0.0147246,0.000789168,0.0155138,18.6584,1,""
FULL,1,24,0.005,0.05,500,2000,0.0761271,0.00256989,0.078697,29.6227,1,""
FULL,2,24,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FULL,3,24,0.005,0.05,500,2000,0.0292439,0.0013408,0.0305847,21.8107,1,""
FULL,4,24,0.005,0.05,500,2000,0.0607325,0.00181689,0.0625494,33.4267,1,""
FULL,5,24,0.005,0.05,500,2000,0.040094,0.00229026,0.0423843,17.5063,1,""
FULL,6,24,0.005,0.05,500,2000,0.0392077,0.00568052,0.0448882,6.90212,1,""
FULL,7,24,0.005,0.05,500,2000,0.0627632,0.00388974,0.0666529,16.1356,1,""
FULL,8,24,0.005,0.05,500,2000,0.0342771,0.00245901,0.0367361,13.9394,1,""
