tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,25,3.6954,0.625985,15.96,16,16.04,-3,0,250
300,0,25,3.66187,0.618943,15.96,16,16.04,-3,50,250
350,0,25,4.35105,0.851573,15.96,16,16.04,-3,100,250
400,0,25,5.42925,1.25954,15.96,16,16.04,-3,150,250
450,0,25,5.20417,1.17035,15.96,16,16.04,-3,200,250
500,0,25,6.1965,1.6234,15.96,16,16.04,-3,250,250
550,0,25,7.59573,2.42424,15.96,16,16.04,-3,300,250
600,0,25,7.4197,2.34139,15.96,16,16.04,-3,350,250
650,0,25,8.19827,2.80542,15.96,16,16.04,-3,400,250
700,0,25,7.76527,2.52537,15.96,16,16.04,-3,450,250
750,0,25,7.71145,2.52163,15.96,16,16.04,-3,500,250
800,0,25,8.47536,2.97035,15.96,16,16.04,-3,550,250
850,0,25,7.21262,2.15089,15.96,16,16.04,-3,600,250
900,0,25,6.81982,1.96954,15.96,16,16.04,-3,650,250
950,0,25,8.1886,2.801,15.96,16,16.04,-3,700,250
1000,0,25,7.19801,2.25201,15.96,16,16.04,-3,750,250
1050,0,25,7.30833,2.32047,15.96,16,16.04,-3,800,250
1100,0,25,7.39299,2.28051,15.96,16,16.04,-3,850,250
1150,0,25,7.91367,2.57482,15.96,16,16.04,-3,900,250
1200,0,25,10.0285,4.15105,15.96,16,16.04,-3,950,250
1250,0,25,10.3057,4.38633,15.96,16,16.04,-3,1000,250
1300,0,25,10.1196,4.1755,15.96,16,16.04,-3,1050,250
1350,0,25,8.74614,3.14969,15.96,16,16.04,-3,1100,250
1400,0,25,8.56599,3.05817,15.96,16,16.04,-3,1150,250
1450,0,25,8.61593,3.06908,15.96,16,16.04,-3,1200,250
1500,0,25,7.0771,2.12103,15.96,16,16.04,-3,1250,250
1550,0,25,7.74082,2.4888,15.96,16,16.04,-3,1300,250
1600,0,25,8.5221,3.00308,15.96,16,16.04,-3,1350,250
1650,0,25,8.57132,3.08453,15.96,16,16.04,-3,1400,250
1700,0,25,9.21978,3.49968,15.96,16,16.04,-3,1450,250
1750,0,25,9.43746,3.68928,15.96,16,16.04,-3,1500,250
1800,0,25,8.83478,3.2862,15.96,16,16.04,-3,1550,250
1850,0,25,10.9454,4.91132,15.96,16,16.04,-3,1600,250
1900,0,25,10.52,4.55728,15.96,16,16.04,-3,1650,250
1950,0,25,10.1164,4.27197,15.96,16,16.04,-3,1700,250
2000,0,25,10.7831,4.79647,15.96,16,16.04,-3,1750,250
2050,0,25,11.2615,5.16081,15.96,16,16.04,-3,1800,250
2100,0,25,11.4681,5.37582,15.96,16,16.04,-3,1850,250
2150,0,25,11.3306,5.27269,15.96,16,16.04,-3,1900,250
2200,0,25,12.4408,6.33632,15.96,16,16.04,-3,1950,250
2250,0,25,11.3635,5.25334,15.96,16,16.04,-3,2000,250
2300,0,25,12.0614,5.93505,15.96,16,16.04,-3,2050,250
2350,0,25,11.5849,5.51273,15.96,16,16.04,-3,2100,250
2400,0,25,11.8965,5.79441,15.96,16,16.04,-3,2150,250
2450,0,25,13.023,6.89501,15.96,16,16.04,-3,2200,250
2500,0,25,12.5182,6.34347,15.96,16,16.04,-3,2250,250
2550,0,25,12.7312,6.62225,15.96,16,16.04,-3,2300,250
2600,0,25,11.9253,5.88857,15.96,16,16.04,-3,2350,250
2650,0,25,11.5797,5.42647,15.96,16,16.04,-3,2400,250
2700,0,25,12.7187,6.57336,15.96,16,16.04,-3,2450,250
