tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,1073.76,26,11,15,1,26,0.344661
300,1181.99,26,11,15,1,26,0.444588
350,1217.23,26,11,15,1,26,0.546375
400,1184.54,26,11,15,1,26,0.492635
450,1174.19,26,11,15,1,26,0.574004
500,1130.99,26,11,15,1,26,0.64721
550,1067.84,26,11,15,1,26,0.508788
600,1086.82,26,11,15,1,26,0.615968
650,1232.79,26,11,15,1,26,0.445125
700,1361.72,26,11,15,1,26,0.577184
750,1273.27,26,11,15,1,26,0.578698
800,1472.88,26,11,15,1,26,0.912625
850,1716.95,26,11,15,1,26,0.948661
900,1749.08,26,11,15,1,26,0.838125
950,1589.03,26,11,15,1,26,1.01657
1000,1574.54,26,11,15,1,26,0.728733
1050,1676.99,26,11,15,1,26,1.04341
1100,2065.13,26,11,15,1,26,1.35525
1150,2628.69,26,11,15,1,26,1.65484
1200,2780.65,26,11,15,1,26,1.8004
1250,2538.11,26,11,15,1,26,1.7096
1300,2209.67,26,11,15,1,26,1.29128
1350,2080.11,26,11,15,1,26,1.22464
1400,1953.36,26,11,15,1,26,1.37931
1450,2094.12,26,11,15,1,26,1.20343
1500,2418.76,26,11,15,1,26,1.36193
1550,2521.25,26,11,15,1,26,1.78357
1600,2484.18,26,11,15,1,26,1.48731
1650,2350.81,26,11,15,1,26,1.81359
1700,2488.44,26,11,15,1,26,1.95988
1750,2831.02,26,11,15,1,26,1.96015
1800,2924.52,26,11,15,1,26,2.1414
1850,2908.39,26,11,15,1,26,1.7814
1900,2766.16,26,11,15,1,26,1.83419
1950,2839.14,26,11,15,1,26,1.53349
2000,3027.73,26,11,15,1,26,1.93031
2050,3379.26,26,11,15,1,26,2.40572
2100,3597.89,26,11,15,1,26,2.39493
2150,3232.21,26,11,15,1,26,2.83194
2200,3050.18,26,11,15,1,26,2.45119
2250,3205.01,26,11,15,1,26,2.08813
2300,3422.49,26,11,15,1,26,2.38672
2350,3494.81,26,11,15,1,26,2.51248
2400,3717.19,26,11,15,1,26,2.27685
2450,3815.51,26,11,15,1,26,3.11965
2500,4462.86,26,11,15,1,26,2.90174
2550,4882,26,11,15,1,26,3.54481
2600,5206.47,26,11,15,1,26,4.04986
2650,5899.47,26,11,15,1,26,4.28972
2700,6231.74,26,11,15,1,26,3.8082
2750,6068.01,26,11,15,1,26,3.31859
2800,5744.8,26,11,15,1,26,5.97169
2850,6378.88,26,11,15,1,26,4.26228
2900,6596.45,26,11,15,1,26,4.02738
2950,5891.71,26,11,15,1,26,3.87043
3000,5384.68,26,11,15,1,26,4.80312
3050,4949.62,26,11,15,1,26,3.90971
3100,4616.31,26,11,15,1,26,3.21093
3150,3963.52,26,11,15,1,26,2.71698
3200,4355.26,26,11,15,1,26,3.13121
3250,5305.35,26,11,15,1,26,3.87046
3300,5799.02,26,11,15,1,26,4.10858
3350,6002.51,26,11,15,1,26,4.60529
3400,5787.43,26,11,15,1,26,4.42231
3450,5770.92,26,11,15,1,26,4.21415
3500,5824.44,26,11,15,1,26,4.93738
3550,5542.24,26,11,15,1,26,3.25593
3600,5836.85,26,11,15,1,26,4.80466
3650,6296.32,26,11,15,1,26,4.94628
3700,6277.89,26,11,15,1,26,4.51614
3750,6084.72,26,11,15,1,26,4.05703
3800,5799.13,26,11,15,1,26,4.02193
3850,5170.04,26,11,15,1,26,3.8368
3900,5106.75,26,11,15,1,26,3.73288
3950,5497.33,26,11,15,1,26,3.87739
4000,5764.75,26,11,15,1,26,4.35004
4050,5966.17,26,11,15,1,26,4.8678
4100,6720.27,26,11,15,1,26,5.47111
4150,7764.02,26,11,15,1,26,6.18052
4200,9067.52,26,11,15,1,26,5.75088
4250,10148.3,26,11,15,1,26,7.81425
4300,11354.9,26,11,15,1,26,9.477
4350,12715.2,26,11,15,1,26,8.84591
4400,13881.9,26,11,15,1,26,10.5048
4450,15229.3,26,11,15,1,26,10.9627
4500,14657.8,26,11,15,1,26,10.5055
4550,13697.1,26,11,15,1,26,10.4603
4600,13679,26,11,15,1,26,9.03846
4650,13323.5,26,11,15,1,26,11.1535
4700,13203.9,26,11,15,1,26,10.1405
4750,14042.3,26,11,15,1,26,10.8384
4800,15120.4,26,11,15,1,26,11.7369
4850,15730.5,26,11,15,1,26,12.0711
4900,15921.5,26,11,15,1,26,13.163
4950,15881.9,26,11,15,1,26,12.497
5000,16521.1,26,11,15,1,26,13.2084
5050,17766,26,11,15,1,26,13.8097
5100,19198.3,27,12,15,1,27,17.4275
5150,20621.9,27,12,15,1,27,16.774
5200,20638.8,27,12,15,1,27,16.1121
