tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,14545.6,0,0,0,0,0,0
300,17940.2,0,0,0,0,0,0
350,19750.1,0,0,0,0,0,0
400,23113.7,3,1,2,3,1,1.93553
450,25033.1,14,5,9,14,1,11.7201
500,28053.9,33,12,21,31,2,28.2966
550,36802.5,290,147,143,201,7,340.177
600,62969.3,7711,3885,3826,70,7612,14722.5
650,141101,32742,16353,16389,1,32742,130167
700,137634,32766,16364,16402,1,32766,128925
750,137458,32768,16365,16403,1,32768,129533
800,129482,32768,16365,16403,1,32768,121840
850,126127,32768,16365,16403,1,32768,118601
900,127662,32768,16365,16403,1,32768,120176
950,126568,32768,16365,16403,1,32768,119099
1000,119074,32768,16365,16403,1,32768,111566
1050,111891,32768,16365,16403,1,32768,104397
1100,114280,32768,16365,16403,1,32768,106805
1150,122696,32768,16365,16403,1,32768,115242
1200,129876,32768,16365,16403,1,32768,122389
1250,134473,32768,16365,16403,1,32768,126984
1300,142900,32768,16365,16403,1,32768,135394
1350,144909,32768,16365,16403,1,32768,137452
1400,148847,32768,16365,16403,1,32768,141333
1450,147507,32768,16365,16403,1,32768,139967
1500,133416,32768,16365,16403,1,32768,125889
1550,116831,32768,16365,16403,1,32768,109336
1600,118117,32768,16365,16403,1,32768,110663
1650,119222,32768,16365,16403,1,32768,111771
1700,123447,32768,16365,16403,1,32768,115962
1750,133396,32768,16365,16403,1,32768,125918
1800,144662,32768,16365,16403,1,32768,137126
1850,148663,32768,16365,16403,1,32768,141182
1900,154341,32768,16365,16403,1,32768,146815
1950,151505,32768,16365,16403,1,32768,144008
2000,153441,32768,16365,16403,1,32768,145992
2050,157050,32768,16365,16403,1,32768,149583
2100,155961,32768,16365,16403,1,32768,148438
2150,153517,32768,16365,16403,1,32768,146001
2200,155848,32768,16365,16403,1,32768,148324
2250,156179,32768,16365,16403,1,32768,148714
2300,155170,32768,16365,16403,1,32768,147711
2350,154529,32768,16365,16403,1,32768,146996
2400,158925,32768,16365,16403,1,32768,151392
2450,166971,32768,16365,16403,1,32768,159525
2500,157763,32768,16365,16403,1,32768,150248
2550,161594,32768,16365,16403,1,32768,154082
2600,151483,32768,16365,16403,1,32768,143986
2650,145996,32768,16365,16403,1,32768,138530
2700,140533,32768,16365,16403,1,32768,133066
