cluster_id,max_age_ticks,max_total_energy
79,750,149163
71,100,2.00902
70,100,1.94805
69,100,10.8008
68,100,2.71026
67,100,50.2902
66,100,4.72519
64,100,1.13517
63,100,17.2354
61,100,21.3262
28,100,3.26106
24,150,1.85099
23,100,1.58093
22,150,2.54657
21,150,6.7594
20,100,4.75851
19,100,1.49179
18,100,3.44462
17,100,7.4902
16,100,2.93704
15,150,2.57666
14,150,131.66
13,100,3.7072
0,3250,1.18243
1,3250,6.92497
2,3100,2.48604
3,2600,0.818822
4,150,1.34324
5,150,4.35587
6,200,5.15408
7,150,6.41517
8,100,1.59559
9,100,3.19007
10,150,1.01223
11,100,1.51368
12,100,1.40875
29,100,1.43129
30,100,2.81475
31,100,1.4331
32,100,3.57184
37,100,2.71052
38,100,1.31293
40,100,2.03709
41,100,4.80128
43,100,4.55611
44,100,7.92926
48,100,3.99906
50,100,1.17988
53,100,1.88144
58,100,15.6652
