tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,4,0.671622,0.121199,8,15.75,16,0,0,250
250,1,2,0.360828,0.0703091,24.5,16,16,0,0,250
300,0,4,0.316645,0.0283587,8,15.75,16,0,50,250
300,1,2,0.357486,0.0656679,24.5,16,16,0,50,250
350,0,4,0.367279,0.040041,8,15.75,16,0,100,250
350,1,2,0.156627,0.013793,24.5,16,16,0,100,250
400,0,4,0.480026,0.0607025,8,15.75,16,0,150,250
400,1,2,0.23023,0.0298741,24.5,16,16,0,150,250
450,0,4,0.648677,0.10955,8,15.75,16,0,200,250
450,1,2,0.309987,0.0539972,24.5,16,16,0,200,250
500,0,4,0.628544,0.108138,8,15.75,16,0,250,250
500,1,2,0.196585,0.0196868,24.5,16,16,0,250,250
550,0,4,0.718494,0.145326,8,15.75,16,0,300,250
550,1,2,0.227563,0.0330584,24.5,16,16,0,300,250
600,0,4,0.297142,0.0235218,8,15.75,16,0,350,250
600,1,2,0.209407,0.0230834,24.5,16,16,0,350,250
650,0,4,0.407701,0.0456112,8,15.75,16,0,400,250
650,1,2,0.222966,0.028436,24.5,16,16,0,400,250
700,0,4,0.593157,0.0889011,8,15.75,16,0,450,250
700,1,2,0.435091,0.0968306,24.5,16,16,0,450,250
750,0,4,0.473645,0.0604741,8,15.75,16,0,500,250
750,1,2,0.288302,0.0453127,24.5,16,16,0,500,250
800,0,4,0.723383,0.134813,8,15.75,16,0,550,250
800,1,2,0.194379,0.0262986,24.5,16,16,0,550,250
850,0,4,0.623484,0.108074,8,15.75,16,0,600,250
850,1,2,0.423252,0.0914078,24.5,16,16,0,600,250
900,0,4,0.636746,0.106461,8,15.75,16,0,650,250
900,1,2,0.343362,0.0589617,24.5,16,16,0,650,250
950,0,4,0.55324,0.0911255,8,15.75,16,0,700,250
950,1,2,0.307735,0.0490474,24.5,16,16,0,700,250
1000,0,4,0.754673,0.150196,8,15.75,16,0,750,250
1000,1,2,0.336865,0.0572431,24.5,16,16,0,750,250
1050,0,4,0.736022,0.136171,8,15.75,16,0,800,250
