tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,1115.57,6,3,3,2,4,0.191508
300,1220.77,6,3,3,2,4,0.0940265
350,1254.71,6,3,3,2,4,0.053834
400,1262.8,6,3,3,2,4,0.0905766
450,1272.93,6,3,3,2,4,0.163547
500,1193.61,6,3,3,2,4,0.127824
550,1100.75,6,3,3,2,4,0.178385
600,1073.53,6,3,3,2,4,0.0466052
650,1070.08,6,3,3,2,4,0.0740472
700,1106.75,6,3,3,2,4,0.185732
750,1116.19,6,3,3,2,4,0.105787
800,1325.56,6,3,3,2,4,0.161112
850,1486.65,6,3,3,2,4,0.199482
900,1468.43,6,3,3,2,4,0.165423
950,1268.07,6,3,3,2,4,0.140173
1000,1300.28,6,3,3,2,4,0.207439
1050,1355.54,6,3,3,2,4,0.182823
1100,1574.9,6,3,3,2,4,0.303111
1150,2040.08,6,3,3,2,4,0.240529
1200,2285.31,6,3,3,2,4,0.289416
1250,2232.81,6,3,3,2,4,0.227819
1300,1964.59,6,3,3,2,4,0.247664
1350,1893.73,6,3,3,2,4,0.249697
1400,1768.52,6,3,3,2,4,0.187074
1450,1933.38,6,3,3,2,4,0.326552
1500,2037.96,6,3,3,2,4,0.209755
1550,1953.02,6,3,3,2,4,0.227795
1600,1888.54,6,3,3,2,4,0.196129
1650,1725.96,6,3,3,2,4,0.204575
1700,1723.19,6,3,3,2,4,0.200013
1750,1925.78,6,3,3,2,4,0.214199
1800,1995.77,6,3,3,2,4,0.224577
1850,2200.32,6,3,3,2,4,0.325105
1900,1917.51,6,3,3,2,4,0.198404
1950,1719.46,6,3,3,2,4,0.289277
2000,1680.3,6,3,3,2,4,0.235811
2050,1904.64,6,3,3,2,4,0.14617
2100,2012.62,6,3,3,2,4,0.307669
2150,1786.06,6,3,3,2,4,0.461374
2200,1789.66,6,3,3,2,4,0.225294
2250,1759.54,6,3,3,2,4,0.249407
2300,1662.27,6,3,3,2,4,0.0979936
2350,1541.48,6,3,3,2,4,0.213085
2400,1566.22,6,3,3,2,4,0.195752
2450,1572.27,6,3,3,2,4,0.116692
2500,1759.52,6,3,3,2,4,0.139842
2550,1895.75,6,3,3,2,4,0.425462
2600,1959,6,3,3,2,4,0.272367
2650,2140.21,6,3,3,2,4,0.340641
2700,2177.01,6,3,3,2,4,0.211143
