tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,1170.05,0,0,0,0,0,0
300,1404.72,0,0,0,0,0,0
350,1504.85,0,0,0,0,0,0
400,1417.16,0,0,0,0,0,0
450,1377.52,0,0,0,0,0,0
500,1293.8,0,0,0,0,0,0
550,1391.12,0,0,0,0,0,0
600,1499.83,0,0,0,0,0,0
650,1577.94,0,0,0,0,0,0
700,1827.49,0,0,0,0,0,0
750,2012.69,0,0,0,0,0,0
800,1897.06,0,0,0,0,0,0
850,1868.74,0,0,0,0,0,0
900,2098.62,0,0,0,0,0,0
950,2312.57,0,0,0,0,0,0
1000,2729.53,0,0,0,0,0,0
1050,2632.93,0,0,0,0,0,0
1100,2404.19,0,0,0,0,0,0
1150,2310.86,0,0,0,0,0,0
1200,2151.42,0,0,0,0,0,0
1250,2072.54,0,0,0,0,0,0
1300,1841.93,0,0,0,0,0,0
1350,1717.89,0,0,0,0,0,0
1400,1564.16,0,0,0,0,0,0
1450,1393.44,0,0,0,0,0,0
1500,1410.91,0,0,0,0,0,0
1550,1372.28,0,0,0,0,0,0
1600,1436.4,0,0,0,0,0,0
1650,1562.06,0,0,0,0,0,0
1700,1660.81,0,0,0,0,0,0
1750,1832.01,0,0,0,0,0,0
1800,2224.13,0,0,0,0,0,0
1850,2565.59,0,0,0,0,0,0
1900,2594.17,0,0,0,0,0,0
1950,2585.9,0,0,0,0,0,0
2000,2678.69,0,0,0,0,0,0
2050,2622.31,0,0,0,0,0,0
2100,2337.49,0,0,0,0,0,0
2150,2441.66,0,0,0,0,0,0
2200,2554.09,0,0,0,0,0,0
2250,2840.44,0,0,0,0,0,0
2300,2722.1,0,0,0,0,0,0
2350,2942.4,0,0,0,0,0,0
2400,3189.47,0,0,0,0,0,0
2450,3616.32,0,0,0,0,0,0
2500,3784.63,0,0,0,0,0,0
2550,4229.37,0,0,0,0,0,0
2600,4383.5,0,0,0,0,0,0
2650,4273.36,0,0,0,0,0,0
2700,3948.24,0,0,0,0,0,0
