tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,1,0.900278,0.8105,5,0,0,1,0,250
250,1,1,0.407816,0.166314,7,0,0,1,0,250
250,2,1,0.674089,0.454395,10,6,0,1,0,250
250,3,1,0.94216,0.887666,12,7,0,1,0,250
250,4,1,1.0793,1.16488,20,7,0,1,0,250
250,5,2,0.850863,0.405025,25,7.5,0.5,-2,0,250
250,6,1,0.253863,0.0644465,17,9,0,-1,0,250
250,7,1,0.74442,0.554161,9,21,0,1,0,250
250,8,1,0.64779,0.419632,23,21,0,-1,0,250
250,9,1,1.12667,1.2694,20,31,0,-1,0,250
250,10,1,0.850381,0.723147,17,5,1,-1,0,250
250,11,2,1.4853,1.3494,7.5,6,1.5,2,0,250
250,12,1,1.37034,1.87784,4,7,1,-1,0,250
250,13,1,0.638971,0.408284,29,8,1,1,0,250
250,14,1,0.910318,0.82868,7,14,1,1,0,250
250,15,1,0.722029,0.521326,13,15,1,1,0,250
250,16,2,2.15762,2.38112,11,16.5,1,0,0,250
250,17,1,0.79575,0.633218,3,21,1,1,0,250
250,18,1,1.00392,1.00785,13,23,1,1,0,250
250,19,1,0.845986,0.715693,9,24,1,1,0,250
250,20,1,0.567436,0.321984,31,4,2,-1,0,250
250,21,1,0.882439,0.778699,21,5,2,-1,0,250
250,22,1,0.652113,0.425251,29,6,2,1,0,250
250,23,1,0.694952,0.482958,1,15,2,-1,0,250
250,24,2,2.25798,2.54979,23.5,20,2.5,-2,0,250
250,25,1,1.85259,3.43211,28,26,2,-1,0,250
250,26,4,4.27627,5.56649,25,27.25,2.75,0,0,250
250,27,1,0.56863,0.32334,16,0,3,-1,0,250
250,28,1,0.569345,0.324153,2,3,3,-1,0,250
250,29,3,3.00259,3.01513,9,11,3,1,0,250
250,30,2,1.53895,1.41634,29.5,13,3,0,0,250
250,31,1,1.32291,1.7501,24,17,3,1,0,250
250,32,4,2.62542,2.12542,4.75,18.5,4,0,0,250
250,33,3,2.57909,2.36587,10.6667,22.3333,3,-1,0,250
250,34,4,3.00669,2.50836,31,22.25,3.75,0,0,250
250,35,1,0.488459,0.238592,11,25,3,-1,0,250
250,36,1,1.11231,1.23723,7,1,4,-1,0,250
250,37,1,0.550317,0.302849,22,8,4,1,0,250
250,38,1,0.737971,0.544602,28,10,4,1,0,250
250,39,1,0.291467,0.0849529,6,14,4,-1,0,250
250,40,1,0.60536,0.36646,3,15,4,-1,0,250
250,41,1,0.66426,0.441242,26,17,4,-1,0,250
250,42,2,1.27967,0.821601,14,21.5,4,0,0,250
250,43,10,8.64798,8.58662,7.1,26.1,5.4,0,0,250
250,44,1,1.42006,2.01657,8,30,4,-1,0,250
250,45,1,1.26428,1.59841,12,2,5,1,0,250
250,46,3,2.18989,2.12142,19.3333,6,5.66667,1,0,250
250,47,1,0.27416,0.0751638,22,6,5,1,0,250
250,48,1,1.03019,1.0613,27,7,5,1,0,250
250,49,1,0.210774,0.0444256,12,9,5,1,0,250
250,50,1,0.790466,0.624836,26,9,5,1,0,250
250,51,2,0.876878,0.42154,12,18.5,5,0,0,250
250,52,1,1.06496,1.13413,13,24,5,-1,0,250
250,53,2,1.39699,1.09734,0,1,6.5,0,0,250
250,54,1,0.91341,0.834319,17,1,6,-1,0,250
