tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,21708.4,50,27,23,45,3,22.8344
300,22307.5,73,39,34,66,3,29.9077
350,22427.2,96,52,44,85,3,40.1856
400,21681.7,124,68,56,107,3,40.87
450,23496.2,159,87,72,132,3,72.7545
500,27773,334,164,170,236,5,214.445
550,32588.1,966,487,479,429,22,728.382
600,70261.1,13264,6574,6690,4,13261,24660
650,139020,32728,16199,16529,1,32728,121524
700,135187,32766,16223,16543,1,32766,119370
750,134721,32767,16224,16543,1,32767,119520
800,146098,32768,16225,16543,1,32768,131013
850,143934,32768,16225,16543,1,32768,128900
900,160639,32768,16225,16543,1,32768,145680
950,188299,32768,16225,16543,1,32768,173275
1000,180434,32768,16225,16543,1,32768,165397
1050,174286,32768,16225,16543,1,32768,159277
1100,158412,32768,16225,16543,1,32768,143352
1150,138628,32768,16225,16543,1,32768,123666
1200,124824,32768,16225,16543,1,32768,109864
1250,107986,32768,16225,16543,1,32768,93089
1300,97794.6,32768,16225,16543,1,32768,82790.7
1350,93220.3,32768,16225,16543,1,32768,78220.9
1400,95757.5,32768,16225,16543,1,32768,80844.9
1450,95776.4,32768,16225,16543,1,32768,80967.6
1500,95392.8,32768,16225,16543,1,32768,80508.7
1550,86622.7,32768,16225,16543,1,32768,71651.2
1600,83536,32768,16225,16543,1,32768,68555.3
1650,87250.5,32768,16225,16543,1,32768,72176
1700,80724.2,32768,16225,16543,1,32768,65712.5
1750,81102.7,32768,16225,16543,1,32768,66150.8
1800,83876.2,32768,16225,16543,1,32768,68862.9
1850,93482,32768,16225,16543,1,32768,78490.3
1900,102163,32768,16225,16543,1,32768,87094.8
1950,110535,32768,16225,16543,1,32768,95553.9
2000,112394,32768,16225,16543,1,32768,97398.2
2050,119852,32768,16225,16543,1,32768,104996
2100,131970,32768,16225,16543,1,32768,117152
2150,134243,32768,16225,16543,1,32768,119306
2200,134694,32768,16225,16543,1,32768,119769
2250,146460,32768,16225,16543,1,32768,131538
2300,153885,32768,16225,16543,1,32768,138960
2350,145657,32768,16225,16543,1,32768,130667
2400,139487,32768,16225,16543,1,32768,124505
2450,139823,32768,16225,16543,1,32768,124741
2500,136501,32768,16225,16543,1,32768,121549
2550,139532,32768,16225,16543,1,32768,124561
2600,142610,32768,16225,16543,1,32768,127681
2650,144572,32768,16225,16543,1,32768,129654
2700,145190,32768,16225,16543,1,32768,130209
