cluster_id,max_age_ticks,max_total_energy
91,100,0.620294
90,100,0.791747
89,100,3.44844
88,100,2.55303
87,100,2.10108
86,100,0.839819
85,100,0.780546
84,100,1.06546
83,100,11.3548
82,100,1.53942
81,100,1.57174
80,100,5.43489
79,100,0.816666
78,100,22.5813
77,100,0.950333
76,100,1.80265
75,100,2.82076
74,2100,227861
73,100,0.874234
72,100,3.25582
71,100,0.791227
70,150,1.81764
69,150,0.345991
68,150,1.10737
67,150,1.50105
66,150,2.75315
65,150,1.66324
64,150,1.4086
63,200,2.69516
62,150,0.478366
61,200,0.499388
60,200,0.656104
59,200,0.942913
28,350,1.62395
27,350,6.19952
26,350,4.27614
25,400,2.16439
24,400,2.73283
23,400,0.882151
22,400,1.27654
21,400,2.01326
20,400,4.37559
19,400,0.99079
18,400,2.44969
17,400,4.61513
16,400,1.73885
15,400,2.0453
14,400,8.21319
13,350,0.513094
0,450,3.25227
1,450,1.47667
2,450,3.03558
3,450,1.98885
4,450,2.40506
5,450,1.5721
6,450,2.71669
7,450,0.655346
8,450,1.22445
9,450,0.916867
10,450,1.59968
11,450,1.29868
12,400,0.890869
29,350,1.46545
30,350,1.03359
31,350,1.06201
32,350,1.24697
33,350,0.73743
34,350,2.87389
35,350,1.6852
36,350,1.1457
37,350,1.39284
38,350,1.65369
39,350,12.6692
40,350,1.91443
41,300,9.90145
42,250,1.2691
43,300,0.661708
44,300,1.27594
45,300,10.9791
46,300,6.76571
47,300,1.35406
48,300,3.47272
49,300,2.64611
50,300,1.72367
51,250,0.933864
52,250,3.36834
53,250,3.97406
54,250,0.989173
55,200,0.991787
56,150,0.747341
57,150,3.36878
58,200,0.68475
