tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,25,2.63566,0.318849,31.84,32.08,32,1,0,250
300,0,25,3.15597,0.472674,31.84,32.08,32,1,50,250
350,0,25,2.74148,0.348762,31.84,32.08,32,1,100,250
400,0,25,3.41848,0.528845,31.84,32.08,32,1,150,250
450,0,25,2.37032,0.283668,31.84,32.08,32,1,200,250
500,0,25,2.80605,0.37204,31.84,32.08,32,1,250,250
550,0,25,3.32018,0.523512,31.84,32.08,32,1,300,250
600,0,25,3.12071,0.434323,31.84,32.08,32,1,350,250
650,0,25,3.59428,0.597571,31.84,32.08,32,1,400,250
700,0,25,2.86215,0.398297,31.84,32.08,32,1,450,250
750,0,25,3.29296,0.552048,31.84,32.08,32,1,500,250
800,0,25,3.35973,0.510718,31.84,32.08,32,1,550,250
850,0,25,2.89079,0.398643,31.84,32.08,32,1,600,250
900,0,25,3.20653,0.446549,31.84,32.08,32,1,650,250
950,0,25,3.14156,0.4463,31.84,32.08,32,1,700,250
1000,0,25,3.61481,0.620298,31.84,32.08,32,1,750,250
1050,0,25,2.25234,0.234635,31.84,32.08,32,1,800,250
1100,0,25,3.06114,0.431619,31.84,32.08,32,1,850,250
1150,0,25,3.0148,0.41745,31.84,32.08,32,1,900,250
1200,0,25,2.72662,0.352495,31.84,32.08,32,1,950,250
1250,0,25,3.36145,0.479228,31.84,32.08,32,1,1000,250
1300,0,25,2.70022,0.319611,31.84,32.08,32,1,1050,250
1350,0,25,3.05179,0.421679,31.84,32.08,32,1,1100,250
1400,0,25,3.24523,0.494272,31.84,32.08,32,1,1150,250
1450,0,25,3.2562,0.486887,31.84,32.08,32,1,1200,250
1500,0,25,3.71792,0.613002,31.84,32.08,32,1,1250,250
1550,0,25,2.85766,0.388478,31.84,32.08,32,1,1300,250
1600,0,25,3.11138,0.432848,31.84,32.08,32,1,1350,250
1650,0,25,3.93016,0.664316,31.84,32.08,32,1,1400,250
1700,0,25,3.11523,0.476912,31.84,32.08,32,1,1450,250
1750,0,25,2.90645,0.404345,31.84,32.08,32,1,1500,250
1800,0,25,3.80834,0.686625,31.84,32.08,32,1,1550,250
1850,0,25,3.50172,0.582838,31.84,32.08,32,1,1600,250
1900,0,25,3.23338,0.487506,31.84,32.08,32,1,1650,250
1950,0,25,3.39779,0.549379,31.84,32.08,32,1,1700,250
2000,0,25,2.85088,0.390139,31.84,32.08,32,1,1750,250
2050,0,25,3.32946,0.535091,31.84,32.08,32,1,1800,250
2100,0,25,3.70389,0.64275,31.84,32.08,32,1,1850,250
2150,0,25,3.63383,0.618444,31.84,32.08,32,1,1900,250
2200,0,25,2.69542,0.351905,31.84,32.08,32,1,1950,250
2250,0,25,3.10462,0.446982,31.84,32.08,32,1,2000,250
2300,0,25,3.63177,0.619888,31.84,32.08,32,1,2050,250
2350,0,25,3.04703,0.446864,31.84,32.08,32,1,2100,250
2400,0,25,4.27906,0.82572,31.84,32.08,32,1,2150,250
2450,0,25,3.42697,0.523639,31.84,32.08,32,1,2200,250
2500,0,25,3.81546,0.626325,31.84,32.08,32,1,2250,250
2550,0,25,4.28711,0.904123,31.84,32.08,32,1,2300,250
2600,0,25,4.51488,0.882551,31.84,32.08,32,1,2350,250
2650,0,25,3.91065,0.709983,31.84,32.08,32,1,2400,250
2700,0,25,3.65319,0.615848,31.84,32.08,32,1,2450,250
