tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7838.95,26,14,12,1,26,0.33665
300,8044.08,26,14,12,1,26,0.390281
350,8268.99,26,14,12,1,26,0.42586
400,8323.4,26,14,12,1,26,0.268346
450,8143.35,26,14,12,1,26,0.359896
500,8135.73,26,14,12,1,26,0.393667
550,8426.99,26,14,12,1,26,0.620652
600,8685.25,26,14,12,1,26,0.556122
650,8868.58,26,14,12,1,26,0.277706
700,9168.54,26,14,12,1,26,0.554787
750,9107.76,26,14,12,1,26,0.636179
800,9251.19,26,14,12,1,26,0.502669
850,9559.92,26,14,12,1,26,0.598448
900,9939.75,26,14,12,1,26,0.589373
950,10500.4,26,14,12,1,26,0.822468
1000,10625.9,26,14,12,1,26,0.757152
1050,10640,26,14,12,1,26,0.684007
1100,10487.2,26,14,12,1,26,0.740084
1150,10217.5,26,14,12,1,26,0.606972
1200,9894.09,26,14,12,1,26,0.415027
1250,9901.64,26,14,12,1,26,0.784251
1300,10200.4,26,14,12,1,26,0.572639
1350,10532.2,26,14,12,1,26,0.502175
1400,11223.8,26,14,12,1,26,0.519834
1450,11840.4,26,14,12,1,26,0.682397
1500,12223.7,26,14,12,1,26,0.86504
1550,12224.8,26,14,12,1,26,0.709894
1600,12148.2,26,14,12,1,26,0.571739
1650,12052.3,26,14,12,1,26,0.907617
1700,12076,26,14,12,1,26,0.966031
1750,12176.9,26,14,12,1,26,0.703578
1800,12189.4,26,14,12,1,26,0.781749
1850,12036.5,26,14,12,1,26,0.972452
1900,11747.1,26,14,12,1,26,0.760323
1950,11878.7,26,14,12,1,26,0.779743
2000,12353.6,26,14,12,1,26,0.742154
2050,13205.4,26,14,12,1,26,0.666525
2100,13263.7,26,14,12,1,26,0.71403
2150,13379.4,26,14,12,1,26,0.99664
2200,13033.4,26,14,12,1,26,0.564761
2250,12637,26,14,12,1,26,1.02052
2300,12150.5,26,14,12,1,26,1.16434
2350,11381.6,26,14,12,1,26,0.92859
2400,11722.8,26,14,12,1,26,0.536978
2450,12480.9,26,14,12,1,26,0.885004
2500,12977.8,26,14,12,1,26,0.952755
2550,13479.5,26,14,12,1,26,0.886994
2600,14561.1,26,14,12,1,26,1.26943
2650,16178.2,26,14,12,1,26,1.61409
2700,16742.9,26,14,12,1,26,1.21128
