tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
1700,0,1,0.715869,0.512468,45,58,50,1,0,1700
1750,0,1,0.213027,0.0453805,45,58,50,1,50,1700
1800,0,1,0.132591,0.0175805,45,58,50,1,100,1700
1850,0,1,0.376844,0.142011,45,58,50,1,150,1700
1900,0,1,0.320865,0.102954,45,58,50,1,200,1700
1950,0,1,0.257109,0.0661052,45,58,50,1,250,1700
2000,0,1,0.677686,0.459258,45,58,50,1,300,1700
2050,0,1,0.338488,0.114574,45,58,50,1,350,1700
2100,0,1,0.28445,0.0809116,45,58,50,1,400,1700
2150,0,1,0.227865,0.0519224,45,58,50,1,450,1700
2200,0,1,0.431259,0.185984,45,58,50,1,500,1700
2250,0,1,0.508841,0.258919,45,58,50,1,550,1700
2300,0,1,0.172275,0.0296786,45,58,50,1,600,1700
2350,0,1,0.501451,0.251453,45,58,50,1,650,1700
2400,0,1,0.555598,0.308689,45,58,50,1,700,1700
2450,0,1,0.235909,0.0556529,45,58,50,1,750,1700
2500,0,1,0.356453,0.127059,45,58,50,1,800,1700
2550,0,1,0.703886,0.495456,45,58,50,1,850,1700
2600,0,1,0.691241,0.477814,45,58,50,1,900,1700
2650,0,1,0.0960637,0.00922823,45,58,50,1,950,1700
2700,0,1,0.384496,0.147837,45,58,50,1,1000,1700
