tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,77175.2,0,0,0,0,0,0
300,77488,0,0,0,0,0,0
350,78129.8,0,0,0,0,0,0
400,78580.9,0,0,0,0,0,0
450,79353.3,0,0,0,0,0,0
500,80200.4,0,0,0,0,0,0
550,80118,0,0,0,0,0,0
600,81022.7,0,0,0,0,0,0
650,83358.6,0,0,0,0,0,0
700,85873.9,0,0,0,0,0,0
750,85450.1,0,0,0,0,0,0
800,85599.9,0,0,0,0,0,0
850,84000.1,0,0,0,0,0,0
900,83621.2,0,0,0,0,0,0
950,82656.6,0,0,0,0,0,0
1000,83594.2,0,0,0,0,0,0
1050,83110.9,0,0,0,0,0,0
1100,82404,0,0,0,0,0,0
1150,82925.7,0,0,0,0,0,0
1200,83071.7,0,0,0,0,0,0
1250,81637.6,0,0,0,0,0,0
1300,81374.5,0,0,0,0,0,0
1350,83757.1,0,0,0,0,0,0
1400,84040.2,0,0,0,0,0,0
1450,83275.9,0,0,0,0,0,0
1500,84950.9,0,0,0,0,0,0
1550,86085.7,0,0,0,0,0,0
1600,88343.9,0,0,0,0,0,0
1650,89843.2,0,0,0,0,0,0
1700,89237.7,1,1,0,1,1,0.512468
1750,87700.4,1,1,0,1,1,0.0453805
1800,86271.2,1,1,0,1,1,0.0175805
1850,85306.2,1,1,0,1,1,0.142011
1900,84656.8,1,1,0,1,1,0.102954
1950,85521.1,1,1,0,1,1,0.0661052
2000,86050,1,1,0,1,1,0.459258
2050,87658.5,1,1,0,1,1,0.114574
2100,87868.2,1,1,0,1,1,0.0809116
2150,88931.5,1,1,0,1,1,0.0519224
2200,89193.2,1,1,0,1,1,0.185984
2250,90771.9,1,1,0,1,1,0.258919
2300,91576.2,1,1,0,1,1,0.0296786
2350,90838.9,1,1,0,1,1,0.251453
2400,91769.5,1,1,0,1,1,0.308689
2450,93584.6,1,1,0,1,1,0.0556529
2500,94834.9,1,1,0,1,1,0.127059
2550,97572.7,1,1,0,1,1,0.495456
2600,97551.8,1,1,0,1,1,0.477814
2650,99871.9,1,1,0,1,1,0.00922823
2700,102818,1,1,0,1,1,0.147837
