cluster_id,max_age_ticks,max_total_energy
144,100,0.354438
143,100,0.779769
142,100,1.24085
141,100,0.21622
140,100,0.339691
139,100,0.522842
138,100,0.811271
137,100,0.626046
136,100,0.539499
135,100,2.48819
134,100,0.669643
133,100,0.443492
132,100,0.475488
131,100,0.815493
130,100,0.578149
129,100,0.931422
128,100,0.595153
127,150,0.84762
58,350,0.974188
57,350,0.964707
56,350,1.32406
55,350,0.983226
54,350,1.42856
53,350,0.991122
52,350,0.98943
51,350,0.629371
50,350,1.10048
49,350,0.8315
48,350,0.84151
47,350,0.818022
46,400,0.957266
45,400,1.16615
44,400,1.11906
43,400,0.786204
42,400,0.674576
41,400,1.5842
40,400,1.51392
39,400,1.15797
38,450,0.785292
37,450,0.908755
36,450,0.942182
35,450,0.923014
34,450,0.95424
33,500,1.0094
32,500,1.3153
31,500,1.01479
30,550,0.805347
29,550,0.982047
12,850,1.29456
11,900,1.6609
10,900,1.19825
9,900,1.04097
8,900,0.811559
7,900,0.89245
6,950,0.940884
5,950,1.00337
4,950,1.33055
3,950,1.15453
2,1050,0.977379
1,1100,1.62798
0,1200,1.69613
13,850,0.990975
14,850,0.955966
15,800,1.35459
16,800,0.784117
17,800,0.97368
18,750,0.957938
19,750,1.16451
20,750,1.02763
21,700,1.38414
22,650,1.22766
23,650,0.853968
24,650,1.09137
25,600,1.32953
26,600,0.963799
27,600,1.32244
28,550,1.75549
59,350,1.20181
60,300,0.825767
61,300,0.709646
62,300,0.71891
63,300,0.577433
64,300,1.70909
65,300,1.10464
66,300,0.730843
67,300,0.648808
68,300,1.01051
69,300,1.68048
70,300,0.982733
71,300,1.01588
72,300,0.919201
73,300,0.800515
74,300,0.873937
75,250,1.0712
76,250,0.662429
77,250,0.79861
78,250,0.726114
79,250,0.503882
80,250,1.35144
81,250,1.04782
82,250,0.705378
83,250,0.766278
84,250,1.05969
85,250,0.715027
86,250,0.893764
87,250,0.663066
88,200,0.733955
89,200,0.553054
90,200,0.890872
91,200,1.30028
92,200,1.51907
93,200,0.762892
94,200,0.483935
95,200,1.15637
96,200,0.948735
97,200,1.05925
98,200,0.8766
99,200,0.738391
100,200,1.84422
101,200,0.62174
102,200,0.646751
103,200,1.19514
104,200,0.621958
105,200,1.04591
106,200,1.31911
107,200,0.686635
108,150,0.492169
109,150,0.356081
110,150,0.422902
111,150,0.612932
112,150,1.17518
113,150,0.808637
114,150,0.921125
115,150,0.905809
116,150,0.434225
117,150,0.680222
118,150,0.755527
119,150,0.565651
120,150,1.2819
121,150,0.592171
122,150,1.01276
123,150,0.440315
124,150,1.29842
125,150,0.583021
126,150,0.485578
