tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,4,0.443592,0.0496832,48,32.25,32,-2,0,250
250,1,3,0.41717,0.0645676,16,32,32,1,0,250
300,0,4,0.541617,0.0752485,48,32.25,32,-2,50,250
300,1,3,0.321576,0.0377755,16,32,32,1,50,250
350,0,4,0.337436,0.0305077,48,32.25,32,-2,100,250
350,1,3,0.290141,0.03225,16,32,32,1,100,250
400,0,4,0.494635,0.0687342,48,32.25,32,-2,150,250
400,1,3,0.462692,0.0881207,16,32,32,1,150,250
450,0,4,0.466924,0.0713591,48,32.25,32,-2,200,250
450,1,3,0.279654,0.0276303,16,32,32,1,200,250
500,0,4,0.470888,0.0711365,48,32.25,32,-2,250,250
500,1,3,0.316728,0.0408643,16,32,32,1,250,250
550,0,4,0.69715,0.142129,48,32.25,32,-2,300,250
550,1,3,0.331441,0.042622,16,32,32,1,300,250
600,0,4,0.154656,0.00631578,48,32.25,32,-2,350,250
600,1,3,0.374529,0.0559519,16,32,32,1,350,250
650,0,4,0.485798,0.065365,48,32.25,32,-2,400,250
650,1,3,0.271382,0.0356758,16,32,32,1,400,250
700,0,4,0.498345,0.0679778,48,32.25,32,-2,450,250
700,1,3,0.290264,0.0283397,16,32,32,1,450,250
750,0,4,0.448181,0.052833,48,32.25,32,-2,500,250
750,1,3,0.271923,0.025651,16,32,32,1,500,250
800,0,4,0.579425,0.0927926,48,32.25,32,-2,550,250
800,1,3,0.278219,0.0317006,16,32,32,1,550,250
850,0,4,0.51998,0.0905078,48,32.25,32,-2,600,250
850,1,3,0.474755,0.10475,16,32,32,1,600,250
900,0,4,0.475865,0.0581793,48,32.25,32,-2,650,250
900,1,3,0.345753,0.0520726,16,32,32,1,650,250
950,0,4,0.465584,0.0565765,48,32.25,32,-2,700,250
950,1,3,0.562096,0.106443,16,32,32,1,700,250
1000,0,4,0.585143,0.0941469,48,32.25,32,-2,750,250
1000,1,3,0.410287,0.0625859,16,32,32,1,750,250
1050,0,4,0.504071,0.0683192,48,32.25,32,-2,800,250
1050,1,3,0.42931,0.0614906,16,32,32,1,800,250
1100,0,4,0.667584,0.128546,48,32.25,32,-2,850,250
1100,1,3,0.393658,0.0635836,16,32,32,1,850,250
1150,0,4,0.575797,0.100238,48,32.25,32,-2,900,250
1150,1,3,0.279768,0.0279609,16,32,32,1,900,250
1200,0,4,0.498503,0.0842298,48,32.25,32,-2,950,250
1200,1,3,0.327791,0.0450141,16,32,32,1,950,250
1250,0,4,0.737625,0.140198,48,32.25,32,-2,1000,250
1250,1,3,0.427571,0.0648045,16,32,32,1,1000,250
1300,0,4,0.355371,0.0337349,48,32.25,32,-2,1050,250
1300,1,3,0.559616,0.105688,16,32,32,1,1050,250
1350,0,4,0.519456,0.0827463,48,32.25,32,-2,1100,250
1350,1,3,0.654046,0.164561,16,32,32,1,1100,250
1400,0,4,0.814049,0.16827,48,32.25,32,-2,1150,250
1400,1,3,0.321206,0.0417424,16,32,32,1,1150,250
1450,0,4,0.840824,0.178311,48,32.25,32,-2,1200,250
1450,1,3,0.372996,0.0499633,16,32,32,1,1200,250
1500,0,4,0.46135,0.056085,48,32.25,32,-2,1250,250
1500,1,3,0.527022,0.096708,16,32,32,1,1250,250
1550,0,4,0.537915,0.0742826,48,32.25,32,-2,1300,250
1550,1,3,0.56182,0.110677,16,32,32,1,1300,250
1600,0,4,0.653235,0.108702,48,32.25,32,-2,1350,250
1600,1,3,0.246655,0.0240087,16,32,32,1,1350,250
1650,0,4,0.724817,0.132069,48,32.25,32,-2,1400,250
1650,1,3,0.289864,0.0294928,16,32,32,1,1400,250
1700,0,4,0.858621,0.196383,48,32.25,32,-2,1450,250
1700,1,3,0.378979,0.0479212,16,32,32,1,1450,250
1750,0,4,0.623233,0.0992935,48,32.25,32,-2,1500,250
1750,1,3,0.41008,0.0592123,16,32,32,1,1500,250
1800,0,4,0.652366,0.11476,48,32.25,32,-2,1550,250
1800,1,3,0.471733,0.0971519,16,32,32,1,1550,250
1850,0,4,0.635573,0.120324,48,32.25,32,-2,1600,250
1850,1,3,0.519113,0.0919422,16,32,32,1,1600,250
1900,0,4,0.783726,0.161511,48,32.25,32,-2,1650,250
1900,1,3,0.858175,0.271566,16,32,32,1,1650,250
1950,0,4,0.831775,0.188721,48,32.25,32,-2,1700,250
1950,1,3,0.509423,0.103041,16,32,32,1,1700,250
2000,0,4,0.806999,0.164147,48,32.25,32,-2,1750,250
2000,1,3,0.639499,0.138294,16,32,32,1,1750,250
2050,0,4,0.570741,0.0885671,48,32.25,32,-2,1800,250
2050,1,3,0.48876,0.0854586,16,32,32,1,1800,250
2100,0,4,0.662993,0.115928,48,32.25,32,-2,1850,250
2100,1,3,0.464523,0.0816543,16,32,32,1,1850,250
2150,0,4,0.564869,0.0950626,48,32.25,32,-2,1900,250
2150,1,3,0.580358,0.129444,16,32,32,1,1900,250
2200,0,4,0.580988,0.0910732,48,32.25,32,-2,1950,250
2200,1,3,0.562666,0.109426,16,32,32,1,1950,250
2250,0,4,0.830354,0.176195,48,32.25,32,-2,2000,250
2250,1,3,0.54919,0.122229,16,32,32,1,2000,250
2300,0,4,0.770856,0.15363,48,32.25,32,-2,2050,250
2300,1,3,0.593251,0.129887,16,32,32,1,2050,250
2350,0,4,0.851835,0.192533,48,32.25,32,-2,2100,250
2350,1,3,0.38455,0.0576434,16,32,32,1,2100,250
2400,0,4,1.13792,0.337569,48,32.25,32,-2,2150,250
2400,1,3,0.518929,0.091625,16,32,32,1,2150,250
2450,0,4,0.670743,0.115355,48,32.25,32,-2,2200,250
2450,1,3,0.63349,0.135784,16,32,32,1,2200,250
2500,0,4,0.877695,0.214408,48,32.25,32,-2,2250,250
2500,1,3,0.631642,0.13681,16,32,32,1,2250,250
2550,0,4,0.993462,0.270994,48,32.25,32,-2,2300,250
2550,1,3,0.735799,0.191851,16,32,32,1,2300,250
2600,0,4,1.29521,0.438639,48,32.25,32,-2,2350,250
2600,1,3,0.605792,0.131356,16,32,32,1,2350,250
2650,0,4,0.903355,0.208011,48,32.25,32,-2,2400,250
2650,1,3,0.816717,0.22345,16,32,32,1,2400,250
2700,0,4,1.16009,0.350236,48,32.25,32,-2,2450,250
2700,1,3,0.752429,0.194113,16,32,32,1,2450,250
