tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7723.86,5,3,2,2,3,0.131566
300,7753.81,5,3,2,2,3,0.0427621
350,7816.61,5,3,2,2,3,0.0608949
400,7860.15,5,3,2,2,3,0.0940688
450,7936.38,5,3,2,2,3,0.0953681
500,8020.9,5,3,2,2,3,0.052772
550,8010.79,5,3,2,2,3,0.0535488
600,8097.26,5,3,2,2,3,0.0849948
650,8326.03,5,3,2,2,3,0.086406
700,8573.62,5,3,2,2,3,0.0376136
750,8531.01,5,3,2,2,3,0.0607958
800,8545.18,5,3,2,2,3,0.130053
850,8384.69,5,3,2,2,3,0.0790477
900,8346.53,5,3,2,2,3,0.0478709
950,8249.71,5,3,2,2,3,0.142285
1000,8341.46,5,3,2,2,3,0.0843765
1050,8293.33,5,3,2,2,3,0.0618111
1100,8224.91,5,3,2,2,3,0.0644187
1150,8278.01,5,3,2,2,3,0.0792934
1200,8294.36,5,3,2,2,3,0.0815016
1250,8150.2,5,3,2,2,3,0.0881052
1300,8122.48,5,3,2,2,3,0.103864
1350,8355.82,5,3,2,2,3,0.0407019
1400,8383.78,5,3,2,2,3,0.0869452
1450,8309.79,5,3,2,2,3,0.149324
1500,8476.02,5,3,2,2,3,0.102276
1550,8582.65,5,3,2,2,3,0.0519464
1600,8799.69,5,3,2,2,3,0.143449
1650,8941,5,3,2,2,3,0.135363
1700,8878.85,5,3,2,2,3,0.0425449
1750,8725.72,5,3,2,2,3,0.117983
1800,8583.23,5,3,2,2,3,0.0647694
1850,8490.97,5,3,2,2,3,0.0990691
1900,8426.14,5,3,2,2,3,0.12599
1950,8508.5,5,3,2,2,3,0.0883209
2000,8556.89,5,3,2,2,3,0.0650794
2050,8711.45,5,3,2,2,3,0.0997456
2100,8730.32,5,3,2,2,3,0.0928646
2150,8830.53,5,3,2,2,3,0.077351
2200,8856.31,5,3,2,2,3,0.0899268
2250,9010.3,5,3,2,2,3,0.168049
2300,9089.38,5,3,2,2,3,0.19464
2350,9013.21,5,3,2,2,3,0.0965474
2400,9100.94,5,3,2,2,3,0.122086
2450,9276.25,5,3,2,2,3,0.0745712
2500,9398.38,5,3,2,2,3,0.141983
2550,9662.29,5,3,2,2,3,0.111246
2600,9658.76,5,3,2,2,3,0.106586
2650,9885.48,5,3,2,2,3,0.167889
2700,10176.4,5,3,2,2,3,0.124414
