tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7692.47,0,0,0,0,0,0
300,7777.37,0,0,0,0,0,0
350,7805.84,0,0,0,0,0,0
400,7829.88,0,0,0,0,0,0
450,7843.87,0,0,0,0,0,0
500,7910.48,0,0,0,0,0,0
550,7980,0,0,0,0,0,0
600,8070.87,0,0,0,0,0,0
650,8107.37,0,0,0,0,0,0
700,8149.71,0,0,0,0,0,0
750,8239.59,0,0,0,0,0,0
800,8574.09,0,0,0,0,0,0
850,8894.58,0,0,0,0,0,0
900,9170.42,0,0,0,0,0,0
950,9443.19,0,0,0,0,0,0
1000,9679.4,0,0,0,0,0,0
1050,9933.5,0,0,0,0,0,0
1100,10406.3,0,0,0,0,0,0
1150,10574.9,0,0,0,0,0,0
1200,10621.2,0,0,0,0,0,0
1250,10635.1,0,0,0,0,0,0
1300,10491.3,0,0,0,0,0,0
1350,10723.7,0,0,0,0,0,0
1400,10907,0,0,0,0,0,0
1450,10929.7,0,0,0,0,0,0
1500,11014.5,0,0,0,0,0,0
1550,10842.8,0,0,0,0,0,0
1600,11167.8,0,0,0,0,0,0
1650,11404.5,0,0,0,0,0,0
1700,11375.4,0,0,0,0,0,0
1750,11394.8,0,0,0,0,0,0
1800,11861.9,0,0,0,0,0,0
1850,12484.6,0,0,0,0,0,0
1900,12833.3,0,0,0,0,0,0
1950,13307.9,0,0,0,0,0,0
2000,13726.5,0,0,0,0,0,0
2050,14096.3,0,0,0,0,0,0
2100,14684.1,0,0,0,0,0,0
2150,14611.5,0,0,0,0,0,0
2200,15077.4,0,0,0,0,0,0
2250,14963.6,0,0,0,0,0,0
2300,16223.8,0,0,0,0,0,0
2350,16985,0,0,0,0,0,0
2400,17248.7,0,0,0,0,0,0
2450,17302.7,0,0,0,0,0,0
2500,17538.2,0,0,0,0,0,0
2550,18531.1,0,0,0,0,0,0
2600,19712.9,0,0,0,0,0,0
2650,20230.9,0,0,0,0,0,0
2700,20771.2,0,0,0,0,0,0
