tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
250,0,1,0.241543,0.0583432,45,12,3,-1,0,250
250,1,1,0.39868,0.158946,20,41,3,1,0,250
250,2,1,0.462878,0.214256,52,2,4,1,0,250
250,3,1,0.530551,0.281484,50,25,6,-1,0,250
250,4,1,0.585438,0.342738,4,12,7,1,0,250
250,5,1,0.463413,0.214752,40,27,7,-1,0,250
250,6,1,0.912896,0.833379,22,32,10,1,0,250
250,7,1,0.825055,0.680715,4,45,10,1,0,250
250,8,1,0.802019,0.643234,35,55,10,-1,0,250
250,9,1,0.881987,0.7779,42,17,11,-1,0,250
250,10,1,0.310386,0.0963393,21,35,11,1,0,250
250,11,1,0.619133,0.383325,10,4,14,1,0,250
250,12,1,0.553297,0.306138,13,55,15,-1,0,250
250,13,1,0.485942,0.236139,45,26,18,1,0,250
250,14,1,0.57613,0.331926,17,23,23,1,0,250
250,15,1,0.347765,0.120941,35,55,25,1,0,250
250,16,1,0.554704,0.307697,29,47,26,1,0,250
250,17,1,0.573252,0.328618,19,49,26,-1,0,250
250,18,1,0.708231,0.501591,17,23,29,1,0,250
250,19,1,0.736911,0.543038,60,55,29,1,0,250
250,20,1,0.179176,0.032104,24,18,32,1,0,250
250,21,1,0.829495,0.688062,32,32,32,1,0,250
250,22,1,0.544578,0.296565,6,62,32,-1,0,250
250,23,1,0.224532,0.0504145,41,11,33,-1,0,250
250,24,1,0.805296,0.648501,26,36,38,-1,0,250
250,25,1,0.625821,0.391652,50,63,39,-1,0,250
250,26,1,1.16453,1.35614,2,20,42,-1,0,250
250,27,1,0.22478,0.0505261,41,10,44,-1,0,250
250,28,1,0.495443,0.245464,34,51,45,1,0,250
250,29,1,0.656501,0.430993,44,31,46,1,0,250
250,30,1,0.969433,0.9398,62,30,53,1,0,250
250,31,1,0.44901,0.20161,30,49,53,-1,0,250
250,32,1,0.601806,0.36217,45,52,55,1,0,250
250,33,1,0.33047,0.10921,60,60,56,1,0,250
250,34,1,0.423575,0.179416,50,16,59,-1,0,250
250,35,2,0.902572,0.453846,42.5,17.5,59,2,0,250
250,36,1,0.734905,0.540085,10,2,60,1,0,250
250,37,1,0.606946,0.368383,51,17,61,-1,0,250
250,38,1,0.312852,0.0978763,15,55,62,1,0,250
250,39,1,0.212412,0.045119,19,60,62,-1,0,250
250,40,1,0.430769,0.185562,24,58,63,-1,0,250
300,41,1,0.549301,0.301732,29,0,2,-1,0,300
300,0,1,0.779834,0.608141,45,12,3,-1,50,250
300,1,1,0.376714,0.141914,20,41,3,1,50,250
300,2,1,0.475121,0.22574,52,2,4,1,50,250
300,3,1,0.371229,0.137811,50,25,6,-1,50,250
300,42,1,0.589473,0.347479,52,41,6,1,0,300
300,4,1,0.270707,0.0732824,4,12,7,1,50,250
300,5,1,0.360027,0.129619,40,27,7,-1,50,250
300,43,1,0.552418,0.305165,39,39,8,1,0,300
300,44,1,0.522442,0.272945,7,63,8,-1,0,300
300,45,1,0.489838,0.239942,61,21,10,1,0,300
300,6,1,0.532884,0.283965,22,32,10,1,50,250
300,7,1,0.422875,0.178823,4,45,10,1,50,250
300,8,1,0.424741,0.180405,35,55,10,-1,50,250
300,9,1,0.545879,0.297984,42,17,11,-1,50,250
300,10,1,0.667645,0.44575,21,35,11,1,50,250
300,11,1,0.188326,0.0354666,10,4,14,1,50,250
300,12,1,0.594714,0.353684,13,55,15,-1,50,250
300,46,1,0.709005,0.502688,30,23,16,1,0,300
300,47,1,0.590337,0.348498,61,14,17,1,0,300
300,13,1,0.360138,0.129699,45,26,18,1,50,250
300,48,1,1.69539,2.87436,20,28,21,-1,0,300
300,49,1,0.441669,0.195071,63,33,21,-1,0,300
300,50,1,0.474188,0.224854,20,30,22,-1,0,300
300,14,1,0.68221,0.465411,17,23,23,1,50,250
300,51,1,0.161061,0.0259407,54,30,24,1,0,300
300,52,1,0.581903,0.338611,17,39,25,1,0,300
300,53,1,1.09579,1.20076,29,42,25,1,0,300
300,15,1,0.616785,0.380424,35,55,25,1,50,250
300,16,1,1.18919,1.41418,29,47,26,1,50,250
300,17,1,0.265441,0.0704587,19,49,26,-1,50,250
300,18,1,0.994398,0.988827,17,23,29,1,50,250
300,19,1,0.385347,0.148492,60,55,29,1,50,250
300,54,1,0.405324,0.164288,16,63,30,1,0,300
300,20,1,0.42486,0.180506,24,18,32,1,50,250
300,21,1,0.3448,0.118887,32,32,32,1,50,250
300,22,1,0.439025,0.192743,6,62,32,-1,50,250
300,55,1,0.806814,0.650949,47,6,33,1,0,300
300,23,1,0.666319,0.443981,41,11,33,-1,50,250
300,56,1,0.811901,0.659184,10,16,37,-1,0,300
300,57,1,0.612098,0.374664,23,18,37,1,0,300
300,24,1,0.482887,0.23318,26,36,38,-1,50,250
300,58,1,1.35957,1.84842,3,26,39,-1,0,300
300,25,1,0.369763,0.136724,50,63,39,-1,50,250
300,26,1,0.476807,0.227345,2,20,42,-1,50,250
300,27,1,0.349033,0.121824,41,10,44,-1,50,250
300,59,1,1.17238,1.37447,17,14,44,1,0,300
300,60,1,0.53893,0.290445,19,33,44,-1,0,300
300,28,1,0.539459,0.291016,34,51,45,1,50,250
300,29,1,0.565618,0.319924,44,31,46,1,50,250
300,61,1,0.424943,0.180576,59,36,47,-1,0,300
300,62,1,0.479966,0.230368,2,24,51,-1,0,300
300,63,1,0.212889,0.0453218,32,61,51,-1,0,300
300,64,1,0.414454,0.171772,35,63,52,-1,0,300
300,30,1,0.686445,0.471206,62,30,53,1,50,250
300,31,1,0.545534,0.297608,30,49,53,-1,50,250
300,65,2,1.28338,0.846916,40,3.5,55,0,0,300
300,32,1,0.199423,0.0397697,45,52,55,1,50,250
300,33,1,0.533999,0.285155,60,60,56,1,50,250
300,34,1,0.345504,0.119373,50,16,59,-1,50,250
300,35,2,0.570972,0.219097,42.5,17.5,59,2,50,250
300,66,1,0.440204,0.19378,57,27,59,1,0,300
300,36,1,0.535321,0.286569,10,2,60,1,50,250
300,37,1,0.6745,0.454951,51,17,61,-1,50,250
300,38,1,0.654075,0.427814,15,55,62,1,50,250
300,39,1,0.204363,0.0417644,19,60,62,-1,50,250
300,40,1,0.901464,0.812637,24,58,63,-1,50,250
350,67,1,0.267201,0.0713964,23,58,1,1,0,350
350,41,1,0.7842,0.614969,29,0,2,-1,50,300
350,0,1,0.440831,0.194332,45,12,3,-1,100,250
350,1,1,0.592856,0.351478,20,41,3,1,100,250
350,2,1,0.259955,0.0675767,52,2,4,1,100,250
350,3,1,0.207303,0.0429744,50,25,6,-1,100,250
350,42,1,0.712132,0.507133,52,41,6,1,50,300
350,4,1,0.0470366,0.00221244,4,12,7,1,100,250
350,5,1,0.731562,0.535183,40,27,7,-1,100,250
350,68,1,0.681027,0.463798,33,37,7,-1,0,350
350,69,1,0.393166,0.154579,45,5,8,-1,0,350
350,43,1,0.672187,0.451836,39,39,8,1,50,300
350,44,1,0.936484,0.877002,7,63,8,-1,50,300
350,45,1,0.906971,0.822596,61,21,10,1,50,300
350,6,1,0.661659,0.437792,22,32,10,1,100,250
350,7,1,0.387531,0.15018,4,45,10,1,100,250
350,8,1,0.799109,0.638575,35,55,10,-1,100,250
350,9,1,1.09402,1.19689,42,17,11,-1,100,250
350,10,1,0.274233,0.075204,21,35,11,1,100,250
350,70,1,0.77527,0.601044,28,52,11,-1,0,350
350,71,1,0.240735,0.0579535,52,47,13,-1,0,350
350,11,1,0.332145,0.11032,10,4,14,1,100,250
350,12,1,0.556036,0.309177,13,55,15,-1,100,250
350,46,1,0.57986,0.336237,30,23,16,1,50,300
350,72,1,0.352669,0.124375,45,40,16,-1,0,350
350,47,1,0.637649,0.406596,61,14,17,1,50,300
350,13,1,1.12,1.2544,45,26,18,1,100,250
350,73,1,0.684084,0.467971,4,42,20,1,0,350
350,74,1,0.863018,0.7448,41,43,20,1,0,350
350,75,1,1.14865,1.31939,41,8,21,1,0,350
350,48,1,0.427906,0.183103,20,28,21,-1,50,300
350,49,1,0.70337,0.494729,63,33,21,-1,50,300
350,50,1,0.335997,0.112894,20,30,22,-1,50,300
350,14,1,0.710343,0.504587,17,23,23,1,100,250
350,76,2,1.07475,0.599405,10.5,27,24,0,0,350
