tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,153937,42,24,18,41,2,15.035
300,155700,69,38,31,67,2,26.6214
350,156338,94,52,42,91,2,34.8228
400,156901,125,71,54,119,3,44.7767
450,157249,152,82,70,144,3,50.7704
500,158666,179,92,87,171,3,53.6564
550,160157,217,111,106,205,3,70.7852
600,162117,266,136,130,247,3,92.9451
650,163001,327,156,171,295,3,115.951
700,164124,391,192,199,349,4,136.663
750,166359,479,230,249,416,4,159.604
800,173648,601,287,314,518,4,211.968
850,181176,821,383,438,687,5,360.245
900,188840,1235,593,642,985,11,576.027
950,198245,1959,970,989,1445,14,982.058
1000,211172,3196,1593,1603,2065,14,1745.08
1050,235606,6078,3064,3014,2967,26,3903.09
1100,325309,21801,10902,10899,2890,8598,22423.9
1150,1.01409e+06,258645,128831,129814,1,258645,853540
1200,1.05989e+06,262064,130537,131527,1,262064,928520
1250,1.04915e+06,262124,130565,131559,1,262124,924843
1300,1.03573e+06,262132,130568,131564,1,262132,914698
1350,1.05134e+06,262136,130569,131567,1,262136,931076
1400,1.06325e+06,262138,130571,131567,1,262138,943432
1450,1.06376e+06,262139,130572,131567,1,262139,943983
1500,1.06503e+06,262140,130573,131567,1,262140,945203
1550,1.04664e+06,262141,130574,131567,1,262141,927279
1600,1.06336e+06,262142,130575,131567,1,262142,943416
1650,1.07705e+06,262142,130575,131567,1,262142,957201
1700,1.08336e+06,262142,130575,131567,1,262142,963595
1750,1.09409e+06,262142,130575,131567,1,262142,974309
1800,1.12725e+06,262142,130575,131567,1,262142,1.00724e+06
1850,1.17024e+06,262142,130575,131567,1,262142,1.05027e+06
1900,1.19365e+06,262143,130576,131567,1,262143,1.07346e+06
1950,1.22038e+06,262144,130576,131568,1,262144,1.10069e+06
2000,1.24523e+06,262144,130576,131568,1,262144,1.12545e+06
2050,1.27167e+06,262144,130576,131568,1,262144,1.15195e+06
2100,1.30665e+06,262144,130576,131568,1,262144,1.18686e+06
2150,1.3045e+06,262144,130576,131568,1,262144,1.18448e+06
2200,1.3268e+06,262144,130576,131568,1,262144,1.20697e+06
2250,1.31286e+06,262144,130576,131568,1,262144,1.19293e+06
2300,1.37369e+06,262144,130576,131568,1,262144,1.25379e+06
2350,1.40566e+06,262144,130576,131568,1,262144,1.28575e+06
2400,1.4105e+06,262144,130576,131568,1,262144,1.29054e+06
2450,1.40554e+06,262144,130576,131568,1,262144,1.28559e+06
2500,1.41815e+06,262144,130576,131568,1,262144,1.29814e+06
2550,1.46645e+06,262144,130576,131568,1,262144,1.34658e+06
2600,1.51726e+06,262144,130576,131568,1,262144,1.3972e+06
2650,1.54108e+06,262144,130576,131568,1,262144,1.42139e+06
2700,1.56718e+06,262144,130576,131568,1,262144,1.44747e+06
