cluster_id,max_age_ticks,max_total_energy
4140,1350,982384
2608,100,1.44568
2606,100,0.414288
2604,100,3.7068
2603,100,1.21995
2602,100,0.62926
2601,100,0.906093
2600,100,0.549585
2597,100,0.429234
2596,100,2.79726
2595,100,1.12323
2594,100,1.57695
2593,100,4.61393
2589,100,2.15805
2588,100,1.73366
2587,100,3.2068
2586,100,1.23299
2583,100,0.644496
2582,100,3.36229
2581,100,2.32128
2580,100,1.78291
2578,100,3.5914
2577,100,3.55646
2575,100,0.905856
2574,100,3.05095
2573,100,0.579254
2572,100,2.48513
2571,100,36.8575
2570,100,2.69668
2569,100,1.88717
2568,100,1.12937
2567,100,1.75339
2563,100,3.00793
2562,100,1.23011
2561,100,3.77982
2559,100,9.06374
2558,100,4.20286
2557,100,2.90698
2554,100,2.81085
2553,100,7.64925
2552,100,1.20653
2551,100,6.72938
2550,100,3.52464
2549,100,3.18363
2548,100,6.87938
2547,100,6.01869
2546,100,1.09149
2542,100,1.42109
2540,100,1.03031
2538,100,7.61721
2537,100,1.31125
2535,100,0.451909
2533,100,0.344292
2532,100,0.331239
2530,100,5.2388
2529,100,2.40776
2528,100,18.7782
2526,100,1.47202
2525,100,1.75241
2524,100,14.7918
2523,100,3.13193
2522,100,0.630235
2519,100,0.740907
2516,100,0.846628
2515,100,1.68694
2514,100,3.06351
2513,100,2.18706
2511,100,3.58004
2510,100,4.09111
2509,100,4.14565
2508,100,3.67469
2507,100,1.721
2506,100,0.617316
2505,100,1.47535
2504,100,0.635351
2502,100,2.30019
2501,100,1.53882
2500,100,1.9968
2499,100,3.2174
2498,100,1.40667
2497,100,0.583837
2492,100,33.3163
2490,100,1.4082
2489,100,1.08427
2488,100,2.82482
2487,100,2.10258
2486,100,2.53921
2484,100,0.7665
2483,100,1.94756
2482,100,2.21942
2481,100,1.26012
2479,100,1.77407
2478,100,18.5608
2477,100,24.2428
2476,100,161.459
2475,100,2.84426
2474,100,15.9773
2473,100,1.11587
2472,100,0.524028
2471,100,2.95107
2470,100,13.3509
2469,100,3.34845
2467,100,0.485015
2464,100,5.12206
2463,100,4.29645
2461,100,0.953491
2458,100,3.67259
2456,100,0.904141
2455,100,1.15593
2454,100,1.45568
2453,100,1.38218
2452,100,1.21084
2448,100,0.657735
2447,100,9.16319
2446,100,0.657467
2445,100,0.638994
2443,100,3.27944
2442,100,2.8776
2440,100,1.87068
2439,100,2.54691
2438,100,1.7472
2437,100,0.527913
2434,100,1.8755
2433,100,1.33686
2432,100,3.35931
2430,100,22.2027
2429,100,3.75297
2428,100,2.17286
2427,100,4.73604
2426,100,3.41528
2424,100,2.08338
2422,100,0.802613
2421,100,2.48335
2420,100,0.738178
2419,100,8.51376
2418,100,2.61369
2417,100,1.45762
2416,100,6.25449
2414,100,1.77786
2411,100,0.799519
2409,100,1.60984
2408,100,1.51226
2407,100,5.74192
2406,100,1.23251
2405,100,0.745202
2404,100,4.42352
2403,100,24.2139
2402,100,1.97929
2398,100,0.859301
2397,100,32.3154
2396,100,7.60161
2395,100,9.88466
2394,100,1.25914
2392,100,1.26211
2390,100,7.79786
2389,100,3.8764
2388,100,0.847949
2387,100,3.00427
2386,100,1.59906
2385,100,2.59139
2384,100,0.863027
2383,100,2.51233
2382,100,5.91583
2381,100,4.40792
2379,100,4.05913
2377,100,2.78721
2376,100,3.09299
2375,100,4.74604
2374,100,6.81592
2373,100,2.73236
2372,100,7.07902
2371,100,2.18194
2369,100,3.18781
2367,100,1.99222
2366,100,1.66569
2364,100,1.78142
2363,100,3.77795
2362,100,1.92587
2361,100,3.36996
2360,100,5.02408
2359,100,1.46722
2358,100,2.22196
1108,450,2.81861
1107,450,1.47494
1106,450,2.35974
1105,450,22.5693
1104,150,1.29535
1103,450,2.811
1102,450,8.05196
1101,400,3.32673
1100,350,1.11318
1099,450,5.56326
1098,400,8.21693
1097,450,1.10892
1096,400,1.93487
1095,450,1.51195
1094,450,2.88159
1093,450,2.01963
1092,400,0.913791
1091,450,5.99129
1090,450,5.70193
1089,350,0.857251
1088,250,0.532691
1087,400,2.77237
1086,450,1.60445
1085,400,1.93258
1084,400,0.826996
1083,450,1.87201
1082,450,2.75049
1081,450,2.82048
1080,450,1.97368
1079,450,2.58423
1078,450,12.9627
1077,450,1.51156
1076,450,4.00527
1075,450,2.72401
1074,450,18.7012
1072,450,2.76506
1071,450,0.689691
1070,300,0.750187
1069,450,1.85977
1068,450,3.01129
1067,350,0.931693
1066,350,3.47878
1065,450,2.11943
1064,450,2.63951
1063,400,4.20883
1062,450,1.72941
1061,450,1.16095
1060,400,0.857092
1059,450,7.61964
1058,400,1.06025
1057,450,2.90918
1056,450,1.14109
1055,400,1.08573
1054,450,9.40583
1053,450,1.38463
1052,450,5.27808
1051,450,11.7736
1050,300,1.34713
1049,450,3.80807
1048,400,1.93046
1047,450,1.56839
1046,450,0.683625
1045,450,1.30834
1044,450,3.99123
1043,350,2.75346
1042,450,0.916012
1041,450,29.1282
1040,450,1.63406
1039,450,1.19188
1038,300,0.936678
1037,250,0.30831
1036,400,2.94038
1035,450,3.70633
1034,400,1.48229
1033,400,0.661452
1032,400,2.42769
1031,450,0.633797
1030,450,18.3801
1029,450,2.58563
1028,400,3.8587
1027,450,4.18444
1026,450,1339.17
1025,450,1.9469
1024,150,2.52952
1023,450,1.3778
1022,450,3.89211
1021,350,0.715329
1020,450,1.75182
1019,250,0.620766
1018,350,1.07679
1017,450,10.2382
1016,450,0.805692
1015,450,1.08449
1014,350,2.4053
1013,450,7.9379
1012,450,7.57934
1011,450,1.45814
1010,400,4.06424
1009,400,2.29533
1008,400,1.05101
1007,450,1.58868
1006,450,1.56115
1005,450,2.56489
1004,450,1.04656
1003,400,2.26864
1002,100,0.560449
1001,450,1.16346
1000,400,3.21778
999,400,5.64759
998,450,3.26249
997,450,0.95468
996,450,1.6181
995,400,2.26504
994,450,3.19572
993,450,8.28234
992,400,5.85139
991,450,2.13851
990,400,2.66505
989,450,1.59543
988,350,1.20359
987,450,10.6751
986,450,1.46726
985,450,1.45258
984,450,0.977585
983,450,1.08296
982,450,12.2081
981,450,0.774931
980,450,1.43154
979,450,2.11075
978,450,3.40755
977,450,1.76212
976,400,1.52984
975,400,2.28314
974,450,2.73626
973,450,2.02821
972,400,0.91868
971,450,4.75415
970,400,2.02227
969,400,2.98984
968,250,0.744584
967,450,2.80705
966,450,1.39827
965,450,2.20479
964,400,2.28851
963,100,0.435157
962,450,2.61326
961,100,0.325948
960,450,1.0867
959,400,10.2815
958,400,0.679915
957,450,1.46395
956,450,5.08166
955,450,2.34397
954,450,18.5531
953,450,4.65992
952,400,1.51596
951,450,6.48683
950,400,2.96594
949,100,0.385361
948,450,1.0348
947,400,1.52114
946,400,0.759434
945,400,3.06114
944,450,2.53987
943,500,0.819194
942,500,2.17145
941,500,1.53357
940,500,2.12281
939,500,2.57929
938,450,1.92803
937,500,3.17036
936,500,32.0466
935,500,5.47349
934,450,1.78335
933,500,0.99598
932,500,4.69997
931,500,1.86079
930,500,3.3168
929,500,1.74924
928,450,2.4972
927,450,6.73118
926,500,2.93173
925,500,2.52248
924,450,1.07439
923,500,2.37647
922,500,1.19872
921,500,4.09288
920,500,3.48758
919,500,13.5078
918,450,1.62573
917,150,0.392395
916,500,105.222
915,500,6.18262
914,500,2.4151
913,450,2.13889
912,500,2.62975
911,200,0.640352
910,150,0.791305
909,350,0.808186
908,500,48.684
907,450,2.57233
906,500,9.82242
905,500,2.60074
904,300,0.499191
903,400,0.825064
902,450,1.82272
901,500,2.42659
900,450,1.44054
899,500,2.11831
898,450,2.24415
897,500,2.4657
896,250,1.19734
895,500,0.562332
894,500,2.27404
893,500,7.30964
892,500,1.60653
891,500,1.97553
890,450,2.36819
889,500,2.14681
888,500,6.97286
887,500,75.7603
886,500,2.70897
885,500,8.61635
884,500,4.16883
883,500,4.91051
882,350,1.2051
881,500,1.13839
880,500,6.82598
879,500,1.48905
878,500,2.48067
877,500,1.24676
876,500,5.48255
875,500,1.20234
874,500,4.68381
873,500,0.987642
872,450,1.10988
