plane,tick,wavefront_radius,anisotropy_ratio,plane_energy
xy,6,1.000000,1.000000e+00,2.139170e+00
xz,6,1.000000,1.000000e+00,2.139170e+00
yz,6,1.000000,1.000000e+00,2.093647e+00
xy,12,1.000000,1.000000e+00,4.132083e+00
xz,12,1.000000,1.000000e+00,4.132083e+00
yz,12,1.000000,1.000000e+00,4.066575e+00
xy,18,7.000000,1.425323e+00,2.266140e+00
xz,18,7.000000,1.425323e+00,2.266140e+00
yz,18,7.000000,1.017583e+00,3.012205e+00
xy,24,11.000000,1.845621e+00,1.547394e+00
xz,24,11.000000,1.845621e+00,1.547394e+00
yz,24,10.000000,1.013625e+00,2.398500e+00
