k,d,l,m,A_N,R_N,lambda_max,log_psi,hits_1e-03,hits_1e-04,hits_1e-05,hits_1e-06,alpha_inv_rel_residual
2,2,2,2,0.0,1.000055795921049942373452,137.0359991838357154217997,0.0,1,1,1,1,7.285364144e-10
2,2,2,3,-1.4607898329764408e-5,1.000041188022720177965948,137.0360443544680159515847,3.4873605986006085e-6,1,1,1,1,3.303545661e-7
2,2,2,4,-2.9215796659528815e-5,1.000026580124390413558445,137.0360895250698656954488,6.9747211972012171e-6,1,1,1,1,6.599803736e-7
2,2,2,5,-4.3823694989293223e-5,1.000011972226060649150941,137.036134695641264714975,1.0462081795801826e-5,1,1,1,1,9.896059588e-7
2,2,2,6,-5.843159331905763e-5,0.9999973643277308847434372,137.0361798661822130717462,1.3949442394402434e-5,1,1,1,0,1.319231322e-6
2,2,2,7,-7.3039491648822038e-5,0.9999827564294011203359335,137.0362250366927108273451,1.7436802993003043e-5,1,1,1,0,1.648856463e-6
2,2,2,8,-8.7647389978586445e-5,0.9999681485310713559284299,137.0362702071727580433542,2.0924163591603651e-5,1,1,1,0,1.978481381e-6
2,2,3,2,2.9133959273434508e-5,1.000084929880323376881601,137.0359090955382521258703,-6.9616963728018228e-6,1,1,1,1,6.566775325e-7
2,2,3,3,2.9093040580387355e-5,1.000084888961630329728173,137.0359092220674969513451,-6.9551839606021256e-6,1,1,1,1,6.55754204e-7
2,2,3,4,2.9052121887340201e-5,1.000084848042937282574744,137.0359093485967415378907,-6.9486715484024284e-6,1,1,1,1,6.548308755e-7
2,2,3,5,2.9011203194293048e-5,1.000084807124244235421315,137.0359094751259858855071,-6.9421591362027312e-6,1,1,1,1,6.53907547e-7
2,2,3,6,2.8970284501245894e-5,1.000084766205551188267886,137.0359096016552299941944,-6.9356467240030341e-6,1,1,1,1,6.529842185e-7
2,2,3,7,2.8929365808198741e-5,1.000084725286858141114457,137.0359097281844738639525,-6.9291343118033369e-6,1,1,1,1,6.5206089e-7
2,2,3,8,2.8888447115151588e-5,1.000084684368165093961028,137.0359098547137174947815,-6.9226218996036397e-6,1,1,1,1,6.511375615e-7
2,2,4,2,2.921559289069033e-5,1.000085011513940632703713,137.0359088431098580650784,-6.9746968740877978e-6,1,1,1,1,6.585195915e-7
2,2,4,3,2.9215491006271088e-5,1.00008501141205621346134,137.0359088434249062185488,-6.9746847125310882e-6,1,1,1,1,6.585172925e-7
2,2,4,4,2.9215389121851846e-5,1.000085011310171794218967,137.0359088437399543720176,-6.9746725509743786e-6,1,1,1,1,6.585149935e-7
2,2,4,5,2.9215287237432603e-5,1.000085011208287374976594,137.035908844055002525485,-6.9746603894176689e-6,1,1,1,1,6.585126945e-7
2,2,4,6,2.9215185353013361e-5,1.000085011106402955734221,137.0359088443700506789509,-6.9746482278609593e-6,1,1,1,1,6.585103955e-7
2,2,4,7,2.9215083468594118e-5,1.000085011004518536491848,137.0359088446850988324154,-6.9746360663042497e-6,1,1,1,1,6.585080964e-7
2,2,4,8,2.9214981584174876e-5,1.000085010902634117249475,137.0359088450001469858783,-6.97462390474754e-6,1,1,1,1,6.585057974e-7
2,2,5,2,2.921579618387052e-5,1.000085011717233812893005,137.0359088424812325940941,-6.9747211517791957e-6,1,1,1,1,6.585241788e-7
2,2,5,3,2.9215795946041372e-5,1.000085011716995983745278,137.0359088424819680120745,-6.974721129068185e-6,1,1,1,1,6.585241735e-7
2,2,5,4,2.9215795708212224e-5,1.000085011716758154597552,137.0359088424827034300549,-6.9747211063571744e-6,1,1,1,1,6.585241681e-7
2,2,5,5,2.9215795470383076e-5,1.000085011716520325449825,137.0359088424834388480353,-6.9747210836461637e-6,1,1,1,1,6.585241627e-7
2,2,5,6,2.9215795232553929e-5,1.000085011716282496302098,137.0359088424841742660157,-6.974721060935153e-6,1,1,1,1,6.585241574e-7
2,2,5,7,2.9215794994724781e-5,1.000085011716044667154371,137.0359088424849096839961,-6.9747210382241423e-6,1,1,1,1,6.58524152e-7
2,2,5,8,2.9215794756895633e-5,1.000085011715806838006644,137.0359088424856451019765,-6.9747210155131316e-6,1,1,1,1,6.585241466e-7
2,2,6,2,2.9215796658462897e-5,1.000085011717708405270907,137.0359088424797650541756,-6.9747211971163941e-6,1,1,1,1,6.585241895e-7
2,2,6,3,2.9215796657929939e-5,1.000085011717707872312131,137.0359088424797667021967,-6.9747211970739826e-6,1,1,1,1,6.585241895e-7
2,2,6,4,2.921579665739698e-5,1.000085011717707339353355,137.0359088424797683502179,-6.974721197031571e-6,1,1,1,1,6.585241895e-7
2,2,6,5,2.9215796656864021e-5,1.000085011717706806394579,137.035908842479769998239,-6.9747211969891595e-6,1,1,1,1,6.585241895e-7
2,2,6,6,2.9215796656331062e-5,1.000085011717706273435803,137.0359088424797716462602,-6.974721196946748e-6,1,1,1,1,6.585241895e-7
2,2,6,7,2.9215796655798104e-5,1.000085011717705740477027,137.0359088424797732942813,-6.9747211969043365e-6,1,1,1,1,6.585241895e-7
2,2,6,8,2.9215796655265145e-5,1.000085011717705207518251,137.0359088424797749423025,-6.974721196861925e-6,1,1,1,1,6.585241895e-7
2,2,7,2,2.9215796659526493e-5,1.000085011717709468866163,137.0359088424797617653143,-6.9747211972010587e-6,1,1,1,1,6.585241896e-7
2,2,7,3,2.9215796659525332e-5,1.000085011717709467705014,137.0359088424797617689048,-6.9747211972009795e-6,1,1,1,1,6.585241896e-7
2,2,7,4,2.921579665952417e-5,1.000085011717709466543866,137.0359088424797617724953,-6.9747211972009003e-6,1,1,1,1,6.585241896e-7
2,2,7,5,2.9215796659523009e-5,1.000085011717709465382718,137.0359088424797617760858,-6.9747211972008211e-6,1,1,1,1,6.585241896e-7
2,2,7,6,2.9215796659521848e-5,1.000085011717709464221569,137.0359088424797617796763,-6.9747211972007419e-6,1,1,1,1,6.585241896e-7
2,2,7,7,2.9215796659520687e-5,1.000085011717709463060421,137.0359088424797617832669,-6.9747211972006627e-6,1,1,1,1,6.585241896e-7
2,2,7,8,2.9215796659519526e-5,1.000085011717709461899273,137.0359088424797617868574,-6.9747211972005835e-6,1,1,1,1,6.585241896e-7
2,2,8,2,2.921579665952881e-5,1.000085011717709471183503,137.0359088424797617581486,-6.9747211972012168e-6,1,1,1,1,6.585241896e-7
2,2,8,3,2.9215796659528808e-5,1.000085011717709471181025,137.0359088424797617581562,-6.9747211972012167e-6,1,1,1,1,6.585241896e-7
2,2,8,4,2.9215796659528805e-5,1.000085011717709471178547,137.0359088424797617581639,-6.9747211972012165e-6,1,1,1,1,6.585241896e-7
2,2,8,5,2.9215796659528803e-5,1.000085011717709471176068,137.0359088424797617581716,-6.9747211972012164e-6,1,1,1,1,6.585241896e-7
2,2,8,6,2.92157966595288e-5,1.00008501171770947117359,137.0359088424797617581792,-6.9747211972012162e-6,1,1,1,1,6.585241896e-7
2,2,8,7,2.9215796659528798e-5,1.000085011717709471171112,137.0359088424797617581869,-6.9747211972012161e-6,1,1,1,1,6.585241896e-7
2,2,8,8,2.9215796659528795e-5,1.000085011717709471168634,137.0359088424797617581946,-6.9747211972012159e-6,1,1,1,1,6.585241896e-7
2,3,2,2,1.4607898329764408e-5,1.000070403819379706780956,137.0359540131729640445103,-3.4873605986006085e-6,1,1,1,1,3.288977155e-7
2,3,2,3,0.0,1.000055795921049942373452,137.0359991838357154217997,0.0,1,1,1,1,7.285364144e-10
2,3,2,4,-1.4607898329764408e-5,1.000041188022720177965948,137.0360443544680159515847,3.4873605986006085e-6,1,1,1,1,3.303545661e-7
2,3,2,5,-2.9215796659528815e-5,1.000026580124390413558445,137.0360895250698656954488,6.9747211972012171e-6,1,1,1,1,6.599803736e-7
2,3,2,6,-4.3823694989293223e-5,1.000011972226060649150941,137.036134695641264714975,1.0462081795801826e-5,1,1,1,1,9.896059588e-7
2,3,2,7,-5.843159331905763e-5,0.9999973643277308847434372,137.0361798661822130717462,1.3949442394402434e-5,1,1,1,0,1.319231322e-6
2,3,2,8,-7.3039491648822038e-5,0.9999827564294011203359335,137.0362250366927108273451,1.7436802993003043e-5,1,1,1,0,1.648856463e-6
2,3,3,2,4.3741857603198916e-5,1.000099537778653141289105,137.0358639248147694635434,-1.0449056971402431e-5,1,1,1,1,9.863042276e-7
2,3,3,3,4.3700938910151762e-5,1.000099496859960094135676,137.0358640513440995863782,-1.0442544559202734e-5,1,1,1,1,9.853808985e-7
2,3,3,4,4.3660020217104609e-5,1.000099455941267046982247,137.0358641778734294702835,-1.0436032147003037e-5,1,1,1,1,9.844575693e-7
2,3,3,5,4.3619101524057455e-5,1.000099415022573999828818,137.0358643044027591152591,-1.042951973480334e-5,1,1,1,1,9.835342402e-7
2,3,3,6,4.3578182831010302e-5,1.00009937410388095267539,137.035864430932088521305,-1.0423007322603643e-5,1,1,1,1,9.826109111e-7
2,3,3,7,4.3537264137963149e-5,1.000099333185187905521961,137.0358645574614176884213,-1.0416494910403945e-5,1,1,1,1,9.81687582e-7
2,3,3,8,4.3496345444915995e-5,1.000099292266494858368532,137.0358646839907466166079,-1.0409982498204248e-5,1,1,1,1,9.807642528e-7
2,3,4,2,4.3823491220454738e-5,1.000099619412270397111217,137.0358636723862052327976,-1.0462057472688406e-5,1,1,1,1,9.881462878e-7
2,3,4,3,4.3823389336035495e-5,1.000099619310385977868844,137.0358636727012535986519,-1.0462045311131697e-5,1,1,1,1,9.881439888e-7
2,3,4,4,4.3823287451616253e-5,1.000099619208501558626471,137.0358636730163019645047,-1.0462033149574987e-5,1,1,1,1,9.881416898e-7
2,3,4,5,4.3823185567197011e-5,1.000099619106617139384098,137.035863673331350330356,-1.0462020988018277e-5,1,1,1,1,9.881393908e-7
2,3,4,6,4.3823083682777768e-5,1.000099619004732720141724,137.0358636736463986962058,-1.0462008826461568e-5,1,1,1,1,9.881370918e-7
2,3,4,7,4.3822981798358526e-5,1.000099618902848300899351,137.0358636739614470620542,-1.0461996664904858e-5,1,1,1,1,9.881347927e-7
2,3,4,8,4.3822879913939284e-5,1.000099618800963881656978,137.035863674276495427901,-1.0461984503348149e-5,1,1,1,1,9.881324937e-7
2,3,5,2,4.3823694513634927e-5,1.000099619615563577300509,137.035863671757579338037,-1.0462081750379804e-5,1,1,1,1,9.881508751e-7
2,3,5,3,4.3823694275805779e-5,1.000099619615325748152782,137.0358636717583147565132,-1.0462081727668794e-5,1,1,1,1,9.881508698e-7
2,3,5,4,4.3823694037976632e-5,1.000099619615087919005055,137.0358636717590501749893,-1.0462081704957783e-5,1,1,1,1,9.881508644e-7
2,3,5,5,4.3823693800147484e-5,1.000099619614850089857328,137.0358636717597855934655,-1.0462081682246772e-5,1,1,1,1,9.88150859e-7
2,3,5,6,4.3823693562318336e-5,1.000099619614612260709601,137.0358636717605210119417,-1.0462081659535762e-5,1,1,1,1,9.881508537e-7
2,3,5,7,4.3823693324489188e-5,1.000099619614374431561874,137.0358636717612564304179,-1.0462081636824751e-5,1,1,1,1,9.881508483e-7
2,3,5,8,4.3823693086660041e-5,1.000099619614136602414148,137.035863671761991848894,-1.046208161411374e-5,1,1,1,1,9.881508429e-7
