rank_by_sort,k,d,l,m,hits_1e-06,alpha_inv_rel_residual
1,3,3,3,2,1,1.947908557e-10
2,3,4,3,3,1,1.947908557e-10
3,3,5,3,4,1,1.947908557e-10
4,3,6,3,5,1,1.947908557e-10
5,3,7,3,6,1,1.947908557e-10
6,3,8,3,7,1,1.947908557e-10
7,4,8,8,2,1,7.101442996e-10
8,4,8,8,3,1,7.101442996e-10
9,4,8,8,4,1,7.101442996e-10
10,4,8,8,5,1,7.101442996e-10
11,4,8,8,6,1,7.101442996e-10
12,4,8,8,7,1,7.101442996e-10
13,4,8,8,8,1,7.101442996e-10
14,4,8,7,2,1,7.101442997e-10
15,4,8,7,3,1,7.101442997e-10
16,4,8,7,4,1,7.101442997e-10
17,4,8,7,5,1,7.101442997e-10
18,4,8,7,6,1,7.101442998e-10
19,4,8,7,7,1,7.101442998e-10
20,4,8,7,8,1,7.101442998e-10
