backend,L,orientation,stage,body,radius,enclosed_sites,enclosed_polarity,mean_polarity,boundary_flux,divergence_sum,gauss_target,telescope_residual,gauss_residual,transport_ticks,valid
gpu,64,1,neutral,A,3,343,0,0,0.00033843944970581648,0.00033843944970555942,0,2.570643350963131e-16,0.00033843944970581648,56,1
gpu,64,1,neutral,A,4,729,0,0,-0.00069288719812536648,-0.00069288719812535173,0,-1.474514954580286e-17,-0.00069288719812536648,56,1
gpu,64,1,neutral,A,5,1331,0,0,0.00065315646862995039,0.00065315646862963261,0,3.1777965675550135e-16,0.00065315646862995039,56,1
gpu,64,1,neutral,A,6,2197,0,0,-0.00078550117070598979,-0.00078550117070581957,0,-1.702197410802242e-16,-0.00078550117070598979,56,1
gpu,64,1,neutral,B,3,343,0,0,0.00033843945677148484,0.00033843945677151694,0,-3.2092384305570931e-17,0.00033843945677148484,56,1
gpu,64,1,neutral,B,4,729,0,0,-0.00069288629922919023,-0.00069288629922922233,0,3.2092384305570931e-17,-0.00069288629922919023,56,1
gpu,64,1,neutral,B,5,1331,0,0,0.00065315697329338773,0.00065315697329332463,0,6.3100566438656358e-17,0.00065315697329338773,56,1
gpu,64,1,neutral,B,6,2197,0,0,-0.00078549885615017195,-0.00078549885615022616,0,5.4210108624275222e-17,-0.00078549885615017195,56,1
gpu,64,1,projected,A,3,343,1,0,1.0041785441290616,1.0041785441290618,1,-2.2204460492503131e-16,0.004178544129061601,56,1
gpu,64,1,projected,A,4,729,1,0,0.99067448122643675,0.99067448122643631,1,4.4408920985006262e-16,-0.0093255187735632461,56,1
gpu,64,1,projected,A,5,1331,1,0,1.0100834023086616,1.0100834023086622,1,-6.6613381477509392e-16,0.01008340230866156,56,1
gpu,64,1,projected,A,6,2197,1,0,0.98392715671949216,0.98392715671949116,1,9.9920072216264089e-16,-0.016072843280507843,56,1
gpu,64,1,projected,B,3,343,-1,0,-1.0047442802015649,-1.0047442802015654,-1,4.4408920985006262e-16,-0.004744280201564921,56,1
gpu,64,1,projected,B,4,729,-1,0,-0.9892227006409835,-0.9892227006409835,-1,0,0.010777299359016501,56,1
gpu,64,1,projected,B,5,1331,-1,0,-1.0114203328235924,-1.0114203328235933,-1,8.8817841970012523e-16,-0.01142033282359245,56,1
gpu,64,1,projected,B,6,2197,-1,0,-0.98178456432440431,-0.98178456432440409,-1,-2.2204460492503131e-16,0.018215435675595693,56,1
gpu,64,1,live,A,3,343,1,0,0.90932298170086301,0.90932298170086301,1,0,-0.090677018299136991,56,1
gpu,64,1,live,A,4,729,1,0,1.2170967975230662,1.2170967975230667,1,-4.4408920985006262e-16,0.21709679752306621,56,1
gpu,64,1,live,A,5,1331,1,0,1.229660566822353,1.2296605668223521,1,8.8817841970012523e-16,0.22966056682235303,56,1
gpu,64,1,live,A,6,2197,1,0,1.3385881529019532,1.3385881529019532,1,0,0.33858815290195321,56,1
gpu,64,1,live,B,3,343,-1,0,-0.71193321491982997,-0.71193321491983108,-1,1.1102230246251565e-15,0.28806678508017003,56,1
gpu,64,1,live,B,4,729,-1,0,-1.0097539942792222,-1.0097539942792231,-1,8.8817841970012523e-16,-0.009753994279222189,56,1
gpu,64,1,live,B,5,1331,-1,0,-1.0802855335948904,-1.0802855335948911,-1,6.6613381477509392e-16,-0.080285533594890435,56,1
gpu,64,1,live,B,6,2197,-1,0,-1.2424374861888183,-1.2424374861888203,-1,1.9984014443252818e-15,-0.24243748618881833,56,1
gpu,64,-1,neutral,A,3,343,0,0,-0.00033843944970581648,-0.00033843944970555942,0,-2.570643350963131e-16,-0.00033843944970581648,56,1
gpu,64,-1,neutral,A,4,729,0,0,0.00069288719812536648,0.00069288719812535173,0,1.474514954580286e-17,0.00069288719812536648,56,1
gpu,64,-1,neutral,A,5,1331,0,0,-0.00065315646862995039,-0.00065315646862963261,0,-3.1777965675550135e-16,-0.00065315646862995039,56,1
gpu,64,-1,neutral,A,6,2197,0,0,0.00078550117070598979,0.00078550117070581957,0,1.702197410802242e-16,0.00078550117070598979,56,1
gpu,64,-1,neutral,B,3,343,0,0,-0.00033843945677148484,-0.00033843945677151694,0,3.2092384305570931e-17,-0.00033843945677148484,56,1
gpu,64,-1,neutral,B,4,729,0,0,0.00069288629922919023,0.00069288629922922233,0,-3.2092384305570931e-17,0.00069288629922919023,56,1
gpu,64,-1,neutral,B,5,1331,0,0,-0.00065315697329338773,-0.00065315697329332463,0,-6.3100566438656358e-17,-0.00065315697329338773,56,1
gpu,64,-1,neutral,B,6,2197,0,0,0.00078549885615017195,0.00078549885615022616,0,-5.4210108624275222e-17,0.00078549885615017195,56,1
gpu,64,-1,projected,A,3,343,-1,0,-1.0041785441290616,-1.0041785441290618,-1,2.2204460492503131e-16,-0.004178544129061601,56,1
gpu,64,-1,projected,A,4,729,-1,0,-0.99067448122643675,-0.99067448122643631,-1,-4.4408920985006262e-16,0.0093255187735632461,56,1
gpu,64,-1,projected,A,5,1331,-1,0,-1.0100834023086616,-1.0100834023086622,-1,6.6613381477509392e-16,-0.01008340230866156,56,1
gpu,64,-1,projected,A,6,2197,-1,0,-0.98392715671949216,-0.98392715671949116,-1,-9.9920072216264089e-16,0.016072843280507843,56,1
gpu,64,-1,projected,B,3,343,1,0,1.0047442802015649,1.0047442802015654,1,-4.4408920985006262e-16,0.004744280201564921,56,1
gpu,64,-1,projected,B,4,729,1,0,0.9892227006409835,0.9892227006409835,1,0,-0.010777299359016501,56,1
gpu,64,-1,projected,B,5,1331,1,0,1.0114203328235924,1.0114203328235933,1,-8.8817841970012523e-16,0.01142033282359245,56,1
