backend,L,arm,polarity,direction,radius,ticks,init_valid,init_iterations,solver_residual,gauss_max,curl_residual,surface_flux,surface_error,minimum_energy,string_energy,modified_energy_initial,energy_drift_max,current_l1,reaction_l1,stationary_current_max,voxel_sync_max,support_initial,support_tick12,support_final,support_excess,valid
windows-msvc-14.44,64,static_dressing,1,diagonal,2,32,1,211,8.6941404815797292e-13,8.6944557456392069e-13,2.7755575615628914e-17,0.99999999999835099,1.649014258475745e-12,0.25019926173751972,46.5,0.25019926173751972,1.1102230246251565e-16,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,static_dressing,1,diagonal,3,32,1,211,8.6941404815797292e-13,8.6944557456392069e-13,2.7755575615628914e-17,1.0000000000017764,1.7763568394002505e-12,0.25019926173751972,46.5,0.25019926173751972,1.1102230246251565e-16,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,static_dressing,1,diagonal,4,32,1,211,8.6941404815797292e-13,8.6944557456392069e-13,2.7755575615628914e-17,0.99999999999982225,1.7774670624248756e-13,0.25019926173751972,46.5,0.25019926173751972,1.1102230246251565e-16,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,static_dressing,1,diagonal,5,32,1,211,8.6941404815797292e-13,8.6944557456392069e-13,2.7755575615628914e-17,0.99999999999506006,4.939937348069634e-12,0.25019926173751972,46.5,0.25019926173751972,1.1102230246251565e-16,0,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,1,+x,2,20,1,211,8.4031672984508233e-13,8.4032260316835306e-13,4.163336342344337e-17,0.99999999999514166,4.858335955759685e-12,0.24986358029023306,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,1,+y,2,20,1,211,8.4031677453592699e-13,8.4032737365791199e-13,2.7755575615628914e-17,0.999999999995141,4.8590020895744601e-12,0.24986358029022518,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,1,+z,2,20,1,211,8.4031677411397643e-13,8.4031479691271116e-13,4.163336342344337e-17,0.99999999999514155,4.8584469780621475e-12,0.24986358029021707,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,-1,+x,2,20,1,211,8.4031672984508233e-13,8.4032260316835306e-13,4.163336342344337e-17,-0.99999999999514166,4.858335955759685e-12,0.24986358029023306,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,-1,+y,2,20,1,211,8.4031677453592699e-13,8.4032737365791199e-13,2.7755575615628914e-17,-0.999999999995141,4.8590020895744601e-12,0.24986358029022518,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,movement,-1,+z,2,20,1,211,8.4031677411397643e-13,8.4031479691271116e-13,4.163336342344337e-17,-0.99999999999514155,4.8584469780621475e-12,0.24986358029021707,0,0,0,7,0,0,0,0,0,0,0,1
windows-msvc-14.44,64,transverse_wave,0,edge-z,0,32,1,0,0,3.8914864190127355e-19,0,0,0,0,0,1.9999999999999999e-06,5.0017295535366435e-19,0,0,0,0,1,13,32,0,1
