backend,L,arm,polarity,direction,radius,ticks,init_valid,init_iterations,solver_residual,gauss_max,curl_residual,surface_flux,surface_error,minimum_energy,string_energy,modified_energy_initial,energy_drift_max,current_l1,reaction_l1,stationary_current_max,voxel_sync_max,support_initial,support_tick12,support_final,support_excess,valid
wsl2-gcc,64,static_dressing,1,diagonal,2,32,1,211,8.6941426348550832e-13,8.6941912003091204e-13,2.7755575615628914e-17,0.99999999999835076,1.64923630308067e-12,0.25019926173749263,46.5,0.25019926173749263,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,64,static_dressing,1,diagonal,3,32,1,211,8.6941426348550832e-13,8.6941912003091204e-13,2.7755575615628914e-17,1.0000000000017786,1.7785772854495008e-12,0.25019926173749263,46.5,0.25019926173749263,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,64,static_dressing,1,diagonal,4,32,1,211,8.6941426348550832e-13,8.6941912003091204e-13,2.7755575615628914e-17,0.99999999999982025,1.7974510768681284e-13,0.25019926173749263,46.5,0.25019926173749263,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,64,static_dressing,1,diagonal,5,32,1,211,8.6941426348550832e-13,8.6941912003091204e-13,2.7755575615628914e-17,0.99999999999505995,4.9400483703720965e-12,0.25019926173749263,46.5,0.25019926173749263,5.5511151231257827e-17,0,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,1,+x,2,20,1,211,8.4031684569637203e-13,8.4029181182665447e-13,2.7755575615628914e-17,0.99999999999514211,4.857891866549835e-12,0.24986358029022654,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,1,+y,2,20,1,211,8.4031684753797173e-13,8.4029484759273743e-13,2.7755575615628914e-17,0.99999999999514078,4.8592241341793851e-12,0.24986358029022662,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,1,+z,2,20,1,211,8.4031684496163208e-13,8.4029354655013044e-13,2.7755575615628914e-17,0.999999999995141,4.8590020895744601e-12,0.24986358029022662,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,-1,+x,2,20,1,211,8.4031684569637203e-13,8.4029181182665447e-13,2.7755575615628914e-17,-0.99999999999514211,4.857891866549835e-12,0.24986358029022654,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,-1,+y,2,20,1,211,8.4031684753797173e-13,8.4029484759273743e-13,2.7755575615628914e-17,-0.99999999999514078,4.8592241341793851e-12,0.24986358029022662,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,movement,-1,+z,2,20,1,211,8.4031684496163208e-13,8.4029354655013044e-13,2.7755575615628914e-17,-0.999999999995141,4.8590020895744601e-12,0.24986358029022662,0,0,0,7,0,0,0,0,0,0,0,1
wsl2-gcc,64,transverse_wave,0,edge-z,0,32,1,0,0,3.8914864190127355e-19,0,0,0,0,0,1.9999999999999999e-06,1.2705494208814505e-21,0,0,0,0,1,13,32,0,1
