backend_label,actual_backend,L,arm,dx,dy,dz,base,duty,orientation,n,source_real,source_imag,source_abs,omega,final_tick,samples,z_real,z_imag,z_exact,relative_error,fit_residual,initial_charge,final_charge,state_unchanged,forbidden_toggles_off,valid
windows-msvc-14.44,cpu,32,primary_100,1,0,0,1,2,1,1,0.031250000000000014,-0.3172865746127847,0.31882178866808053,0.11324094111196269,111,17,0.25381151634496529,1.7486321035747188e-16,0.25381151634495458,4.2211056227534859e-14,5.7390159083201259e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_100,1,0,0,1,2,1,3,0.031249999999999896,-0.10301744402933344,0.1076529436399063,0.3367812122369585,111,17,0.2346786822565281,-1.7507686631005868e-14,0.23467868225655983,1.3518323276581749e-13,3.4311667499324084e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_100,1,0,0,1,2,-1,1,-0.031250000000000014,0.3172865746127847,0.31882178866808053,0.11324094111196269,111,17,0.25381151634496529,1.7486321035747188e-16,0.25381151634495458,4.2211056227534859e-14,5.7390159083201259e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_100,1,0,0,1,2,-1,3,-0.031249999999999896,0.10301744402933344,0.1076529436399063,0.3367812122369585,111,17,0.2346786822565281,-1.7507686631005868e-14,0.23467868225655983,1.3518323276581749e-13,3.4311667499324084e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_100,1,0,0,2,2,1,2,0.0625,-0.31420871825785751,0.32036443096768041,0.2257499656675141,56,17,0.24651979507456837,1.6209878760683308e-15,0.24651979507456417,1.7001036029144425e-14,7.0716799028814719e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_100,1,0,0,2,2,-1,2,-0.0625,0.31420871825785751,0.32036443096768041,0.2257499656675141,56,17,0.24651979507456837,1.6209878760683308e-15,0.24651979507456417,1.7001036029144425e-14,7.0716799028814719e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,1,2,1,1,0.031250000000000083,-0.31728657461278292,0.31882178866807875,0.15997535317849593,79,17,0.25462694724378615,9.0882216590196704e-16,0.25462694724380225,6.3222820802430251e-14,4.5997150175106353e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,1,2,1,3,0.031250000000000014,-0.10301744402934213,0.10765294363991464,0.47168867280700144,79,17,0.24146093303282204,1.2766444264001322e-14,0.24146093303286295,1.6943411070091788e-13,7.098376982831603e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,1,2,-1,1,-0.031250000000000083,0.31728657461278292,0.31882178866807875,0.15997535317849593,79,17,0.25462694724378615,9.0882216590196704e-16,0.25462694724380225,6.3222820802430251e-14,4.5997150175106353e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,1,2,-1,3,-0.031250000000000014,0.10301744402934213,0.10765294363991464,0.47168867280700144,79,17,0.24146093303282204,1.2766444264001322e-14,0.24146093303286295,1.6943411070091788e-13,7.098376982831603e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,2,2,1,2,0.062499999999999993,-0.31420871825784719,0.32036443096767031,0.31789065382480303,40,17,0.24968751682572995,-2.6219578404562153e-15,0.24968751682570897,8.4037902383652252e-14,1.2364114808156502e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_110,1,1,0,2,2,-1,2,-0.062499999999999993,0.31420871825784719,0.32036443096767031,0.31789065382480303,40,17,0.24968751682572995,-2.6219578404562153e-15,0.24968751682570897,8.4037902383652252e-14,1.2364114808156502e-13,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_111,1,1,1,1,2,1,1,0.031250000000000111,-0.31728657461277932,0.31882178866807515,0.19571770908907202,65,17,0.25544763456825254,7.0265274864399345e-16,0.25544763456825281,1.0865465895795144e-15,7.9806495317557733e-14,0,0,1,1,1
windows-msvc-14.44,cpu,32,primary_111,1,1,1,1,2,1,3,0.031250000000000097,-0.10301744402934229,0.10765294363991482,0.57178367265481389,65,17,0.24864686652844345,1.6127846086290657e-14,0.24864686652849494,2.0706712891992655e-13,4.6649114237250356e-14,0,0,1,1,1
