FTD-0458 minimum-norm transaction selector v1
protocol,L,33,group_size,48,hop,+x,support,R1,amplitude,0.02,packet_direction,-1,packet_tick,8,work,0.0001,speed,0.14999999999999999,gate,1e-10
certificate,ambient_dimension,108,constraint_rank,3,nullity,105,zero_shell_dimension,104,minimum_energy,-0.004313761077087354,radius,0.092884455934105076,projected_coefficient_norm,0.10326047502272089,norm2_bound_residual,2.6020852139652106e-18,direction_residual,2.2813375984859581e-18,minimum_alternative_norm2_excess,0.0014601874203539265,alternative_count,5,pass,true
arm,index,0,dx,-1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,7.758197567024354e-18,selected_impulse_residual,1.4304896282758496e-17,complete_energy_residual,2.3649159887340065e-17,momentum_residual,1.7347430635031267e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,1,dx,-1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,6.31527489819812e-18,selected_impulse_residual,1.3893052475571697e-17,complete_energy_residual,2.1914436411363258e-17,momentum_residual,1.7349148750116382e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,2,dx,-1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,9.8130779345765054e-18,selected_impulse_residual,1.4304897007372344e-17,complete_energy_residual,2.711860683929368e-17,momentum_residual,5.2081418610623403e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,3,dx,-1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,1.04444560648754e-17,selected_impulse_residual,1.430489921748645e-17,complete_energy_residual,2.7985968577282083e-17,momentum_residual,8.6756933961350126e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,4,dx,1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,1.3010426069826053e-18,minimum_impulse_residual,2.6379777400251014e-18,selected_impulse_residual,7.1524536849198059e-18,complete_energy_residual,5.434563389583591e-18,momentum_residual,4.8573358174102393e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,5,dx,1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,2.6379777400251014e-18,selected_impulse_residual,6.9524860582227509e-18,complete_energy_residual,5.434563389583591e-18,momentum_residual,4.8572753160512722e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,6,dx,1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,3.5766349090763433e-18,selected_impulse_residual,1.3879508236847792e-17,complete_energy_residual,7.7927031147395631e-18,momentum_residual,7.1124178996678232e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,7,dx,1,dy,0,dz,0,minimum_energy_residual,0,norm2_residual,0,minimum_impulse_residual,0,selected_impulse_residual,0,complete_energy_residual,4.9737774662772516e-18,momentum_residual,7.2858567812975573e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,8,dx,-1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,7.4614671085050402e-18,selected_impulse_residual,1.4304910852949345e-17,complete_energy_residual,2.711860683929368e-17,momentum_residual,1.5613100317184745e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,9,dx,-1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,7.3603082416377865e-18,selected_impulse_residual,1.4304898383691421e-17,complete_energy_residual,2.711860683929368e-17,momentum_residual,1.3877840023492392e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,10,dx,-1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,8.6748056462055487e-18,selected_impulse_residual,1.4253882919404573e-17,complete_energy_residual,2.972069205325889e-17,momentum_residual,1.7347520961899071e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,11,dx,-1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,7.3610485397958122e-18,selected_impulse_residual,1.3985819678589842e-17,complete_energy_residual,2.8636489880773386e-17,momentum_residual,1.5612511283791264e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,12,dx,1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,9.6973990361221606e-19,selected_impulse_residual,1.3884668244892718e-17,complete_energy_residual,1.531435568635775e-18,momentum_residual,5.8980604800655972e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,13,dx,1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,2.6379777400251014e-18,selected_impulse_residual,6.9693730894497378e-18,complete_energy_residual,6.3696877633523385e-19,momentum_residual,6.0715391614994041e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,14,dx,1,dy,0,dz,0,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,2.6379777400251014e-18,selected_impulse_residual,1.3884668244892718e-17,complete_energy_residual,2.3987973066241786e-18,momentum_residual,6.2450069031489295e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,15,dx,1,dy,0,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,3.5963004038764918e-18,selected_impulse_residual,7.4107494459302208e-18,complete_energy_residual,1.5043305143236374e-18,momentum_residual,6.2450113147756161e-17,reverse_residual,9.6973990361221606e-19,pass,true
