L,direction,amplitude,polarity,tick,packet_centroid,directed_probe_distance,force_x,force_longitudinal,max_leading_force,integrated_longitudinal_force,valid
49,-1,0.5,-1,1,33.638702278242008,9.6387022782420075,-1.4553432173643525e-21,1.4553432173643525e-21,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,2,33.182137240669228,9.1821372406692277,-9.133603992169046e-22,9.133603992169046e-22,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,3,32.792110272700448,8.7921102727004481,-6.4209782604508612e-22,6.4209782604508612e-22,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,4,32.404379930685707,8.4043799306857068,-1.5393501357674694e-21,1.5393501357674694e-21,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,5,31.929807845217795,7.9298078452177947,-8.9321286168296105e-21,8.9321286168296105e-21,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,6,31.399125190272581,7.3991251902725814,-1.5015547491143455e-20,1.5015547491143455e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,7,30.92560766349516,6.9256076634951604,-3.446898312727195e-20,3.446898312727195e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,8,30.525928246363424,6.5259282463634243,-5.2458198450257268e-20,5.2458198450257268e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,9,30.117024867376195,6.1170248673761947,-1.7194753418030604e-20,1.7194753418030604e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,10,29.659697986281511,5.6596979862815111,-5.5336887732303109e-20,5.5336887732303109e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,11,29.186080946434966,5.1860809464349664,-1.1919721471210394e-19,1.1919721471210394e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,12,28.727737750291293,4.7277377502912934,-7.8547079678047845e-20,7.8547079678047845e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,13,28.279838995262402,4.2798389952624021,-1.3194225301000802e-20,1.3194225301000802e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,14,27.828370232016059,3.8283702320160593,-2.0488041277260688e-19,2.0488041277260688e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,15,27.371545262015605,3.371545262015605,-3.1003793803726363e-19,3.1003793803726363e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,16,26.913197656923906,2.9131976569239058,-2.0262562240001318e-19,2.0262562240001318e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,17,26.45448359939104,2.4544835993910397,5.8066208111942451e-20,-5.8066208111942451e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,18,25.994728845696077,1.994728845696077,-1.962276814711816e-19,1.962276814711816e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,19,25.533662558788762,1.5336625587887625,-1.7417977437216981e-19,1.7417977437216981e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,20,25.071425603442762,1.0714256034427621,-2.392426025889134e-19,2.392426025889134e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,21,24.608146698507241,0.60814669850724101,-1.0414584707484335e-19,1.0414584707484335e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,22,24.143898064775225,0.14389806477522527,2.2828525140551353e-21,-2.2828525140551353e-21,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,23,23.678752171383419,-0.32124782861658119,-6.9961929572599634e-20,6.9961929572599634e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,24,23.212807950662121,-0.78719204933787879,2.266312181749928e-19,-2.266312181749928e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,25,22.746186228567058,-1.2538137714329416,-1.4051390964484268e-20,1.4051390964484268e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,26,22.279005532882909,-1.7209944671170909,-3.126491693966833e-20,3.126491693966833e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,27,21.811389036245064,-2.188610963754936,-1.0705527041363583e-19,1.0705527041363583e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,28,21.343462814029731,-2.6565371859702687,-9.295279505720239e-20,9.295279505720239e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,29,20.875350441859325,-3.1246495581406748,6.6869610889745816e-20,-6.6869610889745816e-20,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,30,20.407199172240357,-3.5928008277596426,-1.8063621045586229e-19,1.8063621045586229e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,31,19.939191614083111,-4.0608083859168893,1.1629287392141329e-19,-1.1629287392141329e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,-1,32,19.471485977387317,-4.5285140226126828,-4.7090031482395262e-19,4.7090031482395262e-19,5.2458198450257268e-20,2.3269151134376299e-18,1
49,-1,0.5,1,1,33.638702278242008,9.6387022782420075,1.4553432173643525e-21,-1.4553432173643525e-21,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,2,33.182137240669228,9.1821372406692277,9.133603992169046e-22,-9.133603992169046e-22,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,3,32.792110272700448,8.7921102727004481,6.4209782604508612e-22,-6.4209782604508612e-22,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,4,32.404379930685707,8.4043799306857068,1.5393501357674694e-21,-1.5393501357674694e-21,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,5,31.929807845217795,7.9298078452177947,8.9321286168296105e-21,-8.9321286168296105e-21,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,6,31.399125190272581,7.3991251902725814,1.5015547491143455e-20,-1.5015547491143455e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,7,30.92560766349516,6.9256076634951604,3.446898312727195e-20,-3.446898312727195e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,8,30.525928246363424,6.5259282463634243,5.2458198450257268e-20,-5.2458198450257268e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,9,30.117024867376195,6.1170248673761947,1.7194753418030604e-20,-1.7194753418030604e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,10,29.659697986281511,5.6596979862815111,5.5336887732303109e-20,-5.5336887732303109e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,11,29.186080946434966,5.1860809464349664,1.1919721471210394e-19,-1.1919721471210394e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,12,28.727737750291293,4.7277377502912934,7.8547079678047845e-20,-7.8547079678047845e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,13,28.279838995262402,4.2798389952624021,1.3194225301000802e-20,-1.3194225301000802e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,14,27.828370232016059,3.8283702320160593,2.0488041277260688e-19,-2.0488041277260688e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,15,27.371545262015605,3.371545262015605,3.1003793803726363e-19,-3.1003793803726363e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,16,26.913197656923906,2.9131976569239058,2.0262562240001318e-19,-2.0262562240001318e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,17,26.45448359939104,2.4544835993910397,-5.8066208111942451e-20,5.8066208111942451e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,18,25.994728845696077,1.994728845696077,1.962276814711816e-19,-1.962276814711816e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,19,25.533662558788762,1.5336625587887625,1.7417977437216981e-19,-1.7417977437216981e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,20,25.071425603442762,1.0714256034427621,2.392426025889134e-19,-2.392426025889134e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,21,24.608146698507241,0.60814669850724101,1.0414584707484335e-19,-1.0414584707484335e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,22,24.143898064775225,0.14389806477522527,-2.2828525140551353e-21,2.2828525140551353e-21,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,23,23.678752171383419,-0.32124782861658119,6.9961929572599634e-20,-6.9961929572599634e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,24,23.212807950662121,-0.78719204933787879,-2.266312181749928e-19,2.266312181749928e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,25,22.746186228567058,-1.2538137714329416,1.4051390964484268e-20,-1.4051390964484268e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,26,22.279005532882909,-1.7209944671170909,3.126491693966833e-20,-3.126491693966833e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,27,21.811389036245064,-2.188610963754936,1.0705527041363583e-19,-1.0705527041363583e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,28,21.343462814029731,-2.6565371859702687,9.295279505720239e-20,-9.295279505720239e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,29,20.875350441859325,-3.1246495581406748,-6.6869610889745816e-20,6.6869610889745816e-20,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,30,20.407199172240357,-3.5928008277596426,1.8063621045586229e-19,-1.8063621045586229e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,31,19.939191614083111,-4.0608083859168893,-1.1629287392141329e-19,1.1629287392141329e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,0.5,1,32,19.471485977387317,-4.5285140226126828,4.7090031482395262e-19,-4.7090031482395262e-19,5.2458198450257268e-20,-2.3269151134376299e-18,1
49,-1,1,-1,1,33.638702278242008,9.6387022782420075,-2.9106864347287051e-21,2.9106864347287051e-21,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,2,33.182137240669228,9.1821372406692277,-1.8267207984338092e-21,1.8267207984338092e-21,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,3,32.792110272700448,8.7921102727004481,-1.2841956520901722e-21,1.2841956520901722e-21,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,4,32.404379930685707,8.4043799306857068,-3.0787002715349388e-21,3.0787002715349388e-21,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,5,31.929807845217795,7.9298078452177947,-1.7864257233659221e-20,1.7864257233659221e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,6,31.399125190272581,7.3991251902725814,-3.0031094982286909e-20,3.0031094982286909e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,7,30.92560766349516,6.9256076634951604,-6.89379662545439e-20,6.89379662545439e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,8,30.525928246363424,6.5259282463634243,-1.0491639690051454e-19,1.0491639690051454e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,9,30.117024867376195,6.1170248673761947,-3.4389506836061209e-20,3.4389506836061209e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,10,29.659697986281511,5.6596979862815111,-1.1067377546460622e-19,1.1067377546460622e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,11,29.186080946434966,5.1860809464349664,-2.3839442942420788e-19,2.3839442942420788e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,12,28.727737750291293,4.7277377502912934,-1.5709415935609569e-19,1.5709415935609569e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,13,28.279838995262402,4.2798389952624021,-2.6388450602001603e-20,2.6388450602001603e-20,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,14,27.828370232016059,3.8283702320160593,-4.0976082554521377e-19,4.0976082554521377e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,15,27.371545262015605,3.371545262015605,-6.2007587607452726e-19,6.2007587607452726e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,16,26.913197656923906,2.9131976569239058,-4.0525124480002636e-19,4.0525124480002636e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,17,26.45448359939104,2.4544835993910397,1.161324162238849e-19,-1.161324162238849e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,18,25.994728845696077,1.994728845696077,-3.9245536294236319e-19,3.9245536294236319e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,19,25.533662558788762,1.5336625587887625,-3.4835954874433962e-19,3.4835954874433962e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,20,25.071425603442762,1.0714256034427621,-4.7848520517782679e-19,4.7848520517782679e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
49,-1,1,-1,21,24.608146698507241,0.60814669850724101,-2.082916941496867e-19,2.082916941496867e-19,1.0491639690051454e-19,4.6538302268752599e-18,1
