record,L,size,animal_count,axial_edge_cap,kappa1,kappa2,second_displacement,maximizing_r,pair_bound,margin,verdict
animal_l9,9,1,1,0,,,,,,,
animal_l9,9,2,1,1,,,,,,,
animal_l9,9,3,2,2,,,,,,,
animal_l9,9,4,7,4,,,,,,,
animal_l9,9,5,23,5,,,,,,,
animal_l9,9,6,112,7,,,,,,,
animal_l9,9,7,607,9,,,,,,,
animal_l9,9,8,3811,12,,,,,,,
animal_l9,9,9,25413,13,,,,,,,
animal_l17,17,1,1,0,,,,,,,
animal_l17,17,2,1,1,,,,,,,
animal_l17,17,3,2,2,,,,,,,
animal_l17,17,4,7,4,,,,,,,
animal_l17,17,5,23,5,,,,,,,
animal_l17,17,6,112,7,,,,,,,
animal_l17,17,7,607,9,,,,,,,
animal_l17,17,8,3811,12,,,,,,,
animal_l17,17,9,25413,13,,,,,,,
volume,9,,,,0.35925757426614324,0.35393581076466141,0:0:4,9,1.5596603322901916,-0.043274273138213859,TEN_SOURCE_PAIR_DISTANCE_BOUND_INCONCLUSIVE
volume,17,,,,0.36250597734262191,0.36158615734779392,8:8:8,9,1.5926213057370728,-0.076235246585095062,TEN_SOURCE_PAIR_DISTANCE_BOUND_INCONCLUSIVE
volume,33,,,,0.36267617904631827,0.35884800190208921,16:16:16,9,1.6030014362387295,-0.08661537708675171,TEN_SOURCE_PAIR_DISTANCE_BOUND_INCONCLUSIVE
volume,65,,,,0.3627366279728112,0.36134496554309592,32:32:32,9,1.611588853381861,-0.095202794229883203,TEN_SOURCE_PAIR_DISTANCE_BOUND_INCONCLUSIVE
