ftd_id,phase_index,phase,evaluations,u0,u1,u2,u3,u4,u5,reference_energy,relaxed_energy,gradient_inf,minimum_eigenvalue,positive_modes,minimum_distance,maximum_distance,direct_energy_residual,field_gate,common_gate,inverse,inward_impulse,separation_decrease,pseudomomentum_defect,attractive
FTD-0605,0,0,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,1,0.03125,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,2,0.0625,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,3,0.09375,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,4,0.125,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,5,0.15625,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,6,0.1875,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,7,0.21875,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,8,0.25,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,9,0.28125,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,10,0.3125,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,11,0.34375,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,12,0.375,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,13,0.40625,881,-0.070884262075940188,0.19999999999991003,0.0093763438540125157,0.067730478581587011,0.024457135782486317,0.16533921321191453,0.0037653649807022041,0.0036593207069798421,4.954688917610181e-05,-inf,0,1.4140111773226591,1.4143894488448956,1.3010426069826053e-18,7.4664502166574698e-16,4.1312710630930782e-15,1.7763568394002505e-15,-0.0002575357302694902,-0.00016801339325311915,0.00024206646165114457,0
FTD-0605,14,0.4375,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
FTD-0605,15,0.46875,842,-0.044304811724496282,0.19999999999882745,-0.045420021620245277,0.14266647978086211,-0.04501863548613208,0.10158614201692115,0.0037584190436209708,0.0036476880720274604,5.8808163479976555e-05,-inf,0,1.4140167896065658,1.4143933398352129,0,8.0082425879612971e-16,3.7199247588520779e-15,1.7763568394002505e-15,-0.0002338518522262964,-0.00015257072443919384,7.431361111022234e-05,0
FTD-0605,16,0.5,812,-0.044305235796215439,0.19999999999750384,-0.045419585189332215,0.14266518815019658,-0.045017376530137876,0.1015872648741645,0.0037581023362801775,0.0036476212134644655,5.5644806867729407e-05,-inf,0,1.4140171409049094,1.4143933551294425,8.6736173798840355e-19,8.3927059373273836e-16,3.3819247315797218e-15,1.7763568394002505e-15,-0.00023203875388064343,-0.00015138800840919231,7.1954554235504383e-05,0
FTD-0605,17,0.53125,900,0,0,0,0,0,0,inf,inf,inf,-inf,0,0,inf,inf,inf,inf,inf,nan,nan,inf,0
