# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102000 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
0,5,5,1,4,5,0
1,5,5,1,4,0,0
2,5,5,1,4,0,0
3,5,5,1,4,0,0
4,5,5,1,4,0,0
5,7,7,3,4,2,0
6,7,7,3,4,0,0
7,8,8,4,4,1,0
8,8,8,4,4,0,0
9,11,11,7,4,3,0
10,13,13,9,4,2,0
11,13,13,9,4,0,0
12,14,14,10,4,1,0
13,14,14,10,4,0,0
14,15,15,10,5,1,0
15,15,15,10,5,0,0
16,15,15,10,5,0,0
17,15,15,10,5,0,0
18,15,15,10,5,0,0
19,15,15,10,5,0,0
20,15,15,10,5,0,0
21,15,15,10,5,0,0
22,15,15,10,5,0,0
23,15,15,10,5,0,0
24,15,15,10,5,0,0
25,15,15,10,5,0,0
26,15,15,10,5,0,0
27,15,15,10,5,0,0
28,15,15,10,5,0,0
29,15,15,10,5,0,0
30,15,15,10,5,0,0
31,15,15,10,5,0,0
32,15,15,10,5,0,0
33,15,15,10,5,0,0
34,15,15,10,5,0,0
35,15,15,10,5,0,0
36,15,15,10,5,0,0
37,15,15,10,5,0,0
38,15,15,10,5,0,0
39,15,15,10,5,0,0
40,15,15,10,5,0,0
41,15,15,10,5,0,0
42,15,15,10,5,0,0
43,15,15,10,5,0,0
44,15,15,10,5,0,0
45,15,15,10,5,0,0
46,15,15,10,5,0,0
47,15,15,10,5,0,0
48,15,15,10,5,0,0
49,15,15,10,5,0,0
50,15,15,10,5,0,0
51,15,15,10,5,0,0
52,15,15,10,5,0,0
53,15,15,10,5,0,0
54,15,15,10,5,0,0
55,15,15,10,5,0,0
56,15,15,10,5,0,0
57,15,15,10,5,0,0
58,15,15,10,5,0,0
59,15,15,10,5,0,0
60,14,14,10,4,0,1
61,14,14,10,4,0,0
62,14,14,10,4,0,0
63,14,14,10,4,0,0
64,14,14,10,4,0,0
65,14,14,10,4,0,0
66,14,14,10,4,0,0
67,14,14,10,4,0,0
68,14,14,10,4,0,0
69,14,14,10,4,0,0
70,14,14,10,4,0,0
71,14,14,10,4,0,0
72,14,14,10,4,0,0
73,14,14,10,4,0,0
74,14,14,10,4,0,0
75,14,14,10,4,0,0
76,14,14,10,4,0,0
77,14,14,10,4,0,0
78,14,14,10,4,0,0
79,14,14,10,4,0,0
80,14,14,10,4,0,0
81,14,14,10,4,0,0
82,14,14,10,4,0,0
83,14,14,10,4,0,0
84,14,14,10,4,0,0
85,14,14,10,4,0,0
86,14,14,10,4,0,0
87,14,14,10,4,0,0
88,14,14,10,4,0,0
89,14,14,10,4,0,0
90,14,14,10,4,0,0
91,14,14,10,4,0,0
92,14,14,10,4,0,0
93,14,14,10,4,0,0
94,14,14,10,4,0,0
95,14,14,10,4,0,0
96,14,14,10,4,0,0
97,14,14,10,4,0,0
