# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102002 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
0,6,6,1,5,6,0
1,6,6,1,5,0,0
2,6,6,1,5,0,0
3,6,6,1,5,0,0
4,6,6,1,5,0,0
5,8,8,2,6,2,0
6,8,8,2,6,0,0
7,9,9,3,6,1,0
8,9,9,3,6,0,0
9,12,12,6,6,3,0
10,14,14,8,6,2,0
11,14,14,8,6,0,0
12,14,14,8,6,0,0
13,14,14,8,6,0,0
14,15,15,9,6,1,0
15,15,15,9,6,0,0
16,15,15,9,6,0,0
17,15,15,9,6,0,0
18,15,15,9,6,0,0
19,15,15,9,6,0,0
20,15,15,9,6,0,0
21,15,15,9,6,0,0
22,15,15,9,6,0,0
23,15,15,9,6,0,0
24,15,15,9,6,0,0
25,15,15,9,6,0,0
26,15,15,9,6,0,0
27,15,15,9,6,0,0
28,15,15,9,6,0,0
29,15,15,9,6,0,0
30,15,15,9,6,0,0
31,15,15,9,6,0,0
32,15,15,9,6,0,0
33,15,15,9,6,0,0
34,15,15,9,6,0,0
35,15,15,9,6,0,0
36,15,15,9,6,0,0
37,15,15,9,6,0,0
38,15,15,9,6,0,0
39,15,15,9,6,0,0
40,15,15,9,6,0,0
41,15,15,9,6,0,0
42,15,15,9,6,0,0
43,15,15,9,6,0,0
44,15,15,9,6,0,0
45,15,15,9,6,0,0
46,15,15,9,6,0,0
47,15,15,9,6,0,0
48,15,15,9,6,0,0
49,15,15,9,6,0,0
50,15,15,9,6,0,0
51,15,15,9,6,0,0
52,15,15,9,6,0,0
53,14,14,9,5,0,1
54,14,14,9,5,0,0
55,14,14,9,5,0,0
56,14,14,9,5,0,0
57,14,14,9,5,0,0
58,14,14,9,5,0,0
59,14,14,9,5,0,0
60,14,14,9,5,0,0
61,14,14,9,5,0,0
62,14,14,9,5,0,0
63,14,14,9,5,0,0
64,14,14,9,5,0,0
65,14,14,9,5,0,0
66,14,14,9,5,0,0
67,14,14,9,5,0,0
68,14,14,9,5,0,0
69,14,14,9,5,0,0
70,14,14,9,5,0,0
71,14,14,9,5,0,0
72,14,14,9,5,0,0
73,14,14,9,5,0,0
74,14,14,9,5,0,0
75,14,14,9,5,0,0
76,14,14,9,5,0,0
77,14,14,9,5,0,0
78,14,14,9,5,0,0
79,14,14,9,5,0,0
80,14,14,9,5,0,0
81,14,14,9,5,0,0
82,14,14,9,5,0,0
83,14,14,9,5,0,0
84,14,14,9,5,0,0
85,14,14,9,5,0,0
86,14,14,9,5,0,0
87,14,14,9,5,0,0
88,14,14,9,5,0,0
89,14,14,9,5,0,0
90,14,14,9,5,0,0
91,14,14,9,5,0,0
92,14,14,9,5,0,0
93,14,14,9,5,0,0
94,14,14,9,5,0,0
95,14,14,9,5,0,0
96,14,14,9,5,0,0
97,14,14,9,5,0,0
98,14,14,9,5,0,0
99,14,14,9,5,0,0
100,14,14,9,5,0,0
101,14,14,9,5,0,0
102,14,14,9,5,0,0
103,14,14,9,5,0,0
104,14,14,9,5,0,0
105,14,14,9,5,0,0
106,14,14,9,5,0,0
107,13,13,9,4,0,1
108,13,13,9,4,0,0
109,13,13,9,4,0,0
110,13,13,9,4,0,0
111,13,13,9,4,0,0
112,13,13,9,4,0,0
113,13,13,9,4,0,0
114,13,13,9,4,0,0
115,13,13,9,4,0,0
116,13,13,9,4,0,0
117,13,13,9,4,0,0
118,13,13,9,4,0,0
119,13,13,9,4,0,0
120,13,13,9,4,0,0
121,13,13,9,4,0,0
122,13,13,9,4,0,0
123,13,13,9,4,0,0
124,13,13,9,4,0,0
125,13,13,9,4,0,0
126,13,13,9,4,0,0
127,13,13,9,4,0,0
128,13,13,9,4,0,0
129,13,13,9,4,0,0
130,13,13,9,4,0,0
131,13,13,9,4,0,0
132,13,13,9,4,0,0
133,13,13,9,4,0,0
134,13,13,9,4,0,0
135,13,13,9,4,0,0
136,13,13,9,4,0,0
137,13,13,9,4,0,0
138,13,13,9,4,0,0
139,13,13,9,4,0,0
140,13,13,9,4,0,0
141,13,13,9,4,0,0
142,13,13,9,4,0,0
143,13,13,9,4,0,0
144,13,13,9,4,0,0
145,13,13,9,4,0,0
146,13,13,9,4,0,0
147,13,13,9,4,0,0
148,13,13,9,4,0,0
149,13,13,9,4,0,0
150,13,13,9,4,0,0
151,13,13,9,4,0,0
152,13,13,9,4,0,0
153,13,13,9,4,0,0
154,13,13,9,4,0,0
155,13,13,9,4,0,0
156,13,13,9,4,0,0
157,13,13,9,4,0,0
158,13,13,9,4,0,0
159,13,13,9,4,0,0
160,13,13,9,4,0,0
161,13,13,9,4,0,0
162,13,13,9,4,0,0
163,13,13,9,4,0,0
164,13,13,9,4,0,0
165,13,13,9,4,0,0
166,13,13,9,4,0,0
167,13,13,9,4,0,0
168,13,13,9,4,0,0
169,13,13,9,4,0,0
170,13,13,9,4,0,0
171,13,13,9,4,0,0
172,13,13,9,4,0,0
173,13,13,9,4,0,0
174,13,13,9,4,0,0
175,13,13,9,4,0,0
176,13,13,9,4,0,0
177,13,13,9,4,0,0
178,13,13,9,4,0,0
179,13,13,9,4,0,0
180,13,13,9,4,0,0
181,13,13,9,4,0,0
182,13,13,9,4,0,0
183,13,13,9,4,0,0
184,13,13,9,4,0,0
185,13,13,9,4,0,0
186,13,13,9,4,0,0
187,13,13,9,4,0,0
188,13,13,9,4,0,0
189,13,13,9,4,0,0
190,13,13,9,4,0,0
191,13,13,9,4,0,0
192,13,13,9,4,0,0
193,13,13,9,4,0,0
194,13,13,9,4,0,0
195,13,13,9,4,0,0
196,13,13,9,4,0,0
197,13,13,9,4,0,0
198,13,13,9,4,0,0
199,13,13,9,4,0,0
200,13,13,9,4,0,0
201,13,13,9,4,0,0
202,13,13,9,4,0,0
203,13,13,9,4,0,0
