# campaign_gnc_qij FTD-0349/FTD-0354 seed=42 sor_iters=150 meas_window=256 SWEEP
L,geometry,N,converged,ticks_equil,gauss_max_err,integrity,m_qxx,m_qyy,m_qzz,m_qxy,m_qxz,m_qyz,m_trace,m_aniso,m_eigspread,s_qxx,s_qyy,s_qzz,s_qxy,s_qxz,s_qyz,s_trace,s_aniso,s_eigspread,all_Q_trace,all_raw_trace,coulomb_pred_raw,shell_count
32,cube,8,1,1024,4.868238e-02,1,1.62556912e-02,1.62556912e-02,1.62556912e-02,7.43967245e-03,7.43967245e-03,7.43967245e-03,4.87670737e-02,0.152555,1.372997,4.09406964e-02,4.09406964e-02,4.09406964e-02,3.90633159e-03,3.90633159e-03,3.90633159e-03,1.22822089e-01,0.031805,0.286243,2.19493537e-01,4.58514975e-01,7.99804688e+00,504
32,cube,27,1,1088,1.025570e-01,1,1.07978084e-02,1.07978084e-02,1.07978084e-02,4.07157045e-03,4.07157045e-03,4.07157045e-03,3.23934252e-02,0.125691,1.131221,5.71447321e-02,5.71447321e-02,5.71447321e-02,2.63447519e-03,2.63447519e-03,2.63447519e-03,1.71434196e-01,0.015367,0.138305,3.17268165e-01,2.23682528e+00,2.69777527e+01,702
32,cube,64,1,1280,1.542542e-01,1,8.93304194e-03,8.93304194e-03,8.93304194e-03,2.61239605e-03,2.61239605e-03,2.61239605e-03,2.67991258e-02,0.097481,0.877326,7.53471755e-02,7.53471755e-02,7.53471755e-02,2.57253340e-03,2.57253340e-03,2.57253340e-03,2.26041527e-01,0.011381,0.102427,4.44200039e-01,7.42335734e+00,6.38750000e+01,936
32,rod,8,1,1280,4.127999e-02,1,8.96461102e-04,3.87041162e-03,3.87041162e-03,5.54714643e-04,5.54714643e-04,1.11350496e-03,8.63728434e-03,0.128918,1.520699,9.85630954e-03,4.41270926e-02,4.41270926e-02,2.22505244e-03,2.22505244e-03,1.47791082e-02,9.81104948e-02,0.150637,1.512131,1.41462132e-01,2.95509867e-01,7.99804688e+00,678
32,rod,27,1,1344,4.187221e-02,1,3.32438133e-04,2.61456936e-03,2.61456936e-03,1.62235444e-04,1.62235444e-04,3.32711963e-04,5.56157686e-03,0.059823,1.432040,2.35699525e-03,4.83973672e-02,4.83973672e-02,6.35271313e-04,6.35271313e-04,1.45538102e-02,9.91517297e-02,0.146783,1.834183,1.40719498e-01,9.92110031e-01,2.69777527e+01,1541
32,rod,64,1,1408,1.009493e-01,1,1.55773012e-03,1.44364049e-02,1.44364049e-02,8.60805132e-04,8.60805132e-04,8.29264174e-03,3.04305399e-02,0.272511,2.100934,1.19925765e-02,7.77322014e-02,7.77322014e-02,7.90344205e-04,7.90344205e-04,4.40223843e-03,1.67456979e-01,0.026289,1.257233,3.17190764e-01,5.30081085e+00,6.38750000e+01,1344
32,lshape,8,1,1216,6.262567e-02,1,3.78772192e-03,3.57595731e-03,4.90811950e-03,1.03545924e-03,1.79457016e-03,1.78129013e-03,1.22717987e-02,0.146235,1.240637,3.16094134e-02,2.62012810e-02,4.72434665e-02,7.55772681e-03,9.50359093e-03,7.68791178e-03,1.05054161e-01,0.090464,0.985290,1.54071589e-01,3.21850619e-01,7.99804688e+00,678
32,lshape,27,1,1344,6.949546e-02,1,1.97665830e-03,1.97665830e-03,2.82787042e-03,1.80925966e-04,4.99062161e-04,4.99062161e-04,6.78118701e-03,0.073595,0.691305,2.53661391e-02,2.53661391e-02,5.04704571e-02,4.18607985e-03,7.72336190e-03,7.72336190e-03,1.01202735e-01,0.076316,1.006511,1.49393078e-01,1.05326109e+00,2.69777527e+01,1590
32,lshape,64,1,1088,1.533532e-01,1,9.33804244e-03,7.88874990e-03,1.44974456e-02,1.03753932e-03,5.02022938e-03,4.01289529e-03,3.17242379e-02,0.158246,1.301837,5.26210912e-02,3.98890818e-02,8.39724740e-02,1.18445990e-02,3.34585709e-03,2.67556303e-03,1.76482647e-01,0.067115,0.882210,3.35251398e-01,5.60263554e+00,6.38750000e+01,1344
48,cube,8,1,1024,4.868146e-02,1,1.62414277e-02,1.62414277e-02,1.62414277e-02,7.43964628e-03,7.43964628e-03,7.43964628e-03,4.87242830e-02,0.152689,1.374198,4.11091852e-02,4.11091852e-02,4.11091852e-02,3.90660930e-03,3.90660930e-03,3.90660930e-03,1.23327556e-01,0.031677,0.285090,2.20129465e-01,4.59843409e-01,7.99942130e+00,504
48,cube,27,1,1088,1.025543e-01,1,1.07767248e-02,1.07767248e-02,1.07767248e-02,4.07147149e-03,4.07147149e-03,4.07147149e-03,3.23301743e-02,0.125934,1.133407,5.76957373e-02,5.76957373e-02,5.76957373e-02,2.63546842e-03,2.63546842e-03,2.63546842e-03,1.73087212e-01,0.015226,0.137036,3.19432999e-01,2.25208793e+00,2.69934082e+01,702
48,cube,64,1,1216,1.542502e-01,1,8.95118893e-03,8.95118893e-03,8.95118893e-03,2.61212264e-03,2.61212264e-03,2.61212264e-03,2.68535668e-02,0.097273,0.875456,7.65814868e-02,7.65814868e-02,7.65814868e-02,2.57494297e-03,2.57494297e-03,2.57494297e-03,2.29744460e-01,0.011208,0.100871,4.49400474e-01,7.51026568e+00,6.39629630e+01,936
48,rod,8,1,1280,4.127919e-02,1,8.94396718e-04,3.85921622e-03,3.85921622e-03,5.54785838e-04,5.54785838e-04,1.11342369e-03,8.61282916e-03,0.129275,1.522047,9.94533810e-03,4.43046999e-02,4.43046999e-02,2.22509795e-03,2.22509795e-03,1.47795141e-02,9.85547380e-02,0.149962,1.508002,1.42111372e-01,2.96866109e-01,7.99942130e+00,678
48,rod,27,1,1344,4.193250e-02,1,2.91495017e-04,2.60425357e-03,2.60425357e-03,1.66399471e-04,1.66399471e-04,3.27653630e-04,5.50000216e-03,0.059573,1.462925,2.80438072e-03,4.84452404e-02,4.84452404e-02,6.57441526e-04,6.57441526e-04,1.45674285e-02,9.96948615e-02,0.146120,1.812641,1.44728462e-01,1.02037430e+00,2.69934082e+01,1590
48,rod,64,1,1216,1.009508e-01,1,1.56775730e-03,1.43891162e-02,1.43891162e-02,8.60901877e-04,8.60901877e-04,8.29217925e-03,3.03459897e-02,0.273255,2.101117,1.26869480e-02,7.89382198e-02,7.89382198e-02,7.93876026e-04,7.93876026e-04,4.40553747e-03,1.70563388e-01,0.025829,1.243394,3.22103188e-01,5.38290602e+00,6.39629630e+01,1344
48,lshape,8,1,1280,6.262477e-02,1,3.77972155e-03,3.56928330e-03,4.89693092e-03,1.03422036e-03,1.79461620e-03,1.78138413e-03,1.22459358e-02,0.146548,1.243206,3.17549122e-02,2.63322880e-02,4.74325619e-02,7.57671014e-03,9.50282711e-03,7.68715118e-03,1.05519762e-01,0.090057,0.982666,1.54713931e-01,3.23192450e-01,7.99942130e+00,678
48,lshape,27,1,1280,6.949914e-02,1,1.95674754e-03,1.95674754e-03,2.80613115e-03,1.77773827e-04,5.00248478e-04,5.00248478e-04,6.71962624e-03,0.074446,0.699245,2.57773222e-02,2.57773222e-02,5.09218471e-02,4.35154501e-03,7.72089233e-03,7.72089233e-03,1.02476492e-01,0.075343,1.000515,1.51537873e-01,1.06838247e+00,2.69934082e+01,1590
48,lshape,64,1,1088,1.533549e-01,1,9.31441638e-03,7.86547580e-03,1.44485825e-02,1.04997022e-03,5.02064613e-03,4.01362583e-03,3.16284747e-02,0.158738,1.304640,5.36965308e-02,4.08917474e-02,8.54100322e-02,1.20832752e-02,3.34311021e-03,2.67271953e-03,1.79998310e-01,0.067130,0.875312,3.40582564e-01,5.69172862e+00,6.39629630e+01,1344
# GATE_E4_DETERMINISM,PASS
