cluster_radius,seed,N_particles,mass,r_h,peak_latency,A_assumed_4pi,A_actual_iso,A_ratio_iso,r_h_face,r_h_edge,r_h_corner,anisotropy,kappa_horizon,T_M_product
2,0,33,16.863,9,0.338145,1017.88,1538,18.9877,9,9,9,0,0.0103694,0.174859
2,1,33,16.863,9,0.338145,1017.88,1538,18.9877,9,9,9,0,0.0103694,0.174859
2,2,33,16.863,9,0.338145,1017.88,1538,18.9877,9,9,9,0,0.0103694,0.174859
2,3,33,16.863,9,0.338145,1017.88,1538,18.9877,9,9,9,0,0.0103694,0.174859
2,4,33,16.863,9,0.338145,1017.88,1538,18.9877,9,9,9,0,0.0103694,0.174859
3,0,123,62.853,12,0.521397,1809.56,2522,17.5139,12,12,12,0,0.0139462,0.876561
3,1,123,62.853,12,0.521397,1809.56,2522,17.5139,12,12,12,0,0.0139462,0.876561
3,2,123,62.853,12,0.521397,1809.56,2522,17.5139,12,12,12,0,0.0139462,0.876561
3,3,123,62.853,12,0.521397,1809.56,2522,17.5139,12,12,12,0,0.0139462,0.876561
3,4,123,62.853,12,0.521397,1809.56,2522,17.5139,12,12,12,0,0.0139462,0.876561
4,0,257,131.327,13,0.660648,2123.72,3242,19.1834,13,13,12,0.08,0.0183964,2.41595
4,1,257,131.327,13,0.660648,2123.72,3242,19.1834,13,13,12,0.08,0.0183964,2.41595
4,2,257,131.327,13,0.660648,2123.72,3242,19.1834,13,13,12,0.08,0.0183964,2.41595
4,3,257,131.327,13,0.660648,2123.72,3242,19.1834,13,13,12,0.08,0.0183964,2.41595
4,4,257,131.327,13,0.660648,2123.72,3242,19.1834,13,13,12,0.08,0.0183964,2.41595
5,0,515,263.165,15,0.81976,2827.43,4130,18.3556,15,14,14,0.0689655,0.0223401,5.87912
5,1,515,263.165,15,0.81976,2827.43,4130,18.3556,15,14,14,0.0689655,0.0223401,5.87912
5,2,515,263.165,15,0.81976,2827.43,4130,18.3556,15,14,14,0.0689655,0.02234,5.87912
5,3,515,263.165,15,0.81976,2827.43,4130,18.3556,15,14,14,0.0689655,0.0223401,5.87912
5,4,515,263.165,15,0.81976,2827.43,4130,18.3556,15,14,14,0.0689655,0.02234,5.87912
