target_name,target_value,polynomial_value,polynomial_string,residual,degree,coefficient
alpha_inv,1.370359990840000e+02,1.370980688021048e+02,"+3 * 3 * 27 * 1/pi * sqrt(pi)",4.529446168865356e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+3 * 4 * 10 * 10 * 1/Gstar^2",3.500921630794652e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+3 * 5 * 5 * 16 * 1/Gstar^2",3.500921630794652e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+3 * 5 * 8 * 10 * 1/Gstar^2",3.500921630794652e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+2 * 5 * 10 * 12 * 1/Gstar^2",3.500921630796726e-04,4,+2
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+2 * 6 * 10 * 10 * 1/Gstar^2",3.500921630796726e-04,4,+2
alpha_inv,1.370359990840000e+02,1.370980688021048e+02,"+3 * 9 * 9 * 1/pi * sqrt(pi)",4.529446168865356e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370980688021048e+02,"+1 * 9 * 27 * 1/pi * sqrt(pi)",4.529446168865356e-04,4,+1
alpha_inv,1.370359990840000e+02,1.370839743133391e+02,"+1 * 10 * 10 * 12 * 1/Gstar^2",3.500921630796726e-04,4,+1
alpha_inv,1.370359990840000e+02,1.369869528230809e+02,"+2 * 13 * 27 * 1/Gstar * 1/sqrt(3)",3.579078581318506e-04,4,+2
alpha_inv,1.370359990840000e+02,1.370210165515224e+02,"+3 * 13 * 55 * Gstar^2 * alpha",1.093328218698155e-04,4,+3
alpha_inv,1.370359990840000e+02,1.370176657968148e+02,"+2 * 16 * Gstar * sqrt(2pi) * 1/sqrt(3)",1.337844603444423e-04,4,+2
alpha_inv,1.370359990840000e+02,1.371422158875259e+02,"+1 * 47 * Gstar^2 * 1/sqrt(3) * 1/sqrt(3)",7.751014641109162e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+2 * 4 * Gstar^2 * alpha",6.877445561255920e-05,3,+2
m_e_in_MeV,5.109989506900000e-01,5.108146798498661e-01,"+2 * 5 * 7 * alpha",3.606090382086471e-04,3,+2
m_e_in_MeV,5.109989506900000e-01,5.108146798498661e-01,"+1 * 7 * 10 * alpha",3.606090382086471e-04,3,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+1 * 8 * Gstar^2 * alpha",6.877445561255920e-05,3,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+2 * 1 * 4 * Gstar^2 * alpha",6.877445561255920e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.108146798498661e-01,"+2 * 1 * 5 * 7 * alpha",3.606090382086471e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.108146798498661e-01,"+1 * 1 * 7 * 10 * alpha",3.606090382086471e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+1 * 1 * 8 * Gstar^2 * alpha",6.877445561255920e-05,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+2 * 2 * 2 * Gstar^2 * alpha",6.877445561255920e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+1 * 2 * 4 * Gstar^2 * alpha",6.877445561255920e-05,4,+1
m_e_in_MeV,5.109989506900000e-01,5.108146798498661e-01,"+1 * 2 * 5 * 7 * alpha",3.606090382086471e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.105739871419106e-01,"+2 * 2 * 17 * 141 * alpha^2",8.316329172801253e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.110202824697783e-01,"+2 * 2 * 55 * alpha * 1/pi",4.174525162811209e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.106225647145985e-01,"+2 * 2 * alpha * pi^2 * sqrt(pi)",7.365689790423802e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.105739871419106e-01,"+3 * 4 * 17 * 47 * alpha^2",8.316329172801253e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.105739871419106e-01,"+1 * 4 * 17 * 141 * alpha^2",8.316329172801253e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110202824697783e-01,"+1 * 4 * 55 * alpha * 1/pi",4.174525162811209e-05,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+2 * 4 * Gstar * Gstar * alpha",6.877445561255920e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.110340943646522e-01,"+2 * 4 * Gstar^3 * 1/Gstar * alpha",6.877445561234194e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.106225647145985e-01,"+1 * 4 * alpha * pi^2 * sqrt(pi)",7.365689790423802e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.112130033961558e-01,"+3 * 5 * 10 * 64 * alpha^2",4.188906960900527e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.105739871419106e-01,"+2 * 6 * 17 * 47 * alpha^2",8.316329172801253e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.111955800442702e-01,"+3 * 7 * 1/Gstar * alpha * pi^2",3.847940470420146e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.110340943646523e-01,"+1 * 8 * Gstar * Gstar * alpha",6.877445561255920e-05,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110340943646522e-01,"+1 * 8 * Gstar^3 * 1/Gstar * alpha",6.877445561234194e-05,4,+1
m_e_in_MeV,5.109989506900000e-01,5.110202824697783e-01,"+2 * 10 * 11 * alpha * 1/pi",4.174525162811209e-05,4,+2
m_e_in_MeV,5.109989506900000e-01,5.114013359762954e-01,"+3 * 11 * 1/Gstar * alpha * 2pi",7.874483611993675e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.105739871419106e-01,"+1 * 12 * 17 * 47 * alpha^2",8.316329172801253e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.108538484565468e-01,"+3 * 12 * 27 * alpha^2 * pi^2",2.839579871099114e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.114403135124552e-01,"+3 * 27 * alpha * 1/pi * e",8.637254966164708e-04,4,+3
m_e_in_MeV,5.109989506900000e-01,5.112609701803559e-01,"+1 * 55 * 59 * Gstar * alpha^2",5.127593510751153e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.112747885805555e-01,"+2 * 59 * Gstar^3 * alpha^2 * pi",5.398012856642001e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.112747885805555e-01,"+1 * 59 * Gstar^3 * alpha^2 * 2pi",5.398012856642001e-04,4,+1
m_e_in_MeV,5.109989506900000e-01,5.106225647145985e-01,"+2 * alpha * pi * 2pi * sqrt(pi)",7.365689790423802e-04,4,+2
m_e_in_MeV,5.109989506900000e-01,5.106225647145985e-01,"+1 * alpha * 2pi * 2pi * sqrt(pi)",7.365689790423802e-04,4,+1
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 2 * 17 * 27",8.314854870692768e-05,3,+2
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 3 * 12 * 17",8.314854870692768e-05,3,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 4 * 9 * 17",8.314854870692768e-05,3,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 4 * 17 * 27",8.314854870692768e-05,3,+1
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 6 * 6 * 17",8.314854870692768e-05,3,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 6 * 9 * 17",8.314854870692768e-05,3,+2
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 9 * 12 * 17",8.314854870692768e-05,3,+1
m_p_over_m_e,1.836152673430000e+03,1.837548238954464e+03,"+3 * 55 * 2pi * sqrt(pi)",7.600487392241716e-04,3,+3
m_p_over_m_e,1.836152673430000e+03,1.836118108711688e+03,"+3 * pi^2 * pi^2 * 2pi",1.882453393546906e-05,3,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 1 * 2 * 17 * 27",8.314854870692768e-05,4,+2
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 1 * 3 * 12 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 1 * 4 * 9 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 1 * 4 * 17 * 27",8.314854870692768e-05,4,+1
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 1 * 6 * 6 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 1 * 6 * 9 * 17",8.314854870692768e-05,4,+2
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 1 * 9 * 12 * 17",8.314854870692768e-05,4,+1
m_p_over_m_e,1.836152673430000e+03,1.837548238954464e+03,"+3 * 1 * 55 * 2pi * sqrt(pi)",7.600487392241716e-04,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836118108711688e+03,"+3 * 1 * pi^2 * pi^2 * 2pi",1.882453393546906e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 2 * 2 * 9 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 2 * 2 * 17 * 27",8.314854870692768e-05,4,+1
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 2 * 3 * 6 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 2 * 3 * 9 * 17",8.314854870692768e-05,4,+2
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+1 * 2 * 6 * 9 * 17",8.314854870692768e-05,4,+1
m_p_over_m_e,1.836152673430000e+03,1.836228680069351e+03,"+2 * 2 * 10 * Gstar^3 * sqrt(pi)",4.139450953657608e-05,4,+2
m_p_over_m_e,1.836152673430000e+03,1.837558516038315e+03,"+2 * 2 * 13 * 13 * e",7.656458140206554e-04,4,+2
m_p_over_m_e,1.836152673430000e+03,1.837548238954464e+03,"+3 * 2 * 55 * pi * sqrt(pi)",7.600487392241716e-04,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836118108711688e+03,"+3 * 2 * pi * pi^2 * pi^2",1.882453393546906e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+3 * 3 * 3 * 4 * 17",8.314854870692768e-05,4,+3
m_p_over_m_e,1.836152673430000e+03,1.836000000000000e+03,"+2 * 3 * 3 * 6 * 17",8.314854870692768e-05,4,+2
