snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.0687257,0.000233796,0.00730634,-0.000103365,0.00528701,0.000244141,1.03406,0.000966215,0.0406604,-0.000250029,1.12061,0.00195312
1,0.074155,0.000234365,0.00737078,-0.000105049,0.00605222,0.000244141,1.11774,0.0010531,0.0367816,-0.000373406,1.29018,0.00195312
2,0.0806871,0.000228547,0.00704341,-0.000105642,0.00712308,0.000244141,1.22527,0.00106962,0.0356437,-0.000334572,1.55021,0.00195312
3,0.0863568,0.000247602,0.00725124,-0.00011251,0.00816268,0.000244141,1.31574,0.00112079,0.0405679,-0.000330637,1.78981,0.00195312
4,0.0918958,0.000231726,0.00716476,-9.95015e-05,0.00914067,0.000244141,1.40235,0.0010184,0.0336754,-0.000167249,2.01623,0.00195312
5,0.0966509,0.000231971,0.00737574,-9.35298e-05,0.0101041,0.000244141,1.47877,0.00105685,0.0396709,-0.000224057,2.24601,0.00195312
6,0.0998417,0.00023705,0.0070562,-0.000113166,0.0108084,0.000244141,1.53214,0.00101783,0.0386983,-0.000372429,2.42238,0.00195312
7,0.104222,0.000232372,0.00712355,-0.000110365,0.0116652,0.000244141,1.60217,0.00107402,0.0382224,-0.000475742,2.63121,0.00195312
8,0.107923,0.000230726,0.00720945,-0.000109618,0.0125598,0.000244141,1.65939,0.000984002,0.0393276,-0.000421035,2.83416,0.00195312
9,0.111538,0.000238522,0.0073679,-0.000110744,0.0133853,0.000244141,1.71659,0.00105426,0.0399035,-0.000421837,3.02919,0.00195312
10,0.116251,0.000235652,0.00723346,-0.000109839,0.0144536,0.000244141,1.79162,0.00107195,0.035318,-0.000397095,3.28374,0.00195312
11,0.122672,0.000243207,0.00746479,-0.000115804,0.0161625,0.000244141,1.89413,0.00100254,0.0410233,-0.0004075,3.69452,0.00195312
12,0.127122,0.000229039,0.00723146,-0.000112653,0.0172073,0.000244141,1.96709,0.000960045,0.0372011,-0.00031917,3.94844,0.00195312
13,0.13133,0.000233976,0.0072593,-0.000110906,0.0183625,0.000244141,2.03415,0.00109893,0.0375783,-0.00035414,4.23393,0.00195312
14,0.136151,0.000234009,0.00719843,-0.000110039,0.019753,0.000244141,2.11074,0.00100469,0.0383427,-0.000330229,4.56213,0.00195312
15,0.138963,0.000232843,0.00729169,-0.000111063,0.0204507,0.000244141,2.15475,0.000990084,0.0362141,-0.000343695,4.72693,0.00195312
16,0.141162,0.000231423,0.00704511,-0.000108879,0.0211303,0.000244141,2.19157,0.00102756,0.0359308,-0.000229102,4.90136,0.00195312
17,0.145633,0.000230141,0.00735287,-0.000111345,0.0224155,0.000244141,2.26188,0.000994432,0.0381711,-0.000226887,5.20863,0.00195312
18,0.147537,0.00022998,0.00722538,-0.000105204,0.0229291,0.000244141,2.29334,0.000857256,0.0351735,-0.000404757,5.34706,0.00195312
19,0.149454,0.00022926,0.00732871,-0.000103679,0.0236474,0.000244141,2.32245,0.000906701,0.0399882,-0.000277787,5.4983,0.00195312
20,0.0269665,0.000223432,0.00775426,-0.000109904,0.000942502,0.000244141,0.360709,0.00106105,0.0416552,-0.000408281,0.146886,0.00195312
