snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.0053961,0.000231036,0.0057652,-9.94733e-05,4.83674e-05,0.000244141,0.0333186,0.00109812,0.0312986,-0.000310131,0.00185194,0.00195312
1,0.00511575,0.000237083,0.00575861,-0.000105118,4.39408e-05,0.000244141,0.0282516,0.00109868,0.0266873,-0.00035956,0.00131944,0.00195312
2,0.00541249,0.0002358,0.00601912,-0.000105743,4.84124e-05,0.000244141,0.0310322,0.00100255,0.0290454,-0.000277242,0.00152558,0.00195312
3,0.00578858,0.000233132,0.00626662,-0.000109579,5.5542e-05,0.000244141,0.0329976,0.00102443,0.0281092,-0.000414405,0.0017116,0.00195312
4,0.005909,0.000232629,0.00624566,-0.000109057,6.11007e-05,0.000244141,0.0344753,0.000907116,0.0282847,-0.000348936,0.00209479,0.00195312
5,0.00643905,0.000227471,0.006414,-0.000106027,6.98115e-05,0.000244141,0.0431162,0.000995994,0.032639,-0.000361363,0.00312218,0.00195312
6,0.00684029,0.000230979,0.00639118,-0.00011167,7.7729e-05,0.000244141,0.0496544,0.000944733,0.0324682,-0.000399999,0.00383899,0.00195312
7,0.00745503,0.000233088,0.00654569,-0.000106686,9.01518e-05,0.000244141,0.0579443,0.00101413,0.034093,-0.000230058,0.00497729,0.00195312
8,0.00791009,0.000229433,0.00676231,-0.000103813,0.000100017,0.000244141,0.063658,0.00104904,0.0352585,-0.00046798,0.00620832,0.00195312
9,0.00887695,0.000228297,0.00673729,-0.000106414,0.000126277,0.000244141,0.0789151,0.00100814,0.0367348,-0.000383084,0.00922855,0.00195312
10,0.0102677,0.000234649,0.00689859,-0.000110118,0.000162527,0.000244141,0.100698,0.0010101,0.0354215,-0.000320393,0.0138406,0.00195312
11,0.0120014,0.000226465,0.00671395,-0.00010549,0.00021133,0.000244141,0.130357,0.000958461,0.0394918,-0.000275912,0.0220316,0.00195312
