snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.0688374,0.000231129,0.00726631,-0.000101417,0.00529879,0,1.03623,0.000799637,0.0406477,-0.00015547,1.12453,0
1,0.0742784,0.000231479,0.00733816,-0.000102572,0.00607095,0,1.12007,0.000922725,0.0367468,-0.000252815,1.29579,0
2,0.0808336,0.000225333,0.00702591,-0.000103125,0.00714666,0,1.22783,0.00092776,0.0357058,-0.00023904,1.55645,0
3,0.0865048,0.000244784,0.00723316,-0.000109377,0.00818615,0,1.3183,0.000966683,0.0405935,-0.000198896,1.79601,0
4,0.0920527,0.00022918,0.00714584,-9.73051e-05,0.00917016,0,1.40498,0.000858855,0.0335916,-7.07941e-05,2.0237,0
5,0.0968155,0.00022912,0.00735144,-9.08614e-05,0.0101347,0,1.48168,0.000915399,0.0397119,-0.000111526,2.2544,0
6,0.100022,0.00023412,0.00704351,-0.000110714,0.0108415,0,1.5352,0.00089316,0.0387008,-0.000303735,2.43104,0
7,0.104415,0.000229082,0.00710298,-0.000107814,0.0117034,0,1.60543,0.000917354,0.0382235,-0.000364702,2.64118,0
8,0.108134,0.000227427,0.00719388,-0.000106801,0.0126067,0,1.66287,0.000799359,0.0392388,-0.000288569,2.8462,0
9,0.111751,0.000235645,0.00734008,-0.000108671,0.0134351,0,1.72027,0.000926308,0.0398219,-0.000339752,3.04229,0
10,0.116483,0.000232783,0.00721113,-0.000107396,0.0145038,0,1.79552,0.000899083,0.035252,-0.000266928,3.29687,0
11,0.122926,0.000240391,0.00744675,-0.000113422,0.0162199,0,1.89822,0.000840094,0.0408324,-0.000308701,3.70852,0
12,0.127381,0.000226508,0.00721154,-0.000110121,0.0172692,0,1.97145,0.000836582,0.037175,-0.000208596,3.96478,0
13,0.131603,0.000231426,0.00723881,-0.000108719,0.018437,0,2.03865,0.00095368,0.0374711,-0.000256486,4.2526,0
14,0.136437,0.00023129,0.00718277,-0.000107691,0.0198332,0,2.1155,0.000894677,0.0384098,-0.000221319,4.58295,0
15,0.139256,0.000230181,0.00727688,-0.000108717,0.0205341,0,2.15953,0.000892204,0.0360749,-0.00026267,4.74796,0
16,0.141466,0.000228881,0.00703334,-0.000106528,0.0212128,0,2.19649,0.000923798,0.0359069,-0.00013341,4.92207,0
17,0.145952,0.00022766,0.00734648,-0.000109301,0.0225062,0,2.26696,0.000841795,0.0380393,-0.000130962,5.23044,0
18,0.147867,0.000227369,0.00722402,-0.00010251,0.0230264,0,2.2987,0.000743939,0.0352121,-0.000318909,5.37151,0
19,0.149787,0.000226501,0.00732544,-0.000101227,0.0237498,0,2.32784,0.000797465,0.0399518,-0.000211556,5.52388,0
20,0.0271346,0.000220978,0.00773515,-0.000107265,0.000952792,0,0.36359,0.000909895,0.0417465,-0.000305722,0.149047,0
21,0.0268199,0.000224209,0.00739439,-0.000103737,0.000926675,0,0.361078,0.00086798,0.0380431,-0.000229907,0.145781,0
22,0.0269222,0.000228775,0.00756838,-0.000109483,0.000924023,0,0.361334,0.00085341,0.0428947,-0.000259904,0.144344,0
23,0.026054,0.00022874,0.00720035,-0.00010968,0.00086543,0,0.349305,0.000944711,0.0353495,-0.000355723,0.135681,0
24,0.0263867,0.000239901,0.00755058,-0.000110969,0.000892915,0,0.354889,0.000865621,0.0425512,-0.000232527,0.141081,0
25,0.0265189,0.00022926,0.00743371,-0.000105844,0.000898741,0,0.355377,0.000914429,0.0361897,-0.000200476,0.14135,0
26,0.0272918,0.000232337,0.00755616,-0.000102213,0.000946231,0,0.367273,0.000904145,0.038866,-0.00023363,0.14805,0
27,0.0273411,0.000235052,0.00764613,-0.000110664,0.000954747,0,0.366827,0.00087746,0.0404131,-0.00024147,0.151379,0
28,0.0264973,0.000242923,0.00740619,-0.000121076,0.000894342,0,0.35486,0.000959326,0.0388677,-0.000386529,0.141023,0
29,0.0251964,0.000233456,0.00727306,-0.000115538,0.000803181,0,0.335378,0.000840725,0.0346604,-0.000228715,0.12482,0
30,0.0254262,0.000227642,0.00742085,-0.000110517,0.000834148,0,0.339108,0.000828596,0.0398655,-0.000198685,0.13041,0
31,0.0253815,0.000220688,0.00753878,-0.000107444,0.000837544,0,0.337188,0.000853618,0.0365558,-0.00031472,0.128749,0
32,0.0245595,0.000226205,0.00730181,-0.00010876,0.000759864,0,0.325878,0.000928211,0.0367435,-0.000314343,0.11801,0
33,0.0239702,0.000232657,0.0072615,-0.000111299,0.000748945,0,0.317029,0.000815187,0.0355831,-0.000320456,0.113382,0
34,0.0237816,0.000223576,0.00740332,-0.000102272,0.000736649,0,0.312672,0.00085124,0.0398527,-0.000203599,0.110536,0
35,0.0243841,0.000237036,0.00740817,-0.000112317,0.000769624,0,0.321034,0.00087941,0.0361375,-0.000328187,0.114791,0
36,0.025798,0.00023432,0.0075585,-0.000118304,0.00086047,0,0.343856,0.000820696,0.0413531,-0.000223502,0.132846,0
37,0.0263061,0.000224131,0.0073852,-0.00010412,0.000880467,0,0.351446,0.000762202,0.0367948,-0.000218527,0.138491,0
38,0.0269454,0.000232104,0.00766579,-0.000106489,0.000940828,0,0.361136,0.000821624,0.0419827,-8.51569e-05,0.148654,0
39,0.0274756,0.0002318,0.00741092,-0.000109652,0.00095459,0,0.371741,0.000859699,0.0364343,-0.000279761,0.153751,0
