snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.0137352,4.87733e-05,0.00148861,-2.24051e-05,0.000211548,0.000244141,0.206371,0.000306282,0.00816937,-0.000125287,0.0446825,0.00195312
1,0.0148175,4.89109e-05,0.00149738,-2.28483e-05,0.000241822,0.000244141,0.223077,0.000313648,0.0073947,-0.000156137,0.0513879,0.00195312
2,0.0161174,4.78078e-05,0.0014266,-2.29627e-05,0.000284463,0.000244141,0.244522,0.000320366,0.00712623,-0.000141696,0.0617632,0.00195312
3,0.017251,5.15884e-05,0.00146825,-2.45357e-05,0.000326106,0.000244141,0.26262,0.00033364,0.00812965,-0.000150077,0.0713603,0.00195312
4,0.018357,4.83572e-05,0.00145075,-2.16778e-05,0.000364976,0.000244141,0.279947,0.000314866,0.00678674,-0.000108758,0.0803697,0.00195312
5,0.0193073,4.84382e-05,0.00149235,-2.05814e-05,0.000403544,0.000244141,0.29519,0.000317836,0.00793504,-0.000124089,0.0895302,0.00195312
6,0.0199423,4.94722e-05,0.00142364,-2.44572e-05,0.000431673,0.000244141,0.305856,0.000305519,0.00775419,-0.000142676,0.0966053,0.00195312
7,0.0208157,4.86108e-05,0.00143803,-2.39346e-05,0.000465733,0.000244141,0.319839,0.000324338,0.00765454,-0.000173701,0.104914,0.00195312
8,0.0215525,4.82825e-05,0.00145336,-2.38427e-05,0.000501116,0.000244141,0.331251,0.00031337,0.00790487,-0.000167757,0.112946,0.00195312
9,0.0222753,4.97299e-05,0.00148836,-2.39022e-05,0.00053404,0.000244141,0.342634,0.000314013,0.00801129,-0.000156439,0.120693,0.00195312
10,0.0232121,4.91484e-05,0.00145962,-2.38039e-05,0.000576754,0.000244141,0.357586,0.000327893,0.00709413,-0.000162378,0.130882,0.00195312
11,0.0244914,5.07021e-05,0.00150324,-2.4947e-05,0.000644859,0.000244141,0.37806,0.000312149,0.00825846,-0.000157083,0.1473,0.00195312
12,0.0253792,4.77913e-05,0.00145614,-2.44159e-05,0.00068642,0.000244141,0.392579,0.00029381,0.00745463,-0.000142274,0.157344,0.00195312
13,0.0262167,4.87349e-05,0.00146182,-2.39438e-05,0.000731971,0.000244141,0.405949,0.000327103,0.00754734,-0.000145861,0.168645,0.00195312
14,0.0271775,4.87633e-05,0.00144877,-2.37772e-05,0.000787324,0.000244141,0.421198,0.000299657,0.00766379,-0.000144304,0.181672,0.00195312
15,0.0277375,4.85262e-05,0.00146621,-2.39775e-05,0.000815099,0.000244141,0.429994,0.000292995,0.00728699,-0.000139317,0.188262,0.00195312
16,0.0281746,4.82783e-05,0.00141529,-2.36086e-05,0.000842336,0.000244141,0.437328,0.000302589,0.00719838,-0.000120578,0.195268,0.00195312
17,0.0290661,4.80018e-05,0.00147507,-2.40261e-05,0.0008934,0.000244141,0.451374,0.000307908,0.0076785,-0.000119876,0.207527,0.00195312
18,0.0294448,4.79863e-05,0.00144777,-2.29256e-05,0.00091369,0.000244141,0.457614,0.000270579,0.00702159,-0.000153369,0.212951,0.00195312
19,0.0298286,4.78561e-05,0.00146886,-2.25416e-05,0.000942221,0.000244141,0.463448,0.000279478,0.0080112,-0.000123393,0.218965,0.00195312
20,0.00536078,4.66467e-05,0.00157378,-2.38787e-05,3.74574e-05,0.000244141,0.0713809,0.000321101,0.00833932,-0.000157723,0.00577046,0.00195312
21,0.00529326,4.7418e-05,0.00150144,-2.30941e-05,3.64006e-05,0.000244141,0.070884,0.000308636,0.00763821,-0.000136866,0.00564839,0.00195312
22,0.00531355,4.82176e-05,0.00153688,-2.41277e-05,3.60896e-05,0.000244141,0.0709444,0.000301071,0.00861818,-0.000144206,0.00556348,0.00195312
23,0.00513719,4.82148e-05,0.00145639,-2.4239e-05,3.381e-05,0.000244141,0.0685143,0.000325741,0.00709504,-0.000160737,0.00522772,0.00195312
24,0.00520629,5.06379e-05,0.00152856,-2.47199e-05,3.51192e-05,0.000244141,0.0696125,0.000305583,0.00851131,-0.000140075,0.00545158,0.00195312
25,0.00522702,4.83701e-05,0.00150256,-2.33994e-05,3.52335e-05,0.000244141,0.0696664,0.000298828,0.00723905,-0.000116452,0.00545934,0.00195312
26,0.005376,4.90456e-05,0.0015229,-2.28429e-05,3.68329e-05,0.000244141,0.0720162,0.000292478,0.0077763,-0.00012192,0.00569196,0.00195312
27,0.00538788,4.94839e-05,0.0015405,-2.42974e-05,3.73272e-05,0.000244141,0.0719394,0.000295706,0.00812241,-0.000135241,0.00584432,0.00195312
28,0.00521999,5.10901e-05,0.00149333,-2.65651e-05,3.50006e-05,0.000244141,0.0695528,0.000321081,0.00781229,-0.000159206,0.00545135,0.00195312
29,0.00496291,4.92551e-05,0.00146857,-2.54326e-05,3.14122e-05,0.000244141,0.0657057,0.000302744,0.00696142,-0.000142372,0.00480558,0.00195312
30,0.00500502,4.81019e-05,0.00149384,-2.43757e-05,3.25206e-05,0.000244141,0.066398,0.000301085,0.00794688,-0.000127992,0.00501444,0.00195312
31,0.00499197,4.67368e-05,0.00151262,-2.37989e-05,3.25147e-05,0.000244141,0.0660222,0.000302555,0.00731801,-0.00015931,0.00495407,0.00195312
32,0.00483002,4.78294e-05,0.00146803,-2.40071e-05,2.95622e-05,0.000244141,0.0637835,0.000310132,0.00735753,-0.000152532,0.00454723,0.00195312
33,0.00471127,4.90747e-05,0.00145794,-2.46359e-05,2.9061e-05,0.000244141,0.0620229,0.000290757,0.00715746,-0.000157396,0.00435621,0.00195312
34,0.00467553,4.71765e-05,0.00148755,-2.25734e-05,2.86234e-05,0.000244141,0.061173,0.000289358,0.00800099,-0.000122909,0.00424184,0.00195312
35,0.00479518,4.9947e-05,0.00148987,-2.47658e-05,2.99155e-05,0.000244141,0.0627921,0.000295379,0.00722844,-0.000150008,0.00440113,0.00195312
36,0.00507568,4.93322e-05,0.00151983,-2.58023e-05,3.36548e-05,0.000244141,0.0673249,0.000295988,0.00829767,-0.000143161,0.00512881,0.00195312
37,0.00517389,4.721e-05,0.0014806,-2.30276e-05,3.43132e-05,0.000244141,0.0688457,0.00026704,0.00740003,-0.00013274,0.00535663,0.00195312
38,0.0053001,4.88691e-05,0.0015358,-2.35763e-05,3.65686e-05,0.000244141,0.0707367,0.00028804,0.00839943,-0.000106391,0.0057204,0.00195312
39,0.00540441,4.89053e-05,0.00148644,-2.41447e-05,3.7019e-05,0.000244141,0.072823,0.000304968,0.00729065,-0.000145714,0.0058979,0.00195312
