direction,L,n_perp,n_z,k_motion,omega,omega0,v_g,v_norm,omega_proper,dilation_meas,dilation_L2,dilation_L1
100,257,3,0,0.00000000,0.04233602,0.04233602,0.00000000,0.00000000,0.04233602,1.00000000,1.00000000,1.00000000
100,257,3,1,0.02444819,0.04462497,0.04233602,0.17466478,0.30252828,0.04035473,0.95320094,0.95314041,0.69747172
100,257,3,2,0.04889638,0.05087650,0.04233602,0.31155240,0.53962459,0.03564271,0.84190036,0.84190576,0.46037541
100,257,3,3,0.07334458,0.05985876,0.04233602,0.40198129,0.69625201,0.03037561,0.71748859,0.71779742,0.30374799
100,257,3,4,0.09779277,0.07053193,0.04233602,0.45763024,0.79263883,0.02577900,0.60891411,0.60969147,0.20736117
100,257,3,5,0.12224096,0.08223522,0.04233602,0.49184540,0.85190122,0.02211157,0.52228737,0.52370251,0.14809878
100,257,3,6,0.14668915,0.09458139,0.04233602,0.51348476,0.88938169,0.01925875,0.45490212,0.45716541,0.11061831
100,257,3,7,0.17113734,0.10734277,0.04233602,0.52763841,0.91389653,0.01704413,0.40259180,0.40594721,0.08610347
100,257,3,8,0.19558553,0.12038100,0.04233602,0.53716948,0.93040484,0.01531842,0.36182942,0.36653354,0.06959516
100,257,3,9,0.22003373,0.13360841,0.04233602,0.54372359,0.94175688,0.01397089,0.33000002,0.33629449,0.05824312
110,257,3,0,0.00000000,0.04233602,0.04233602,0.00000000,0.00000000,0.04233602,1.00000000,1.00000000,1.00000000
110,257,3,1,0.03457496,0.04680190,0.04233602,0.22903397,0.39669848,0.03888306,0.91843916,0.91794897,0.60330152
110,257,3,2,0.06914993,0.05817370,0.04233602,0.38312942,0.66359963,0.03168033,0.74830677,0.74808792,0.33640037
110,257,3,3,0.10372489,0.07329527,0.04233602,0.46442918,0.80441493,0.02512241,0.59340500,0.59406786,0.19558507
110,257,3,4,0.13829986,0.09028895,0.04233602,0.50565807,0.87582547,0.02035651,0.48083187,0.48262795,0.12417453
110,257,3,5,0.17287482,0.10826149,0.04233602,0.52771719,0.91403299,0.01703248,0.40231643,0.40563986,0.08596701
110,257,3,6,0.20744979,0.12678055,0.04233602,0.54025347,0.93574646,0.01470509,0.34734219,0.35267344,0.06425354
110,257,3,7,0.24202475,0.14561998,0.04233602,0.54766141,0.94857738,0.01307237,0.30877645,0.31654534,0.05142262
110,257,3,8,0.27659972,0.16465130,0.04233602,0.55207342,0.95621922,0.01194795,0.28221711,0.29265134,0.04378078
110,257,3,9,0.31117468,0.18379582,0.04233602,0.55460233,0.96059941,0.01121762,0.26496628,0.27793664,0.03940059
111,257,3,0,0.00000000,0.05985876,0.05985876,0.00000000,0.00000000,0.05985876,1.00000000,1.00000000,1.00000000
111,257,3,1,0.04234551,0.06465002,0.05985876,0.20539924,0.35576192,0.05595228,0.93473841,0.93457662,0.64423808
111,257,3,2,0.08469102,0.07725423,0.05985876,0.35341849,0.61213879,0.04732286,0.79057531,0.79075034,0.38786121
111,257,3,3,0.12703653,0.09458139,0.05985876,0.43959381,0.76139881,0.03873692,0.64713865,0.64828378,0.23860119
111,257,3,4,0.16938204,0.11448388,0.05985876,0.48677572,0.84312028,0.03203281,0.53513994,0.53772501,0.15687972
111,257,3,5,0.21172755,0.13580692,0.05985876,0.51318566,0.88886364,0.02715138,0.45359073,0.45817184,0.11113636
111,257,3,6,0.25407306,0.15794609,0.05985876,0.52853740,0.91545362,0.02365898,0.39524676,0.40242349,0.08454638
111,257,3,7,0.29641857,0.18056929,0.05985876,0.53766538,0.93126375,0.02119529,0.35408835,0.36434575,0.06873625
111,257,3,8,0.33876408,0.20348152,0.05985876,0.54304642,0.94058399,0.01951690,0.32604924,0.33956113,0.05941601
111,257,3,9,0.38110959,0.22656045,0.05985876,0.54601874,0.94573219,0.01846747,0.30851742,0.32494710,0.05426781
