direction,L,n_perp,n_z,k_motion,omega,omega0,v_g,v_norm,omega_proper,dilation_meas,dilation_L2,dilation_L1
100,33,3,0,0.00000000,0.32531674,0.32531674,0.00000000,0.00000000,0.32531674,1.00000000,1.00000000,1.00000000
100,33,3,1,0.19039955,0.34240475,0.32531674,0.16635019,0.28812698,0.31073175,0.95516680,0.95759221,0.71187302
100,33,3,2,0.38079911,0.38866274,0.32531674,0.29289885,0.50731568,0.27712712,0.85186863,0.86176029,0.49268432
100,33,3,3,0.57119866,0.45394037,0.32531674,0.36957928,0.64013008,0.24283718,0.74646384,0.76826654,0.35986992
100,33,3,4,0.76159822,0.52939820,0.32531674,0.40740601,0.70564791,0.21911851,0.67355436,0.70856264,0.29435209
100,33,3,5,0.95199777,0.60908022,0.32531674,0.41952523,0.72663901,0.20969313,0.64458145,0.68701947,0.27336099
100,33,3,6,1.14239733,0.68915303,0.32531674,0.41483621,0.71851739,0.21524526,0.66164828,0.69550900,0.28148261
110,33,3,0,0.00000000,0.32531674,0.32531674,0.00000000,0.00000000,0.32531674,1.00000000,1.00000000,1.00000000
110,33,3,1,0.26926563,0.35857841,0.32531674,0.21621184,0.37448989,0.30035999,0.92328478,0.92723100,0.62551011
110,33,3,2,0.53853127,0.44175357,0.32531674,0.35239565,0.61036717,0.25197749,0.77456050,0.79211862,0.38963283
110,33,3,3,0.80779690,0.54835448,0.32531674,0.40825965,0.70712645,0.21856361,0.67184865,0.70708711,0.29287355
110,33,3,4,1.07706253,0.66161415,0.32531674,0.41643364,0.72128423,0.21308908,0.65502034,0.69263920,0.27871577
111,33,3,0,0.00000000,0.45394037,0.45394037,0.00000000,0.00000000,0.45394037,1.00000000,1.00000000,1.00000000
111,33,3,1,0.32978170,0.48804178,0.45394037,0.18417831,0.31900619,0.42730315,0.94132000,0.94775263,0.68099381
111,33,3,2,0.65956341,0.57541764,0.45394037,0.30491572,0.52812951,0.37430639,0.82457173,0.84916383,0.47187049
111,33,3,3,0.98934511,0.68915303,0.45394037,0.35427882,0.61362891,0.33864902,0.74602093,0.78959455,0.38637109
100,65,3,0,0.00000000,0.16684158,0.16684158,0.00000000,0.00000000,0.16684158,1.00000000,1.00000000,1.00000000
100,65,3,1,0.09666439,0.17579830,0.16684158,0.17258802,0.29893121,0.15911518,0.95369019,0.95427466,0.70106879
100,65,3,2,0.19332878,0.20020781,0.16684158,0.30688090,0.53153331,0.14087890,0.84438724,0.84703739,0.46846669
100,65,3,3,0.28999317,0.23512721,0.16684158,0.39383590,0.68214379,0.12091749,0.72474430,0.73121806,0.31785621
100,65,3,4,0.38665756,0.27634763,0.16684158,0.44494486,0.77066711,0.10430633,0.62518187,0.63723795,0.22933289
100,65,3,5,0.48332195,0.32114785,0.16684158,0.47347543,0.82008350,0.09230679,0.55326008,0.57224388,0.17991650
100,65,3,6,0.57998634,0.36788405,0.16684158,0.48825950,0.84569026,0.08470021,0.50766849,0.53367404,0.15430974
100,65,3,7,0.67665073,0.41554247,0.16684158,0.49438540,0.85630064,0.08101622,0.48558772,0.51647770,0.14369936
100,65,3,8,0.77331511,0.46346298,0.16684158,0.49472688,0.85689209,0.08088321,0.48479045,0.51549582,0.14310791
100,65,3,9,0.86997950,0.51118741,0.16684158,0.49094743,0.85034589,0.08407321,0.50391039,0.52622415,0.14965411
110,65,3,0,0.00000000,0.16684158,0.16684158,0.00000000,0.00000000,0.16684158,1.00000000,1.00000000,1.00000000
110,65,3,1,0.13670409,0.18430715,0.16684158,0.22584466,0.39117443,0.15343326,0.91963440,0.92031656,0.60882557
110,65,3,2,0.27340818,0.22858936,0.16684158,0.37545657,0.65030985,0.12593647,0.75482660,0.75966907,0.34969015
110,65,3,3,0.41011227,0.28696005,0.16684158,0.45025998,0.77987316,0.10230290,0.61317390,0.62593758,0.22012684
110,65,3,4,0.54681636,0.35169412,0.16684158,0.48276244,0.83616907,0.08771172,0.52571860,0.54847177,0.16383093
110,65,3,5,0.68352045,0.41895125,0.16684158,0.49387018,0.85540825,0.08138088,0.48777334,0.51795437,0.14459175
110,65,3,6,0.82022454,0.48672227,0.16684158,0.49332337,0.85446114,0.08208633,0.49200165,0.51951531,0.14553886
110,65,3,7,0.95692863,0.55382989,0.16684158,0.48565482,0.84117882,0.08909289,0.53399692,0.54075706,0.15882118
110,65,3,8,1.09363272,0.61950427,0.16684158,0.47316587,0.81954732,0.10203459,0.61156572,0.57301150,0.18045268
111,65,3,0,0.00000000,0.23512721,0.23512721,0.00000000,0.00000000,0.23512721,1.00000000,1.00000000,1.00000000
111,65,3,1,0.16742763,0.25366811,0.23512721,0.20009433,0.34657354,0.22016679,0.93637310,0.93802280,0.65342646
111,65,3,2,0.33485527,0.30212985,0.23512721,0.34109047,0.59078603,0.18791390,0.79920102,0.80682828,0.40921397
111,65,3,3,0.50228290,0.36788405,0.23512721,0.41746401,0.72306887,0.15819902,0.67282312,0.69077594,0.27693113
111,65,3,4,0.66971053,0.44191987,0.23512721,0.45166544,0.78230749,0.13943477,0.59301842,0.62289244,0.21769251
111,65,3,5,0.83713817,0.51912660,0.23512721,0.46187411,0.79998943,0.13247416,0.56341484,0.60001409,0.20001057
111,65,3,6,1.00456580,0.59658085,0.23512721,0.45792324,0.79314631,0.13656682,0.58082102,0.60903114,0.20685369
111,65,3,7,1.17199344,0.67246461,0.23512721,0.44485061,0.77050386,0.15110262,0.64264200,0.63743533,0.22949614
100,97,3,0,0.00000000,0.11201733,0.11201733,0.00000000,0.00000000,0.11201733,1.00000000,1.00000000,1.00000000
100,97,3,1,0.06477511,0.11805603,0.11201733,0.17380749,0.30104341,0.10679763,0.95340276,0.95361044,0.69895659
100,97,3,2,0.12955021,0.13453413,0.11201733,0.30962301,0.53628279,0.09442240,0.84292671,0.84403837,0.46371721
100,97,3,3,0.19432532,0.15816776,0.11201733,0.39861470,0.69042091,0.08070683,0.72048521,0.72340788,0.30957909
100,97,3,4,0.25910043,0.18617475,0.11201733,0.45238251,0.78354950,0.06896224,0.61563907,0.62132937,0.21645050
100,97,3,5,0.32387553,0.21677401,0.11201733,0.48423790,0.83872465,0.05994120,0.53510650,0.54455575,0.16127535
100,97,3,6,0.38865064,0.24890787,0.11201733,0.50302515,0.87126512,0.05340682,0.47677285,0.49081268,0.12873488
100,97,3,7,0.45342574,0.28194102,0.11201733,0.51383004,0.88997974,0.04895725,0.43705071,0.45600006,0.11002026
100,97,3,8,0.51820085,0.31547466,0.11201733,0.51951586,0.89982787,0.04626110,0.41298163,0.43624512,0.10017213
100,97,3,9,0.58297596,0.34924441,0.11201733,0.52173076,0.90366418,0.04508793,0.40250849,0.42824181,0.09633582
110,97,3,0,0.00000000,0.11201733,0.11201733,0.00000000,0.00000000,0.11201733,1.00000000,1.00000000,1.00000000
110,97,3,1,0.09160583,0.12379658,0.11201733,0.22771846,0.39441995,0.10293624,0.91893138,0.91893030,0.60558005
110,97,3,2,0.18321167,0.15373801,0.11201733,0.37996235,0.65811409,0.08412447,0.75099518,0.75291822,0.34188591
110,97,3,3,0.27481750,0.19341011,0.11201733,0.45856915,0.79426506,0.06738729,0.60157912,0.60757140,0.20573494
110,97,3,4,0.36642334,0.23775323,0.11201733,0.49615840,0.85937155,0.05594921,0.49946926,0.51135168,0.14062845
110,97,3,5,0.45802917,0.28431212,0.11201733,0.51361201,0.88960209,0.04906284,0.43799330,0.45673637,0.11039791
110,97,3,6,0.54963500,0.33185294,0.11201733,0.52058880,0.90168625,0.04571911,0.40814323,0.43239093,0.09831375
110,97,3,7,0.64124084,0.37969006,0.11201733,0.52150883,0.90327979,0.04527731,0.40419912,0.42905201,0.09672021
110,97,3,8,0.73284667,0.42739944,0.11201733,0.51853839,0.89813484,0.04739031,0.42306231,0.43972016,0.10186516
110,97,3,9,0.82445250,0.47469235,0.11201733,0.51283047,0.88824843,0.05188798,0.46321389,0.45936340,0.11175157
111,97,3,0,0.00000000,0.15816776,0.15816776,0.00000000,0.00000000,0.15816776,1.00000000,1.00000000,1.00000000
111,97,3,1,0.11219378,0.17075088,0.15816776,0.20320901,0.35196833,0.14795209,0.93541245,0.93601191,0.64803167
111,97,3,2,0.22438755,0.20376533,0.15816776,0.34831252,0.60329498,0.12560834,0.79414628,0.79751813,0.39670502
111,97,3,3,0.33658133,0.24890787,0.15816776,0.43039295,0.74546246,0.10404564,0.65781825,0.66654761,0.25453754
111,97,3,4,0.44877510,0.30034015,0.15816776,0.47211389,0.81772525,0.08846719,0.55932506,0.57560874,0.18227475
111,97,3,5,0.56096888,0.35484435,0.15816776,0.49164798,0.85155929,0.07904513,0.49975503,0.52425831,0.14844071
111,97,3,6,0.67316265,0.41065984,0.15816776,0.49871767,0.86380435,0.07494172,0.47381164,0.50382740,0.13619565
111,97,3,7,0.78535643,0.46675039,0.15816776,0.49819232,0.86289442,0.07549184,0.47728971,0.50538424,0.13710558
111,97,3,8,0.89755020,0.52244799,0.15816776,0.49259894,0.85320640,0.08031571,0.50778814,0.52157343,0.14679360
111,97,3,9,1.00974398,0.57728346,0.15816776,0.48333711,0.83716443,0.08923672,0.56419036,0.54695130,0.16283557
100,129,3,0,0.00000000,0.08428773,0.08428773,0.00000000,0.00000000,0.08428773,1.00000000,1.00000000,1.00000000
100,129,3,1,0.04870686,0.08883829,0.08428773,0.17424144,0.30179502,0.08035154,0.95330058,0.95337284,0.69820498
100,129,3,2,0.09741373,0.10126124,0.08428773,0.31059947,0.53797405,0.07100459,0.84240715,0.84296140,0.46202595
100,129,3,3,0.14612059,0.11909495,0.08428773,0.40031808,0.69337125,0.06060023,0.71896862,0.72058053,0.30662875
100,129,3,4,0.19482745,0.14025771,0.08428773,0.45503686,0.78814697,0.05160404,0.61223669,0.61548709,0.21185303
100,129,3,5,0.24353431,0.16342178,0.08428773,0.48808442,0.84538702,0.04455648,0.52862353,0.53415427,0.15461298
100,129,3,6,0.29224118,0.18780383,0.08428773,0.50831147,0.88042129,0.03925429,0.46571776,0.47419232,0.11957871
100,129,3,7,0.34094804,0.21293830,0.08428773,0.52080532,0.90206128,0.03537074,0.41964284,0.43160797,0.09793872
100,129,3,8,0.38965490,0.23853742,0.08428773,0.52842846,0.91526494,0.03263268,0.38715817,0.40285245,0.08473506
100,129,3,9,0.43836177,0.26441448,0.08428773,0.53282687,0.92288320,0.03084356,0.36593174,0.38507998,0.07711680
110,129,3,0,0.00000000,0.08428773,0.08428773,0.00000000,0.00000000,0.08428773,1.00000000,1.00000000,1.00000000
110,129,3,1,0.06888191,0.09316518,0.08428773,0.22838454,0.39557362,0.07743362,0.91868202,0.91843427,0.60442638
110,129,3,2,0.13776381,0.11575085,0.08428773,0.38156552,0.66089086,0.06318493,0.74963383,0.75048202,0.33910914
110,129,3,3,0.20664572,0.14573110,0.08428773,0.46153348,0.79939944,0.05035719,0.59744386,0.60079992,0.20060056
110,129,3,4,0.27552762,0.17933346,0.08428773,0.50095851,0.86768560,0.04130556,0.49005420,0.49711337,0.13231440
110,129,3,5,0.34440953,0.21474506,0.08428773,0.52072846,0.90192815,0.03540121,0.42000436,0.43188611,0.09807185
110,129,3,6,0.41329144,0.25107100,0.08428773,0.53049135,0.91883797,0.03182347,0.37755758,0.39463501,0.08116203
110,129,3,7,0.48217334,0.28782757,0.08428773,0.53464855,0.92603846,0.03003429,0.35633050,0.37742916,0.07396154
110,129,3,8,0.55105525,0.32472623,0.08428773,0.53534256,0.92724051,0.02972290,0.35263614,0.37446633,0.07275949
110,129,3,9,0.61993715,0.36157840,0.08428773,0.53369848,0.92439288,0.03071888,0.36445261,0.38144173,0.07560712
111,129,3,0,0.00000000,0.11909495,0.11909495,0.00000000,0.00000000,0.11909495,1.00000000,1.00000000,1.00000000
111,129,3,1,0.08436276,0.12859904,0.11909495,0.20431761,0.35388847,0.11136225,0.93507113,0.93528763,0.64611153
111,129,3,2,0.16872552,0.15356854,0.11909495,0.35089411,0.60776642,0.09436375,0.79234050,0.79411584,0.39223358
111,129,3,3,0.25308828,0.18780383,0.11909495,0.43503876,0.75350923,0.07770062,0.65242586,0.65743733,0.24649077
111,129,3,4,0.33745104,0.22697068,0.11909495,0.47950590,0.83052858,0.06516092,0.54713418,0.55697601,0.16947142
111,129,3,5,0.42181381,0.26870872,0.11909495,0.50248727,0.87033349,0.05675265,0.47653280,0.49246281,0.12966651
111,129,3,6,0.50617657,0.31175311,0.11909495,0.51369366,0.88974351,0.05173342,0.43438803,0.45646082,0.11025649
111,129,3,7,0.59053933,0.35538195,0.11909495,0.51796786,0.89714666,0.04950155,0.41564782,0.44173281,0.10285334
111,129,3,8,0.67490209,0.39914751,0.11909495,0.51780111,0.89685784,0.04968246,0.41716678,0.44231892,0.10314216
111,129,3,9,0.75926485,0.44274821,0.11909495,0.51455010,0.89122691,0.05206841,0.43720084,0.45355771,0.10877309
100,193,3,0,0.00000000,0.05636514,0.05636514,0.00000000,0.00000000,0.05636514,1.00000000,1.00000000,1.00000000
100,193,3,1,0.03255536,0.05941145,0.05636514,0.17455444,0.30233717,0.05372876,0.95322691,0.95320105,0.69766283
100,193,3,2,0.06511073,0.06773050,0.05636514,0.31130400,0.53919434,0.04746127,0.84203244,0.84218137,0.46080566
100,193,3,3,0.09766609,0.07968068,0.05636514,0.40154765,0.69550094,0.04046309,0.71787439,0.71852519,0.30449906
100,193,3,4,0.13022146,0.09387556,0.05636514,0.45695394,0.79146744,0.03437036,0.60978041,0.61121134,0.20853256
100,193,3,5,0.16277682,0.10943328,0.05636514,0.49086434,0.85020198,0.02953195,0.52393992,0.52645665,0.14979802
