tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1229.38,4,4,-2.11438,-0.649522,0,0,0,0,0,0
300,1485.09,4,4,3.39834,0.711003,0,0,0,0,0,0
350,1611.27,4,4,1.02797,0.208591,0,0,0,0,0,0
400,1600.24,4,4,2.24997,-0.657556,0,0,0,0,0,0
450,1524.34,4,4,5.7504,0.284701,0,0,0,0,0,0
500,1344,4,4,5.60826,-0.0975784,0,0,0,0,0,0
550,1245.31,4,4,0.918691,0.316726,0,0,0,0,0,0
600,1220.03,4,4,4.52911,-0.558246,0,0,0,0,0,0
650,1229.08,4,4,-6.8748,-0.0555417,0,0,0,0,0,0
700,1316.35,4,4,-0.0396778,0.175261,0,0,0,0,0,0
750,1422.92,4,4,-2.81805,-1.15659,0,0,0,0,0,0
800,1535.62,4,4,-0.769998,0.17656,0,0,0,0,0,0
850,1599.51,4,4,-2.40709,1.01061,0,0,0,0,0,0
900,1543.81,4,4,-5.79852,-0.335559,0,0,0,0,0,0
950,1585.13,4,4,-5.09953,0.94919,0,0,0,0,0,0
1000,1573.59,4,4,-0.908351,0.601847,0,0,0,0,0,0
1050,1759.66,4,4,-0.536171,0.356702,0,0,0,0,0,0
1100,1720.39,4,4,-1.07734,0.0235837,0,0,0,0,0,0
1150,1391.65,4,4,-1.95798,-0.502311,0,0,0,0,0,0
1200,1276.91,4,4,-0.130186,-0.517991,0,0,0,0,0,0
1250,1294.52,4,4,-1.14245,-0.175378,0,0,0,0,0,0
1300,1354.08,4,4,2.73034,0.606339,0,0,0,0,0,0
1350,1427.12,4,4,4.39282,-0.485147,0,0,0,0,0,0
1400,1435.9,4,4,2.09931,-0.710948,0,0,0,0,0,0
1450,1399.88,4,4,3.35918,0.485806,0,0,0,0,0,0
1500,1460.75,4,4,4.12418,1.49317,0,0,0,0,0,0
1550,1511.78,4,4,5.04165,-0.194793,0,0,0,0,0,0
1600,1511.84,4,4,6.98925,0.894881,0,0,0,0,0,0
1650,1633.38,4,4,2.26279,0.234051,0,0,0,0,0,0
1700,1751.91,4,4,-0.433659,0.0359765,0,0,0,0,0,0
1750,1904.47,4,4,-3.33472,-0.0622144,0,0,0,0,0,0
1800,1894.47,4,4,-0.244566,0.294151,0,0,0,0,0,0
1850,1947.31,4,4,-4.67386,0.396239,0,0,0,0,0,0
1900,2024.83,4,4,-4.24294,-0.279449,0,0,0,0,0,0
1950,2268.82,4,4,3.05913,-0.127447,0,0,0,0,0,0
2000,2471.3,4,4,-2.06393,0.299427,0,0,0,0,0,0
2050,2654.53,4,4,0.61881,-0.323903,0,0,0,0,0,0
2100,2661.37,4,4,0.19521,0.0621933,0,0,0,0,0,0
2150,2520.38,4,4,0.952386,0.233474,0,0,0,0,0,0
2200,2532.88,4,4,4.91812,-0.114336,0,0,0,0,0,0
