tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1230.37,0,2,-2.12119,0,0.742371,32,0,0,0,0
300,1487.68,0,2,3.39348,0,0.910695,32,0,0,0,0
350,1613.42,0,2,0.982613,0,1.39933,32,0,0,0,0
400,1604.3,0,2,2.23831,0,1.0797,32,0,0,0,0
450,1527.36,0,2,5.79166,0,1.0606,32,0,0,0,0
500,1346.29,0,2,5.57708,0,0.702975,32,0,0,0,0
550,1246.8,0,2,0.901286,0,0.979052,32,0,0,0,0
600,1220.66,0,2,4.52374,0,0.790168,32,0,0,0,0
650,1229.49,0,2,-6.84806,0,0.700291,32,0,0,0,0
700,1317.73,0,2,-0.0302605,0,0.842021,32,0,0,0,0
750,1427.45,0,2,-2.82228,0,1.00505,32,0,0,0,0
800,1540.28,0,2,-0.701636,0,1.15159,32,0,0,0,0
850,1603.96,0,2,-2.39959,0,0.798484,32,0,0,0,0
900,1546.41,0,2,-5.78012,0,0.934745,32,0,0,0,0
950,1585.73,0,2,-5.10512,0,0.915856,32,0,0,0,0
1000,1571.36,0,2,-0.974087,0,0.878261,32,0,0,0,0
1050,1756.13,0,2,-0.482436,0,1.1179,32,0,0,0,0
1100,1714.72,0,2,-1.08968,0,1.30476,32,0,0,0,0
1150,1384.48,0,2,-1.90135,0,0.771756,32,0,0,0,0
1200,1267.57,0,2,-0.154574,0,0.488621,32,0,0,0,0
1250,1283.4,0,2,-1.22336,0,0.879468,32,0,0,0,0
1300,1340.46,0,2,2.67839,0,1.01925,32,0,0,0,0
1350,1409.73,0,2,4.38654,0,0.878153,32,0,0,0,0
1400,1415.05,0,2,2.08659,0,0.904735,32,0,0,0,0
1450,1379.83,0,2,3.32723,0,1.05269,32,0,0,0,0
1500,1439.87,0,2,4.11958,0,1.23582,32,0,0,0,0
1550,1488.87,0,2,5.07826,0,0.845935,32,0,0,0,0
1600,1488.57,0,2,7.04707,0,0.938341,32,0,0,0,0
1650,1608.61,0,2,2.21442,0,0.991424,32,0,0,0,0
1700,1725.73,0,2,-0.420908,0,0.849971,32,0,0,0,0
1750,1877.33,0,2,-3.30542,0,1.15062,32,0,0,0,0
1800,1867.58,0,2,-0.255112,0,1.28212,32,0,0,0,0
1850,1920.41,0,2,-4.68293,0,1.34697,32,0,0,0,0
1900,1998.15,0,2,-4.27865,0,1.10319,32,0,0,0,0
1950,2241.15,0,2,3.01604,0,1.50889,32,0,0,0,0
2000,2441.91,0,2,-2.08981,0,1.98127,32,0,0,0,0
2050,2621.14,0,2,0.601909,0,1.68879,32,0,0,0,0
2100,2625.36,0,2,0.169479,0,2.12542,32,0,0,0,0
2150,2484.95,0,2,0.985154,0,1.48534,32,0,0,0,0
2200,2497.63,0,2,4.95367,0,1.41559,32,0,0,0,0
