tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1219.23,0,0,-2.15071,0,0,0,1713,16.15,15.97,16.1172
300,1475.05,0,0,3.3959,0,0,0,1853,16.0067,16.0523,15.7153
350,1601.11,0,0,1.01892,0,0,0,1971,16.2695,15.8881,15.8809
400,1590.11,0,0,2.27028,0,0,0,1972,15.9877,16.0741,15.9765
450,1513.94,0,0,5.77457,0,0,0,1860,15.7705,15.9642,16.069
500,1333.69,0,0,5.58634,0,0,0,1642,15.7877,16.1492,16.2331
550,1234.75,0,0,0.907356,0,0,0,1687,15.8921,15.9346,15.8321
600,1209.77,0,0,4.51241,0,0,0,1656,15.9243,16.2818,15.9068
650,1218.9,0,0,-6.87719,0,0,0,1541,15.8048,16.379,16.1525
700,1306.3,0,0,-0.0310119,0,0,0,1669,15.95,15.9424,15.9527
750,1413.16,0,0,-2.81931,0,0,0,1788,16.2463,15.5497,15.9948
800,1526.11,0,0,-0.725315,0,0,0,1866,15.9631,16.2409,15.9616
850,1589.51,0,0,-2.42032,0,0,0,1918,15.9116,15.9695,16.202
900,1533.69,0,0,-5.77905,0,0,0,1778,16.3615,16.1726,16.0393
950,1575.27,0,0,-5.09613,0,0,0,1835,16.2525,15.7089,16.0267
1000,1563.54,0,0,-0.969315,0,0,0,1895,16.0832,15.9859,15.8431
1050,1749.48,0,0,-0.490669,0,0,0,2021,15.6193,15.8473,16.1589
1100,1710.37,0,0,-1.05824,0,0,0,1911,15.7665,15.7896,16.2969
1150,1381.28,0,0,-1.92986,0,0,0,1754,16.0032,16.2102,15.8887
1200,1266.12,0,0,-0.146009,0,0,0,1596,16.1911,16.0085,16.0793
1250,1284.36,0,0,-1.18319,0,0,0,1708,16.1093,15.9381,15.8113
1300,1343.56,0,0,2.6711,0,0,0,1716,15.7884,15.8298,16.1072
1350,1416.79,0,0,4.40789,0,0,0,1829,16.0151,15.6604,16.2219
1400,1424.91,0,0,2.11089,0,0,0,1880,16.1527,16.1081,15.7611
1450,1389.41,0,0,3.34903,0,0,0,1797,15.8769,16.3211,16.1616
1500,1450.31,0,0,4.14222,0,0,0,1905,16.0357,16.231,15.7037
1550,1500.98,0,0,5.05878,0,0,0,1870,15.9957,15.6251,15.7494
1600,1501.44,0,0,7.01147,0,0,0,1942,15.9238,16.0831,15.6965
1650,1622.7,0,0,2.21582,0,0,0,1940,15.9566,15.6372,16.1035
1700,1741.01,0,0,-0.401174,0,0,0,1966,16.1312,15.9262,15.993
1750,1893.82,0,0,-3.31186,0,0,0,2049,15.7892,15.9367,15.6968
1800,1884.23,0,0,-0.238431,0,0,0,2043,16.1075,15.8206,15.6768
1850,1936.98,0,0,-4.65898,0,0,0,2050,15.976,15.8946,15.7066
1900,2014.4,0,0,-4.25399,0,0,0,2095,15.8748,16.0672,16.0488
1950,2258.59,0,0,3.01066,0,0,0,2157,15.9141,15.953,15.9102
2000,2461.93,0,0,-2.08899,0,0,0,2153,15.9129,15.9371,16.0617
2050,2645.25,0,0,0.618306,0,0,0,2164,16.0493,15.9419,15.9572
2100,2651.24,0,0,0.197216,0,0,0,2172,15.9716,15.7245,15.6832
2150,2510.46,0,0,0.962678,0,0,0,2155,15.8769,15.7886,15.9836
2200,2523.17,0,0,4.95544,0,0,0,2150,15.967,16.1485,16.3429
