tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1574.77,0,0,-1.75165,0,0,0,0,0,0,0
300,1746.75,0,0,-1.4667,0,0,0,0,0,0,0
350,1842.7,0,0,0.0475989,0,0,0,0,0,0,0
400,1868.58,0,0,-0.0925675,0,0,0,0,0,0,0
450,2026.75,0,0,-0.60882,0,0,0,0,0,0,0
500,2102.07,0,0,2.1031,0,0,0,0,0,0,0
550,2241.98,0,0,-4.13781,0,0,0,0,0,0,0
600,2440.86,0,0,-3.56509,0,0,0,0,0,0,0
650,2643.38,0,0,-1.87805,0,0,0,0,0,0,0
700,3061.88,0,0,1.63275,0,0,0,0,0,0,0
750,3111.7,0,0,4.59824,0,0,0,0,0,0,0
800,2669.86,0,0,-0.606095,0,0,0,0,0,0,0
850,2731.43,0,0,4.00178,0,0,0,0,0,0,0
900,2835.59,0,0,-1.36266,0,0,0,0,0,0,0
950,3108.59,0,0,-0.661351,0,0,0,0,0,0,0
1000,3339.81,0,0,-2.79755,0,0,0,0,0,0,0
1050,3597.15,0,0,-0.400334,0,0,0,0,0,0,0
1100,4359.47,0,0,1.13052,0,0,0,0,0,0,0
1150,4772.29,0,0,-2.05949,0,0,0,0,0,0,0
1200,5453.04,0,0,-2.42898,0,0,0,0,0,0,0
1250,5043.17,0,0,-3.11601,0,0,0,0,0,0,0
1300,4575.25,0,0,-1.05019,0,0,0,0,0,0,0
1350,4310.31,0,0,-2.05862,0,0,0,0,0,0,0
1400,4267.54,0,0,2.45846,0,0,0,0,0,0,0
1450,3756.96,0,0,-1.58367,0,0,0,0,0,0,0
1500,3499.08,0,0,4.64544,0,0,0,0,0,0,0
1550,3490.61,0,0,0.0803075,0,0,0,0,0,0,0
1600,3619.27,0,0,-1.15651,0,0,0,0,0,0,0
1650,3924.26,0,0,-0.802439,0,0,0,0,0,0,0
1700,4445.12,0,0,-0.11132,0,0,0,0,0,0,0
1750,5005.95,0,0,-2.30564,0,0,0,0,0,0,0
1800,5331.87,0,0,2.71088,0,0,0,0,0,0,0
1850,5235.63,0,0,0.945279,0,0,0,0,0,0,0
1900,5563.1,0,0,0.280839,0,0,0,0,0,0,0
1950,5355.53,0,0,-1.44018,0,0,0,0,0,0,0
2000,5065.96,0,0,-3.47176,0,0,0,0,0,0,0
2050,4832.78,0,0,1.66742,0,0,0,0,0,0,0
2100,4635.94,0,0,0.25785,0,0,0,0,0,0,0
2150,4660.69,0,0,-6.36999,0,0,0,0,0,0,0
2200,4849.82,0,0,-6.32013,0,0,0,0,0,0,0
