tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1001,32,1,488380,119.135,-312,27916,3470
1001,32,2,192893,-76.6136,-312,91420,2118
1001,32,4,98860.9,-202.091,-312,538520,844
1002,32,1,487785,126.005,-253,27875,3533
1002,32,2,193281,18.5134,-253,92089,2027
1002,32,4,98983.3,110.732,-253,543941,807
1003,32,1,489909,-15.411,-249,27779,3502
1003,32,2,194102,8.49705,-249,91857,2024
1003,32,4,98538.6,52.9683,-249,542427,826
1004,32,1,491149,80.7206,-215,27769,3506
1004,32,2,194479,168.338,-215,91783,2062
1004,32,4,99032.7,129.546,-215,539609,840
1005,32,1,492685,116.007,-229,27891,3440
1005,32,2,194900,-16.192,-229,92149,2020
1005,32,4,98493.9,54.7467,-229,542785,862
1006,32,1,493474,84.3861,-164,27870,3575
1006,32,2,194937,48.523,-164,92060,2089
1006,32,4,98750.7,-1.40216,-164,543578,871
1007,32,1,490282,86.5219,-177,27869,3445
1007,32,2,194900,110.152,-177,91135,2041
1007,32,4,98388.5,42.8818,-177,536275,833
1008,32,1,488619,48.1769,-118,27842,3679
1008,32,2,194707,136.094,-118,91108,2147
1008,32,4,98075.3,43.4674,-118,534392,851
1009,32,1,488632,45.085,-151,27769,3547
1009,32,2,194704,103.881,-151,91759,2085
1009,32,4,97896.6,57.4805,-151,538413,829
1010,32,1,488470,20.2097,-156,27834,3605
1010,32,2,194708,117.06,-156,91920,2117
1010,32,4,98083.8,4.73628,-156,538172,799
1011,32,1,488388,132.07,-194,27818,3570
1011,32,2,195051,262.887,-194,91242,2078
1011,32,4,98171.3,98.5395,-194,534192,874
1012,32,1,486994,71.6922,-157,27741,3585
1012,32,2,194506,56.5998,-157,90721,2131
1012,32,4,98185.8,64.4175,-157,532817,831
1013,32,1,487166,26.0397,-105,27825,3484
1013,32,2,194636,28.2749,-105,90485,2120
1013,32,4,97927.9,34.0455,-105,530333,846
1014,32,1,488076,3.99036,-154,27834,3563
1014,32,2,194695,34.9423,-154,89998,2081
1014,32,4,97614.5,-9.21138,-154,527746,895
1015,32,1,489939,39.3514,-217,27909,3523
1015,32,2,194585,12.5471,-217,90445,2097
1015,32,4,97456.6,-52.3258,-217,530721,793
