mode,theta_deg,E_measured,E_classical,E_quantum,n_pairs
0,0,-0.756,-1,-1,500
0,2e+01,-0.624,-0.833333,-0.965926,500
0,3e+01,-0.436,-0.666667,-0.866025,500
0,4e+01,-0.316,-0.5,-0.707107,500
0,6e+01,-0.112,-0.333333,-0.5,500
0,8e+01,-0.06,-0.166667,-0.258819,500
0,9e+01,-0.036,-1.11022e-16,-2.83277e-16,500
0,1e+02,0.12,0.166667,0.258819,500
0,1e+02,0.176,0.333333,0.5,500
0,1e+02,0.252,0.5,0.707107,500
0,2e+02,0.424,0.666667,0.866025,500
0,2e+02,0.672,0.833333,0.965926,500
0,2e+02,0.756,1,1,500
1,0,-0.656,-1,-1,500
1,2e+01,-0.652,-0.833333,-0.965926,500
1,3e+01,-0.496,-0.666667,-0.866025,500
1,4e+01,-0.352,-0.5,-0.707107,500
1,6e+01,-0.18,-0.333333,-0.5,500
1,8e+01,-0.036,-0.166667,-0.258819,500
1,9e+01,0.056,-1.11022e-16,-2.83277e-16,500
1,1e+02,-0.004,0.166667,0.258819,500
1,1e+02,0.292,0.333333,0.5,500
1,1e+02,0.312,0.5,0.707107,500
1,2e+02,0.404,0.666667,0.866025,500
1,2e+02,0.688,0.833333,0.965926,500
1,2e+02,0.688,1,1,500
2,0,-0.376,-1,-1,500
2,2e+01,-0.44,-0.833333,-0.965926,500
2,3e+01,-0.456,-0.666667,-0.866025,500
2,4e+01,-0.252,-0.5,-0.707107,500
2,6e+01,-0.108,-0.333333,-0.5,500
2,8e+01,-0.18,-0.166667,-0.258819,500
2,9e+01,-0.012,-1.11022e-16,-2.83277e-16,500
2,1e+02,0.136,0.166667,0.258819,500
2,1e+02,0.208,0.333333,0.5,500
2,1e+02,0.26,0.5,0.707107,500
2,2e+02,0.388,0.666667,0.866025,500
2,2e+02,0.412,0.833333,0.965926,500
2,2e+02,0.364,1,1,500
