y,z,Jx,Jy,Jz,mag,phase,state
0,0,2.78722002e-10,-5.13373750e-10,3.76914409e-04,3.76914409e-04,-1.07340337e+00,0
0,1,9.74339523e-05,-6.78208954e-10,-1.39864471e-04,1.70456579e-04,-6.96070453e-06,0
0,2,-1.19841557e-04,-4.60515236e-10,-3.81977833e-04,4.00336188e-04,-3.14158881e+00,0
0,3,-1.12102985e-04,-5.35991260e-10,9.71350290e-05,1.48331700e-04,-3.14158787e+00,0
0,4,1.42535371e-04,-3.19911153e-10,1.58030851e-05,1.43408750e-04,-2.24443344e-06,0
0,5,5.02279553e-05,-2.92890680e-10,-2.72071573e-04,2.76669095e-04,-5.83122841e-06,0
0,6,-1.30474387e-04,-1.95326742e-10,-2.57112842e-04,2.88323740e-04,-3.14159116e+00,0
0,7,-4.62710858e-05,-2.50118930e-11,-1.14633731e-04,1.23620005e-04,-3.14159211e+00,0
0,8,-5.19490902e-05,-1.88204412e-11,3.40879231e-04,3.44814962e-04,-3.14159229e+00,0
0,9,-8.65244959e-05,2.96201343e-10,3.58719454e-04,3.69006958e-04,3.14158923e+00,0
0,10,3.24853946e-05,2.86808689e-10,-2.57744516e-04,2.59783634e-04,8.82885038e-06,0
0,11,3.96641879e-05,6.61576445e-10,-2.01247983e-04,2.05119473e-04,1.66794401e-05,0
0,12,3.43670584e-05,6.54077360e-10,1.48828387e-04,1.52744831e-04,1.90321020e-05,0
0,13,1.32956184e-04,9.23312445e-10,4.07378293e-05,1.39057245e-04,6.94448667e-06,0
0,14,7.56731516e-05,8.39548723e-10,1.97202017e-04,2.11222777e-04,1.10944067e-05,0
0,15,-4.87344387e-05,8.25194509e-10,3.19812271e-04,3.23504149e-04,3.14157572e+00,0
0,16,-2.57991732e-05,5.54206756e-10,-3.47927864e-05,4.33143778e-05,3.14157117e+00,0
0,17,4.54284879e-05,1.74118906e-10,-1.52620083e-04,1.59237675e-04,3.83281317e-06,0
0,18,9.24835229e-05,-3.17364791e-10,2.58695519e-05,9.60335135e-05,-3.43158199e-06,0
0,19,7.65430457e-05,-9.77802162e-10,9.69085278e-05,1.23491298e-04,-1.27745395e-05,0
0,20,-5.48142824e-05,-1.58950628e-09,6.31317937e-05,8.36075890e-05,-3.14156366e+00,0
0,21,-1.92017849e-04,-2.30389998e-09,-9.51281514e-05,2.14290036e-04,-3.14158066e+00,0
0,22,-2.35125871e-04,-2.84445329e-09,-1.08980140e-04,2.59154097e-04,-3.14158056e+00,0
0,23,-1.59624544e-04,-3.35321910e-09,1.63983018e-04,2.28845855e-04,-3.14157165e+00,0
0,24,4.57454759e-05,-3.64090655e-09,1.32928853e-04,1.40579972e-04,-7.95905271e-05,0
0,25,2.22949691e-04,-3.77015985e-09,-1.56305730e-04,2.72283026e-04,-1.69103614e-05,0
0,26,2.23896792e-04,-3.71954500e-09,-7.05722595e-05,2.34755654e-04,-1.66127659e-05,0
0,27,1.59409221e-04,-3.44722693e-09,8.61198541e-05,1.81184792e-04,-2.16250158e-05,0
0,28,1.12509212e-04,-3.09517768e-09,-1.29922449e-04,1.71866709e-04,-2.75104378e-05,0
0,29,2.46630512e-05,-2.54352668e-09,-2.49407837e-04,2.50624291e-04,-1.03131062e-04,0
0,30,-5.37033209e-05,-2.01470947e-09,-1.43721809e-04,1.53427523e-04,-3.14155514e+00,0
0,31,-4.70496127e-05,-1.38801531e-09,-2.61827821e-04,2.66021567e-04,-3.14156315e+00,0
0,32,-8.44499878e-11,-8.31264577e-10,-4.27572017e-04,4.27572017e-04,-1.67204115e+00,0
0,33,4.70494729e-05,-3.34103263e-10,-2.61827884e-04,2.66021604e-04,-7.10110535e-06,0
0,34,5.37034098e-05,1.34144048e-10,-1.43722632e-04,1.53428325e-04,2.49786836e-06,0
0,35,-2.46627102e-05,3.67303391e-10,-2.49408115e-04,2.50624534e-04,3.14157776e+00,0
0,36,-1.12508452e-04,6.90503458e-10,-1.29924092e-04,1.71867453e-04,3.14158652e+00,0
0,37,-1.59408105e-04,6.35783189e-10,8.61191503e-05,1.81183476e-04,3.14158867e+00,0
0,38,-2.23895218e-04,8.14022080e-10,-7.05746407e-05,2.34754869e-04,3.14158902e+00,0
0,39,-2.22947815e-04,5.61456330e-10,-1.56307046e-04,2.72282245e-04,3.14159014e+00,0
0,40,-4.57432846e-05,6.31564187e-10,1.32925988e-04,1.40576550e-04,3.14157885e+00,0
0,41,1.59626848e-04,3.51858954e-10,1.63981087e-04,2.28846078e-04,2.20425924e-06,0
0,42,2.35128202e-04,3.68986522e-10,-1.08983035e-04,2.59157430e-04,1.56929929e-06,0
0,43,1.92020042e-04,2.50377350e-10,-9.51304392e-05,2.14293016e-04,1.30391259e-06,0
0,44,5.48161695e-05,2.78798481e-10,6.31294294e-05,8.36070410e-05,5.08606280e-06,0
0,45,-7.65415162e-05,4.49007351e-10,9.69063379e-05,1.23488631e-04,3.14158679e+00,0
0,46,-9.24825628e-05,5.53313616e-10,2.58681952e-05,9.60322235e-05,3.14158667e+00,0
0,47,-4.54280018e-05,1.01427342e-09,-1.52621697e-04,1.59239084e-04,3.14157033e+00,0
0,48,2.57989807e-05,1.23495974e-09,-3.47929236e-05,4.33143734e-05,4.78685475e-05,0
0,49,4.87337815e-05,1.84630135e-09,3.19811549e-04,3.23503336e-04,3.78854523e-05,0
0,50,-7.56744238e-05,2.15907178e-09,1.97202987e-04,2.11224138e-04,3.14156412e+00,0
0,51,-1.32957805e-04,2.69202954e-09,4.07380789e-05,1.39058869e-04,3.14157241e+00,0
