x,y,z,state,Jx,Jy,Jz,phase,mag
8,8,8,1,3.74515116e-06,3.67433462e-06,3.51837413e-06,7.75853784e-01,6.31710761e-06
8,8,22,-1,1.07972437e-04,1.07640873e-04,-4.31213719e-05,7.83860396e-01,1.58442600e-04
8,8,36,1,3.30941686e-05,3.29396517e-05,4.85128521e-05,7.83058201e-01,6.73330637e-05
8,8,50,-1,2.35468622e-05,2.32933946e-05,-2.26564217e-05,7.79986897e-01,4.01291714e-05
8,22,8,-1,1.07886555e-04,-4.34447853e-05,1.07415956e-04,-3.82822778e-01,1.58319758e-04
8,22,22,1,2.38981256e-05,-5.02038469e-05,-4.96047865e-05,-1.12651462e+00,7.45129619e-05
8,22,36,-1,1.38031877e-04,-4.94173486e-05,4.95328134e-05,-3.43796351e-01,1.54752619e-04
8,22,50,1,3.33485139e-05,-4.91461966e-05,-3.25066218e-05,-9.74606812e-01,6.77063696e-05
8,36,8,1,3.34454404e-05,4.87000439e-05,3.29895277e-05,9.69008882e-01,6.76653582e-05
8,36,22,-1,1.38669134e-04,5.02170912e-05,-4.92211013e-05,3.47445263e-01,1.55478621e-04
8,36,36,1,2.44808656e-05,5.01032366e-05,4.99087232e-05,1.11630340e+00,7.48366738e-05
8,36,50,-1,1.08002928e-04,4.38800745e-05,-1.07162579e-04,3.85913543e-01,1.58347440e-04
8,50,8,-1,2.37010857e-05,-2.23346800e-05,2.27835684e-05,-7.55725479e-01,3.97450674e-05
8,50,22,1,3.36360790e-05,-3.23765638e-05,-4.84988388e-05,-7.66320569e-01,6.73183857e-05
8,50,36,-1,1.07716741e-04,-1.06948419e-04,4.33440582e-05,-7.81819011e-01,1.57859330e-04
8,50,50,1,4.32065815e-06,-2.17894801e-06,-2.41610860e-06,-4.67089090e-01,5.40864882e-06
22,8,8,-1,-4.41853622e-05,1.07610931e-04,1.07525674e-04,1.96040960e+00,1.58411582e-04
22,8,22,1,-5.07184640e-05,2.37721614e-05,-4.95419087e-05,2.70329034e+00,7.47788671e-05
22,8,36,-1,-4.97129248e-05,1.37531727e-04,4.94807990e-05,1.91764834e+00,1.54384910e-04
22,8,50,1,-4.98097564e-05,3.32924972e-05,-3.24794917e-05,2.55239578e+00,6.81492449e-05
22,22,8,1,-5.06190864e-05,-5.02175707e-05,2.39620686e-05,-2.36017631e+00,7.52215198e-05
22,22,22,-1,-8.07435222e-05,-8.05770474e-05,-8.06827688e-05,-2.35722644e+00,1.39720743e-04
22,22,36,1,-8.26760112e-05,-8.24468477e-05,8.27595593e-05,-2.35758233e+00,1.43115164e-04
22,22,50,-1,-5.01739625e-05,-4.97421760e-05,-1.37507529e-04,-2.36051595e+00,1.54596349e-04
22,36,8,-1,-4.90827184e-05,5.01440089e-05,1.37570475e-04,2.34549929e+00,1.54431766e-04
22,36,22,1,-8.24662006e-05,8.26319248e-05,-8.18531653e-05,2.35519070e+00,1.42578575e-04
22,36,36,-1,-8.01520266e-05,8.10271490e-05,8.04693962e-05,2.35076504e+00,1.39517275e-04
22,36,50,1,-4.99458488e-05,5.04494114e-05,-2.36480896e-05,2.35117873e+00,7.48262191e-05
22,50,8,1,-4.94713825e-05,-3.22320306e-05,3.33288793e-05,-2.56414345e+00,6.78021805e-05
22,50,22,-1,-4.97793066e-05,-1.37325008e-04,-4.96925713e-05,-1.91855682e+00,1.54290275e-04
22,50,36,1,-5.00351730e-05,-2.37219939e-05,5.03274199e-05,-2.69887370e+00,7.48271390e-05
22,50,50,-1,-4.45757043e-05,-1.06936078e-04,-1.07102724e-04,-1.96573887e+00,1.57776144e-04
36,8,8,1,4.94985104e-05,3.32551195e-05,3.30391171e-05,5.91576156e-01,6.81732262e-05
36,8,22,-1,5.08745579e-05,1.38180789e-04,-4.90866201e-05,1.21802359e+00,1.55214843e-04
36,8,36,1,5.06975000e-05,2.42162468e-05,4.98263184e-05,4.45617688e-01,7.50954401e-05
36,8,50,-1,4.45937796e-05,1.07669215e-04,-1.07198966e-04,1.17813109e+00,1.58344192e-04
36,22,8,-1,5.10163368e-05,-4.87911816e-05,1.37737641e-04,-7.63107391e-01,1.54773718e-04
36,22,22,1,8.27748343e-05,-8.22494934e-05,-8.19788458e-05,-7.82214759e-01,1.42608497e-04
36,22,36,-1,8.14471601e-05,-8.00837528e-05,8.05179942e-05,-7.76957829e-01,1.39750473e-04
36,22,50,1,5.10945867e-05,-4.96875085e-05,-2.38500613e-05,-7.71437481e-01,7.51553771e-05
36,36,8,1,5.09822543e-05,5.03033165e-05,2.42392167e-05,7.78695060e-01,7.56118610e-05
36,36,22,-1,8.18140899e-05,8.13484548e-05,-8.02533053e-05,7.82544360e-01,1.40540775e-04
36,36,36,1,8.26428867e-05,8.23355432e-05,8.20555731e-05,7.83535234e-01,1.42625753e-04
36,36,50,-1,5.11478232e-05,5.05279208e-05,-1.37646479e-04,7.79301383e-01,1.55292381e-04
36,50,8,-1,4.47870906e-05,-1.07139685e-04,1.07060791e-04,-1.17484818e+00,1.57945587e-04
36,50,22,1,5.13593361e-05,-2.39879393e-05,-4.95029501e-05,-4.36950868e-01,7.52578548e-05
36,50,36,-1,5.10327607e-05,-1.37598493e-04,4.96194273e-05,-1.21564112e+00,1.54918610e-04
36,50,50,1,4.97932056e-05,-3.27719063e-05,-3.27256385e-05,-5.82090369e-01,6.80024160e-05
50,8,8,-1,-2.24577342e-05,2.29293628e-05,2.25890467e-05,2.34580361e+00,3.92475545e-05
50,8,22,1,-3.23920064e-05,3.34301798e-05,-4.85871024e-05,2.34042341e+00,6.72868896e-05
50,8,36,-1,-1.07367912e-04,1.06927800e-04,4.33921116e-05,2.35824825e+00,1.57620742e-04
50,8,50,1,-1.91509774e-06,3.87956521e-06,-2.30367810e-06,2.02934076e+00,4.90158733e-06
50,22,8,1,-3.21493514e-05,-4.89517813e-05,3.30874579e-05,-2.15190593e+00,6.72654262e-05
50,22,22,-1,-1.37807936e-04,-4.98066024e-05,-4.98232268e-05,-2.79478019e+00,1.54771053e-04
50,22,36,1,-2.40019947e-05,-4.98700455e-05,5.04945368e-05,-2.01936487e+00,7.49187255e-05
50,22,50,-1,-1.06907511e-04,-4.40097475e-05,-1.06740826e-04,-2.75107353e+00,1.57352082e-04
50,36,8,-1,-1.07453722e-04,4.39454881e-05,1.06835046e-04,2.75337640e+00,1.57769564e-04
50,36,22,1,-2.41016956e-05,5.09112970e-05,-4.96213200e-05,2.01294301e+00,7.50674849e-05
50,36,36,-1,-1.37952583e-04,5.03496843e-05,4.97568548e-05,2.79163704e+00,1.55054024e-04
50,36,50,1,-3.29037459e-05,4.90892168e-05,-3.26535126e-05,2.16129947e+00,6.75178464e-05
50,50,8,1,-2.10115285e-06,-2.29422716e-06,3.31480437e-06,-2.31229606e+00,4.54601469e-06
50,50,22,-1,-1.07103809e-04,-1.06846147e-04,-4.40434577e-05,-2.35739880e+00,1.57566339e-04
50,50,36,1,-3.26629608e-05,-3.25973571e-05,4.88774931e-05,-2.35719975e+00,6.72195360e-05
50,50,50,-1,-2.15171086e-05,-2.14776405e-05,-2.12500789e-05,-2.35711247e+00,3.70923288e-05
