y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
0,0,1.34002829e-17,1.21495661e-08,1.21488690e-08,1
0,1,5.25012209e-08,1.92574967e-08,1.92578886e-08,-1
0,2,4.85051771e-10,1.04801330e-08,1.04802375e-08,1
0,3,2.33269114e-08,6.77210704e-08,6.77208120e-08,-1
0,4,9.70038256e-09,5.64357156e-08,5.64363204e-08,-1
0,5,3.36658446e-11,1.26546256e-09,1.26545838e-09,0
0,6,6.69648626e-08,1.76996109e-08,1.76994593e-08,-1
0,7,2.42496752e-08,8.56632579e-09,8.56629836e-09,-1
0,8,2.62907133e-07,6.81840456e-08,6.81838461e-08,-1
0,9,1.27023148e-08,5.30892450e-09,5.30895737e-09,-1
0,10,5.88215408e-08,5.40637859e-08,5.40631333e-08,-1
0,11,5.25901462e-08,9.68116917e-08,9.68117229e-08,-1
0,12,2.20231645e-08,2.38079207e-08,2.38079921e-08,-1
0,13,1.30017452e-08,5.22411610e-08,5.22406515e-08,-1
0,14,5.49313030e-08,1.51126986e-08,1.51127009e-08,-1
0,15,2.55379322e-09,1.04010537e-08,1.04015883e-08,-1
0,16,3.00121154e-08,8.41394151e-08,8.41418250e-08,-1
0,17,2.31602643e-09,1.73040690e-07,1.73043752e-07,-1
0,18,3.53898007e-10,2.16624289e-08,2.16639147e-08,1
0,19,2.41898488e-09,6.38826362e-10,6.38756565e-10,-1
0,20,8.32158477e-09,3.17223203e-09,3.17249015e-09,-1
0,21,4.61650543e-09,2.56695722e-08,2.56689002e-08,-1
0,22,1.13003111e-08,8.99448075e-08,8.99434259e-08,-1
0,23,1.33749485e-09,5.18812554e-08,5.18814298e-08,-1
0,24,9.72053030e-09,8.31942111e-08,8.31945573e-08,-1
0,25,2.85382630e-08,1.23776396e-07,1.23778570e-07,-1
0,26,4.47231570e-08,5.74622214e-08,5.74637438e-08,-1
0,27,1.76098914e-11,2.68070634e-08,2.68084385e-08,1
0,28,2.68006126e-08,6.53809771e-08,6.53820566e-08,-1
0,29,1.75979465e-09,5.86659747e-08,5.86679492e-08,-1
0,30,1.22686298e-09,2.70647509e-08,2.70657536e-08,-1
0,31,1.25827733e-09,1.14036931e-08,1.14043036e-08,-1
0,32,5.23489983e-17,7.54595018e-09,7.54622090e-09,1
0,33,1.25815266e-09,1.14036288e-08,1.14040534e-08,-1
0,34,1.22699586e-09,2.70651017e-08,2.70651121e-08,-1
0,35,1.75963506e-09,5.86661712e-08,5.86661832e-08,-1
0,36,2.67999315e-08,6.53810918e-08,6.53809365e-08,-1
0,37,1.76272784e-11,2.68073984e-08,2.68069184e-08,1
0,38,4.47240827e-08,5.74633569e-08,5.74628955e-08,-1
0,39,2.85389667e-08,1.23777501e-07,1.23776071e-07,-1
0,40,9.72092979e-09,8.31950419e-08,8.31948516e-08,-1
0,41,1.33762457e-09,5.18817402e-08,5.18809407e-08,-1
