x,y,z,winding,filament_id,J_mag
0,2,0,6.283185,0,2.34518882e-04
0,4,0,6.283185,0,2.06550978e-04
0,8,0,6.283185,0,1.08198208e-04
0,10,0,-6.283185,0,7.56663738e-05
0,11,0,6.283185,0,9.06431399e-05
0,12,0,-6.283185,0,1.56188359e-04
0,13,0,6.283185,0,1.91024005e-04
0,19,0,-6.283185,0,2.28923837e-04
0,24,0,-6.283185,0,1.34765748e-04
0,32,0,6.283185,0,2.22560215e-04
0,39,0,-6.283185,0,1.34765608e-04
0,43,0,6.283185,0,2.91385742e-04
0,44,0,-6.283185,0,2.28923924e-04
0,50,0,6.283185,0,1.91023893e-04
0,51,0,-6.283185,0,1.56188361e-04
0,52,0,6.283185,0,9.06432263e-05
0,53,0,-6.283185,0,7.56663998e-05
0,55,0,6.283185,0,1.08198218e-04
0,59,0,6.283185,0,2.06550957e-04
0,61,0,6.283185,0,2.34518988e-04
1,0,0,-6.283185,0,1.87806664e-04
1,3,0,-6.283185,0,2.46711732e-04
1,5,0,-6.283185,0,1.71450220e-04
1,9,0,-6.283185,0,1.15562890e-04
1,10,0,6.283185,0,1.30929621e-04
1,21,0,6.283185,0,2.96819354e-04
1,23,0,-6.283185,0,1.49561082e-04
1,27,0,6.283185,0,3.48935889e-04
1,32,0,-6.283185,0,3.87196232e-04
1,36,0,6.283185,0,3.48935981e-04
1,40,0,-6.283185,0,1.49561258e-04
1,42,0,6.283185,0,2.96819470e-04
1,53,0,6.283185,0,1.30929598e-04
1,54,0,-6.283185,0,1.15563022e-04
1,58,0,-6.283185,0,1.71449955e-04
1,60,0,-6.283185,0,2.46711984e-04
2,1,0,6.283185,0,2.09112316e-04
2,4,0,6.283185,0,2.10785448e-04
2,6,0,-6.283185,0,1.13649865e-04
2,13,0,-6.283185,0,1.15158652e-04
2,14,0,6.283185,0,1.51719801e-04
2,15,0,-6.283185,0,1.91886739e-04
2,18,0,-6.283185,0,1.44889878e-04
2,27,0,6.283185,0,3.08811736e-04
2,31,0,-6.283185,0,2.79921288e-04
2,36,0,6.283185,0,3.08811648e-04
2,45,0,-6.283185,0,1.44889696e-04
2,48,0,-6.283185,0,1.91886814e-04
2,49,0,6.283185,0,1.51719813e-04
2,50,0,-6.283185,0,1.15158626e-04
2,57,0,-6.283185,0,1.13649856e-04
2,59,0,6.283185,0,2.10785304e-04
2,62,0,6.283185,1,2.09112533e-04
3,0,0,-6.283185,0,1.88380290e-04
3,3,0,-6.283185,0,2.19771079e-04
3,7,0,6.283185,0,2.14355392e-04
3,10,0,6.283185,0,1.41632988e-04
3,14,0,6.283185,0,1.73503899e-04
3,16,0,6.283185,0,2.15579995e-04
3,20,0,6.283185,0,2.24038649e-04
3,24,0,-6.283185,0,1.91416997e-04
3,39,0,-6.283185,0,1.91416913e-04
3,43,0,6.283185,0,2.24038489e-04
3,47,0,6.283185,0,2.15580029e-04
3,49,0,6.283185,0,1.73503858e-04
3,53,0,6.283185,0,1.41632885e-04
3,56,0,6.283185,0,2.14355404e-04
3,60,0,-6.283185,0,2.19770863e-04
4,0,0,6.283185,0,1.67889117e-04
4,1,0,6.283185,0,1.84293357e-04
4,4,0,6.283185,0,1.53703553e-04
4,6,0,-6.283185,0,1.87659633e-04
4,8,0,-6.283185,0,2.20923822e-04
4,12,0,6.283185,0,1.37566546e-04
4,15,0,-6.283185,0,1.90556702e-04
4,17,0,-6.283185,0,1.69946106e-04
4,23,0,6.283185,0,2.66851959e-04
4,26,0,-6.283185,0,2.62363445e-04
4,29,0,6.283185,0,3.05395700e-04
4,32,0,-6.283185,0,1.67366278e-04
4,34,0,6.283185,0,3.05395686e-04
4,37,0,-6.283185,0,2.62363480e-04
4,40,0,6.283185,0,2.66851877e-04
4,46,0,-6.283185,0,1.69946333e-04
4,48,0,-6.283185,0,1.90556702e-04
4,51,0,6.283185,0,1.37566373e-04
4,55,0,-6.283185,0,2.20923625e-04
4,57,0,-6.283185,0,1.87659885e-04
4,59,0,6.283185,0,1.53703424e-04
4,62,0,6.283185,0,1.84292979e-04
5,5,0,6.283185,0,1.41395477e-04
5,7,0,6.283185,0,2.23688354e-04
5,10,0,-6.283185,0,2.10461820e-04
5,12,0,-6.283185,0,1.96813671e-04
5,14,0,-6.283185,0,1.68770666e-04
5,17,0,6.283185,0,2.01306712e-04
5,20,0,6.283185,0,1.21428340e-04
5,21,0,-6.283185,0,1.44637146e-04
5,27,0,6.283185,0,2.47608097e-04
5,31,0,-6.283185,0,1.90985693e-04
5,36,0,6.283185,0,2.47607955e-04
5,42,0,-6.283185,0,1.44637456e-04
5,43,0,6.283185,0,1.21428748e-04
5,46,0,6.283185,0,2.01306680e-04
5,49,0,-6.283185,0,1.68770566e-04
5,51,0,-6.283185,0,1.96813873e-04
5,53,0,-6.283185,0,2.10461667e-04
5,56,0,6.283185,0,2.23688186e-04
5,58,0,6.283185,0,1.41395649e-04
6,0,0,-6.283185,0,1.33116058e-04
6,2,0,-6.283185,0,1.65996773e-04
6,4,0,-6.283185,0,1.83031681e-04
6,6,0,-6.283185,0,1.96701044e-04
6,11,0,6.283185,0,2.43780321e-04
6,13,0,6.283185,0,2.15297614e-04
6,20,0,-6.283185,0,9.95101451e-05
6,23,0,6.283185,0,1.55636855e-04
6,25,0,-6.283185,0,1.71804342e-04
6,29,0,-6.283185,0,1.60393921e-04
6,31,0,6.283185,0,2.76826182e-04
6,34,0,-6.283185,0,1.60393413e-04
6,38,0,-6.283185,0,1.71804402e-04
6,40,0,6.283185,0,1.55636840e-04
6,43,0,-6.283185,0,9.95099843e-05
6,50,0,6.283185,0,2.15297882e-04
6,52,0,6.283185,0,2.43780556e-04
6,57,0,-6.283185,0,1.96700676e-04
6,59,0,-6.283185,0,1.83032049e-04
6,61,0,-6.283185,0,1.65996633e-04
7,1,0,6.283185,0,1.14388296e-04
7,21,0,6.283185,0,1.63080462e-04
7,27,0,6.283185,0,4.18754219e-04
7,36,0,6.283185,0,4.18754304e-04
7,42,0,6.283185,0,1.63080127e-04
7,62,0,6.283185,0,1.14388101e-04
8,3,0,6.283185,0,1.05581616e-04
8,5,0,6.283185,0,1.59664199e-04
8,7,0,6.283185,0,1.35383012e-04
8,9,0,-6.283185,0,1.76476362e-04
8,12,0,-6.283185,0,2.05735842e-04
8,20,0,-6.283185,0,1.13372676e-04
