profile,x,y,z,psi_sq_target,sigma_sq,long_count,freq_long,first_event_count,hist_first,in_mask
P1_gaussian,0,0,0,0.000000,0.000000,369,0.061500,0,0.000000,0
P1_gaussian,0,0,1,0.000000,0.000000,383,0.063833,0,0.000000,0
P1_gaussian,0,0,2,0.000000,0.000000,381,0.063500,0,0.000000,0
P1_gaussian,0,0,3,0.000000,0.000000,390,0.065000,0,0.000000,0
P1_gaussian,0,0,4,0.000000,0.000000,418,0.069667,0,0.000000,0
P1_gaussian,0,0,5,0.000000,0.000000,436,0.072667,0,0.000000,0
P1_gaussian,0,0,6,0.000000,0.000000,471,0.078500,0,0.000000,0
P1_gaussian,0,0,7,0.000000,0.000000,502,0.083667,0,0.000000,0
P1_gaussian,0,0,8,0.000000,0.000000,520,0.086667,0,0.000000,0
P1_gaussian,0,0,9,0.000000,0.000000,559,0.093167,0,0.000000,0
P1_gaussian,0,0,10,0.000000,0.000000,530,0.088333,0,0.000000,0
P1_gaussian,0,0,11,0.000000,0.000000,535,0.089167,0,0.000000,0
P1_gaussian,0,0,12,0.000000,0.000000,525,0.087500,0,0.000000,0
P1_gaussian,0,0,13,0.000000,0.000000,526,0.087667,0,0.000000,0
P1_gaussian,0,0,14,0.000000,0.000000,560,0.093333,0,0.000000,0
P1_gaussian,0,0,15,0.000000,0.000000,537,0.089500,0,0.000000,0
P1_gaussian,0,0,16,0.000000,0.000000,536,0.089333,0,0.000000,0
P1_gaussian,0,0,17,0.000000,0.000000,477,0.079500,0,0.000000,0
P1_gaussian,0,0,18,0.000000,0.000000,465,0.077500,0,0.000000,0
P1_gaussian,0,0,19,0.000000,0.000000,445,0.074167,0,0.000000,0
P1_gaussian,0,0,20,0.000000,0.000000,410,0.068333,0,0.000000,0
P1_gaussian,0,0,21,0.000000,0.000000,402,0.067000,0,0.000000,0
P1_gaussian,0,0,22,0.000000,0.000000,369,0.061500,0,0.000000,0
P1_gaussian,0,0,23,0.000000,0.000000,400,0.066667,0,0.000000,0
P1_gaussian,0,1,0,0.000000,0.000000,396,0.066000,0,0.000000,0
P1_gaussian,0,1,1,0.000000,0.000000,404,0.067333,0,0.000000,0
P1_gaussian,0,1,2,0.000000,0.000000,383,0.063833,0,0.000000,0
P1_gaussian,0,1,3,0.000000,0.000000,409,0.068167,0,0.000000,0
P1_gaussian,0,1,4,0.000000,0.000000,420,0.070000,0,0.000000,0
P1_gaussian,0,1,5,0.000000,0.000000,429,0.071500,0,0.000000,0
P1_gaussian,0,1,6,0.000000,0.000000,499,0.083167,0,0.000000,0
P1_gaussian,0,1,7,0.000000,0.000000,511,0.085167,0,0.000000,0
