seed,tick,idx,dx,dy,dz,shell,jmag
3759153152,1,15856,-1,-1,0,FCC,3.4032599999999995
3759153152,1,15887,-1,0,-1,FCC,3.4032599999999995
3759153152,1,15888,-1,0,0,SC,6.806519999999999
3759153152,1,15889,-1,0,1,FCC,3.4032599999999995
3759153152,1,15920,-1,1,0,FCC,3.4032599999999995
3759153152,1,16879,0,-1,-1,FCC,3.4032599999999995
3759153152,1,16880,0,-1,0,SC,6.806519999999999
3759153152,1,16881,0,-1,1,FCC,3.4032599999999995
3759153152,1,16911,0,0,-1,SC,6.806519999999999
3759153152,1,16912,0,0,0,center,20.419559999999997
3759153152,1,16913,0,0,1,SC,6.806519999999999
3759153152,1,16943,0,1,-1,FCC,3.4032599999999995
3759153152,1,16944,0,1,0,SC,6.806519999999999
3759153152,1,16945,0,1,1,FCC,3.4032599999999995
3759153152,1,17904,1,-1,0,FCC,3.4032599999999995
3759153152,1,17935,1,0,-1,FCC,3.4032599999999995
3759153152,1,17936,1,0,0,SC,6.806519999999999
3759153152,1,17937,1,0,1,FCC,3.4032599999999995
3759153152,1,17968,1,1,0,FCC,3.4032599999999995
3759153152,3,14864,-2,0,0,SC2,3.637496124517768
3759153152,3,15855,-1,-1,-1,BCC,2.374543671150268
3759153152,3,15857,-1,-1,1,BCC,2.374543671150268
3759153152,3,15919,-1,1,-1,BCC,2.374543671150268
3759153152,3,15921,-1,1,1,BCC,2.374543671150268
3759153152,3,17903,1,-1,-1,BCC,2.005116959899192
3759153152,3,17905,1,-1,1,BCC,2.005116959899192
3759153152,3,17967,1,1,-1,BCC,2.005116959899192
3759153152,3,18960,2,0,0,SC2,3.355737696585243
3759153152,5,16848,0,-2,0,SC2,2.6678724465474786
3759153152,5,16910,0,0,-2,SC2,2.6678724465474786
3759153152,5,16914,0,0,2,SC2,2.6163569175806294
3759153152,5,16976,0,2,0,SC2,2.6163569175806294
3759153152,5,17969,1,1,1,BCC,4.960888880099629
3759153152,6,15825,-1,-2,1,outer,1.6515003922437552
3759153152,6,15952,-1,2,0,outer,2.0704128197024385
3759153152,6,16849,0,-2,1,outer,1.9903507073958306
3759153152,6,16946,0,1,2,outer,1.9842384048554127
3759153152,6,16975,0,2,-1,outer,1.9628741548708348
3759153152,6,17872,1,-2,0,outer,1.9847847327008912
3759153152,6,17902,1,-1,-2,outer,1.6667381789570344
3759153152,6,17934,1,0,-2,outer,1.9847847327008914
3759153152,6,18000,1,2,0,outer,1.9223354008216385
3759153152,6,18001,1,2,1,outer,1.6077004156204195
3759153152,6,18959,2,0,-1,outer,1.6521919884435454
3759153152,7,15918,-1,1,-2,outer,1.6248961089063845
3759153152,8,17938,1,0,2,outer,2.1878392038123864
3759153152,9,14832,-2,-1,0,outer,2.7200713318966225
3759153152,9,14833,-2,-1,1,outer,2.204816961913174
3759153152,9,14863,-2,0,-1,outer,2.7122520538252717
3759153152,9,14895,-2,1,-1,outer,2.3778140659822453
3759153152,9,14896,-2,1,0,outer,2.6772461291557614
3759153152,9,14897,-2,1,1,outer,2.2974574847206797
3759153152,9,15823,-1,-2,-1,outer,2.2022590346363984
3759153152,9,15854,-1,-1,-2,outer,2.1197656170284906
3759153152,9,15858,-1,-1,2,outer,2.2260274500443353
3759153152,9,15886,-1,0,-2,outer,2.0405678399577143
3759153152,9,16847,0,-2,-1,outer,1.96789184464462
3759153152,9,16882,0,-1,2,outer,1.9530733024670006
3759153152,9,17873,1,-2,1,outer,2.069757048882021
3759153152,9,17966,1,1,-2,outer,1.897975610013809
3759153152,9,17999,1,2,-1,outer,2.1776615850609984
3759153152,10,13840,-3,0,0,outer,2.306335644157083
3759153152,10,14865,-2,0,1,outer,2.4380534545330117
3759153152,10,15824,-1,-2,0,outer,2.2715055140517544
3759153152,10,15890,-1,0,2,outer,2.0196446367038674
3759153152,11,16878,0,-1,-2,outer,2.2192650017103492
3759153152,11,17871,1,-2,-1,outer,1.7023666894660274
